time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
5,46.17472693,-5.0367389,-3.52206002,-29.40006189,6.49994453,-1.44777699,-8.64268325,-0.83805666,-4.29683154,0.06001434,20.84339703,4.76693863
5.005,46.07269372,-4.97678588,-3.19845463,-28.94743543,6.54119581,-1.53653407,-9.2750755,-0.90323335,-4.27463061,0.23676898,20.86897079,4.74087963
5.01,45.9649902,-4.89424435,-2.91326628,-28.62768467,6.61343951,-1.6332674,-9.88811209,-1.00266711,-4.27469876,0.36514738,20.90243642,4.73773492
5.015,45.85480774,-4.78791831,-2.66956934,-28.43840639,6.72139155,-1.73527924,-10.47680755,-1.13710332,-4.29954819,0.44299182,20.94011931,4.76081239
5.02,45.73826035,-4.65594948,-2.4781968,-28.3770076,6.86094802,-1.84182347,-11.0455696,-1.31209868,-4.34720819,0.47264017,20.97855636,4.81733212
5.025,45.620191,-4.49863905,-2.3333416,-28.43990807,7.03713162,-1.95011104,-11.58820521,-1.52393923,-4.42197893,0.45026643,21.01443798,4.9070445
5.03,45.50369753,-4.31667563,-2.23102635,-28.62150719,7.24416022,-2.05854636,-12.10296012,-1.76917326,-4.52499132,0.37846562,21.03769636,5.02300849
5.035,45.38157527,-4.10925604,-2.18094132,-28.91151098,7.48206211,-2.16879643,-12.5912906,-2.05360966,-4.65709307,0.25094807,21.04919107,5.16945923
5.04,45.2573497,-3.87615511,-2.17522935,-29.3032255,7.74566546,-2.28001664,-13.05341729,-2.37335141,-4.81330941,0.07576621,21.04087561,5.34342295
5.045,45.132228,-3.62066188,-2.21204067,-29.78646972,8.03599976,-2.39605626,-13.48709851,-2.72675602,-4.99288235,-0.14734506,21.00880514,5.53859981
5.05,44.99804205,-3.34266626,-2.29153225,-30.34944122,8.34560784,-2.51631936,-13.89838065,-3.11238468,-5.19557127,-0.41922322,20.94757891,5.75764457
