time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
50,18.22335872,3.39845222,-3.21661748,-29.06882506,3.50708597,-12.55283678,26.68093764,-5.16287371,6.22194778,-72.27025235,-1.33874268,13.87267165
50.005,17.73328373,3.45066852,-3.15197491,-28.77782303,3.63287586,-12.53779826,27.06810214,-5.16171547,5.99932989,-71.47783545,-0.61002216,14.23343121
50.01,17.23186154,3.49985381,-3.07816309,-28.47287407,3.76425592,-12.49920957,27.4226442,-5.16500277,5.76874836,-70.61658574,0.02311477,14.49765073
50.015,16.72044104,3.54547412,-3.00722442,-28.15738808,3.90389851,-12.43768586,27.74279717,-5.18192673,5.51881171,-69.68638771,0.56222677,14.66209272
50.02,16.2495065,3.58561837,-2.95833916,-27.8343269,4.02083187,-12.39184953,28.08565905,-5.19428309,5.28607694,-68.69790442,1.02566352,14.63670959
50.025,15.68289743,3.62789349,-2.88636332,-27.5026263,4.20228398,-12.25662737,28.29321574,-5.25446078,4.97501738,-67.63095189,1.3868243,14.65926521
50.03,15.13744421,3.66473195,-2.82546199,-27.15360105,4.36860529,-12.12383848,28.51069429,-5.29798037,4.70526592,-66.50477485,1.65348069,14.49959674
50.035,14.59594398,3.69994253,-2.77389052,-26.79629886,4.53894733,-11.97721697,28.7089881,-5.35153536,4.43255989,-65.32186503,1.84554042,14.24605521
50.04,14.05030805,3.73663028,-2.73142745,-26.43338384,4.71462047,-11.8133178,28.8787385,-5.41978491,4.15441297,-64.08049097,1.97851264,13.89353778
50.045,13.50284568,3.77493255,-2.69523981,-26.06281588,4.89348287,-11.63594857,29.02513591,-5.49739401,3.88134811,-62.78378811,2.0513405,13.45813811
50.05,12.95297058,3.81536607,-2.66405007,-25.68475744,5.07747847,-11.44601878,29.14636146,-5.58455628,3.61235164,-61.43321125,2.07106975,12.93419922
50.055,12.3951606,3.85458534,-2.6420769,-25.2998913,5.26756116,-11.23455751,29.23742546,-5.67689226,3.35131279,-60.02862205,2.03641525,12.33896324
50.06,11.83990507,3.89992864,-2.62484946,-24.91002006,5.45732275,-11.01583963,29.30948444,-5.77913653,3.10062655,-58.57432122,1.96570659,11.67595927
50.065,11.2813572,3.94514868,-2.61605606,-24.51430611,5.65215669,-10.78611703,29.35714052,-5.88509235,2.86285722,-57.07142103,1.85187758,10.94960732
50.07,10.72936595,3.99841863,-2.62022558,-24.11890705,5.84584409,-10.56117439,29.38887018,-6.00557033,2.63077291,-55.52453955,1.71336134,10.16819637
50.075,10.16908441,4.05213298,-2.61692984,-23.71436688,6.04085263,-10.3131178,29.39263835,-6.12072301,2.42545823,-53.9281069,1.54144758,9.34499755
50.08,9.61228057,4.11134797,-2.62587099,-23.30998275,6.23446836,-10.06300194,29.37864253,-6.24450759,2.23275962,-52.29134095,1.35106635,8.49366426
50.085,9.05811425,4.17770894,-2.63620722,-22.90313149,6.42540846,-9.81127086,29.34697049,-6.37400022,2.05966445,-50.6137627,1.14529239,7.61727203
50.09,8.50289581,4.2474518,-2.66577355,-22.49663765,6.61514968,-9.554128,29.29363267,-6.51306913,1.89385858,-48.89776713,0.9250866,6.72729729
50.095,7.93447275,4.31268493,-2.70518037,-22.08710819,6.80795947,-9.25416949,29.20586888,-6.64257722,1.75780144,-47.13925037,0.69391819,5.8579498
50.1,7.40537326,4.41443855,-2.71999766,-21.68340524,6.98949178,-9.0480868,29.14266184,-6.80502044,1.6392054,-45.36356365,0.47102852,4.95832699
50.105,6.86099478,4.51193225,-2.74478974,-21.2775032,7.16882317,-8.80865763,29.0418146,-6.96313894,1.53861074,-43.54903776,0.2434876,4.08820406
50.11,6.31761869,4.62048511,-2.77171749,-20.8737843,7.3452726,-8.56722634,28.92389601,-7.13177982,1.45774536,-41.70807461,0.02245214,3.24266883
50.115,5.77880258,4.74103508,-2.79771053,-20.47133021,7.51625658,-8.33526906,28.79337782,-7.31374863,1.39149432,-39.84563562,-0.18219375,2.44229772
50.12,5.24038236,4.87346064,-2.82111046,-20.07195568,7.68497139,-8.10916603,28.64572453,-7.50740287,1.34399845,-37.96369728,-0.3749945,1.68054577
50.125,4.70443316,5.02167346,-2.83745911,-19.67554309,7.84949035,-7.89382734,28.48485235,-7.71842353,1.31106591,-36.06843747,-0.54674527,0.96605804
50.13,4.16857816,5.18237833,-2.85029632,-19.28207926,8.01085036,-7.68389833,28.30918916,-7.94498311,1.2900546,-34.16322812,-0.69508439,0.31314101
50.135,3.6316411,5.35696202,-2.85594628,-18.89241777,8.17232285,-7.48337321,28.11823571,-8.18862382,1.28180939,-32.25289711,-0.82008684,-0.28280923
50.14,3.09303674,5.54566458,-2.85389678,-18.50615147,8.3309489,-7.28705572,27.91315703,-8.45220911,1.27973254,-30.34353747,-0.91543116,-0.81261298
50.145,2.55633532,5.75478217,-2.82734803,-18.12867332,8.48448863,-7.09857391,27.69672265,-8.74036197,1.2918507,-28.44192863,-0.97650743,-1.27953979
50.15,2.0108254,5.96783852,-2.81593676,-17.74709065,8.64949335,-6.91946595,27.46554471,-9.04433975,1.29202917,-26.55292135,-1.01366847,-1.67490934
50.155,1.46516398,6.19942932,-2.78005311,-17.37476566,8.8122158,-6.74161918,27.22436691,-9.37337866,1.30054488,-24.68529763,-1.01446138,-2.0041347
50.16,0.91495823,6.44047711,-2.73194069,-17.00864065,8.98038958,-6.56525146,26.97159744,-9.72129394,1.30905757,-22.84439943,-0.98564935,-2.26628741
50.165,0.35971788,6.6913605,-2.67218776,-16.64882464,9.15520588,-6.3868113,26.70901515,-10.09064563,1.31184776,-21.03999016,-0.92843401,-2.46522302
