time,hip_flexion_r,hip_flexion_l,source_file
10.0,15.67136323,29.7846027,AB06_incline_walk_2_up10_angle.csv
10.005,16.61157911,29.20537827,AB06_incline_walk_2_up10_angle.csv
10.01,17.54926388,28.62626594,AB06_incline_walk_2_up10_angle.csv
10.015,18.48387356,28.04781982,AB06_incline_walk_2_up10_angle.csv
10.02,19.41137885,27.46558351,AB06_incline_walk_2_up10_angle.csv
10.025,20.34023648,26.88916053,AB06_incline_walk_2_up10_angle.csv
10.03,21.2460029,26.30007949,AB06_incline_walk_2_up10_angle.csv
10.035,22.14904866,25.71410178,AB06_incline_walk_2_up10_angle.csv
10.04,23.06608221,25.14567626,AB06_incline_walk_2_up10_angle.csv
10.045,23.95366766,24.56194078,AB06_incline_walk_2_up10_angle.csv
10.05,24.83485969,23.98253088,AB06_incline_walk_2_up10_angle.csv
10.055,25.72320115,23.41703317,AB06_incline_walk_2_up10_angle.csv
10.06,26.58632351,22.84291618,AB06_incline_walk_2_up10_angle.csv
10.065,27.44450169,22.27582631,AB06_incline_walk_2_up10_angle.csv
10.07,28.29438286,21.71435303,AB06_incline_walk_2_up10_angle.csv
10.075,29.1433903,21.16700822,AB06_incline_walk_2_up10_angle.csv
10.08,29.97416237,20.61796571,AB06_incline_walk_2_up10_angle.csv
10.085,30.79767445,20.07919877,AB06_incline_walk_2_up10_angle.csv
10.09,31.62595813,19.56083252,AB06_incline_walk_2_up10_angle.csv
10.095,32.43322337,19.0412237,AB06_incline_walk_2_up10_angle.csv
10.1,33.21849215,18.51775617,AB06_incline_walk_2_up10_angle.csv
10.105,33.99913883,18.0129927,AB06_incline_walk_2_up10_angle.csv
10.11,34.78607662,17.53493676,AB06_incline_walk_2_up10_angle.csv
10.115,35.53771345,17.0373579,AB06_incline_walk_2_up10_angle.csv
10.12,36.28212117,16.56119868,AB06_incline_walk_2_up10_angle.csv
10.125,37.01546598,16.09460294,AB06_incline_walk_2_up10_angle.csv
10.13,37.73596541,15.63750556,AB06_incline_walk_2_up10_angle.csv
10.135,38.43991281,15.18942578,AB06_incline_walk_2_up10_angle.csv
10.14,39.12898808,14.75023462,AB06_incline_walk_2_up10_angle.csv
10.145,39.80090281,14.31934959,AB06_incline_walk_2_up10_angle.csv
10.15,40.4544401,13.89516938,AB06_incline_walk_2_up10_angle.csv
10.155,41.08848741,13.47851933,AB06_incline_walk_2_up10_angle.csv
10.16,41.6964115,13.05079213,AB06_incline_walk_2_up10_angle.csv
10.165,42.28776076,12.64505344,AB06_incline_walk_2_up10_angle.csv
10.17,42.85725949,12.24495967,AB06_incline_walk_2_up10_angle.csv
10.175,43.40147187,11.85741037,AB06_incline_walk_2_up10_angle.csv
10.18,43.91585516,11.46388592,AB06_incline_walk_2_up10_angle.csv
10.185,44.40200854,11.06768894,AB06_incline_walk_2_up10_angle.csv
10.19,44.85787569,10.67024414,AB06_incline_walk_2_up10_angle.csv
10.195,45.3051883,10.28384544,AB06_incline_walk_2_up10_angle.csv
10.2,45.6871084,9.87930428,AB06_incline_walk_2_up10_angle.csv
10.205,46.03091089,9.459103,AB06_incline_walk_2_up10_angle.csv
10.21,46.3991544,9.08538088,AB06_incline_walk_2_up10_angle.csv
10.215,46.65711715,8.64248013,AB06_incline_walk_2_up10_angle.csv
10.22,46.97019562,8.27066105,AB06_incline_walk_2_up10_angle.csv
10.225,47.14826775,7.80170222,AB06_incline_walk_2_up10_angle.csv
10.23,47.33651893,7.36025175,AB06_incline_walk_2_up10_angle.csv
10.235,47.57210187,6.99376351,AB06_incline_walk_2_up10_angle.csv
10.24,47.64538711,6.48576417,AB06_incline_walk_2_up10_angle.csv
10.245,47.82510444,6.11535854,AB06_incline_walk_2_up10_angle.csv
10.25,47.83362399,5.59038502,AB06_incline_walk_2_up10_angle.csv
10.255,47.8852624,5.12196652,AB06_incline_walk_2_up10_angle.csv
10.26,47.92210241,4.66429905,AB06_incline_walk_2_up10_angle.csv
10.265,47.89801551,4.15836487,AB06_incline_walk_2_up10_angle.csv
10.27,47.91403791,3.7033566,AB06_incline_walk_2_up10_angle.csv
10.275,47.96116844,3.29819274,AB06_incline_walk_2_up10_angle.csv
10.28,47.82685182,2.71279192,AB06_incline_walk_2_up10_angle.csv
10.285,47.74988074,2.20090137,AB06_incline_walk_2_up10_angle.csv
10.29,47.7750233,1.79800041,AB06_incline_walk_2_up10_angle.csv
10.295,47.7322061,1.32984536,AB06_incline_walk_2_up10_angle.csv
10.3,47.52065124,0.69075931,AB06_incline_walk_2_up10_angle.csv
10.305,47.51809442,0.28201486,AB06_incline_walk_2_up10_angle.csv
10.31,47.32547733,-0.3326204,AB06_incline_walk_2_up10_angle.csv
10.315,47.31187549,-0.74075517,AB06_incline_walk_2_up10_angle.csv
