time,hip_flexion_r,hip_flexion_l
0,-2.74883054,2.44051339
0.005,-2.74251485,2.44036273
0.01,-2.73919884,2.42628285
0.015,-2.73328755,2.42709868
0.02,-2.7302899,2.41367016
0.025,-2.7246764,2.41464192
0.03,-2.72237817,2.40166816
0.035,-2.71705127,2.40304914
0.04,-2.71515839,2.39208404
0.045,-2.71035767,2.39414658
0.05,-2.70860357,2.39427193
0.055,-2.70150646,2.39568804
0.06,-2.69805607,2.3905389
0.065,-2.69713423,2.39115901
0.07,-2.6960443,2.39196942
0.075,-2.69486958,2.39302547
0.08,-2.69929322,2.40048368
0.085,-2.69816904,2.40164165
0.09,-2.69716086,2.40300793
0.095,-2.69627846,2.40461295
0.1,-2.700417,2.42061934
0.105,-2.69975411,2.42213122
0.11,-2.70281355,2.43887948
0.115,-2.70223151,2.44055292
0.12,-2.70573021,2.4566133
0.125,-2.7052831,2.4583949
0.13,-2.69897352,2.49085864
0.135,-2.69887954,2.49264611
0.14,-2.70733312,2.49913111
0.145,-2.71036062,2.50666907
0.15,-2.7105659,2.50835391
0.155,-2.72054083,2.51954003
0.16,-2.72068624,2.52128261
0.165,-2.7207568,2.53770566
0.17,-2.72087148,2.53950278
0.175,-2.72958255,2.5460791
0.18,-2.73098802,2.54624578
0.185,-2.73098694,2.54815997
0.19,-2.73498623,2.55172541
0.195,-2.73500704,2.55313062
0.2,-2.74173167,2.55410955
0.205,-2.7407459,2.55349785
0.21,-2.74252317,2.55146092
0.215,-2.7429139,2.54823291
0.22,-2.74204772,2.5464598
0.225,-2.74183977,2.54431231
0.23,-2.74194608,2.54107746
0.235,-2.74380489,2.53129281
0.24,-2.74017327,2.52965205
0.245,-2.73780595,2.52540443
0.25,-2.72890842,2.50466349
0.255,-2.72684381,2.50223618
0.26,-2.72776443,2.48789065
0.265,-2.72452617,2.48558875
0.27,-2.71930696,2.46363421
0.275,-2.71679707,2.45964269
0.28,-2.71503368,2.44130956
0.285,-2.71255955,2.43715452
0.29,-2.7104563,2.41377617
0.295,-2.70758559,2.4104115
0.3,-2.70909597,2.39594342
0.305,-2.70518132,2.39339831
