time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
65,-14.96179851,7.89182463,1.04773826,-0.67044495,13.35111178,16.18028429,33.31465371,-15.06743624,-11.30154353,-7.30868952,4.42250156,-0.38461446
65.005,-15.46201034,7.84677928,1.02617054,-0.88809161,13.62378684,16.61499954,33.23435485,-15.17331091,-11.20347636,-6.20017081,4.47095762,-0.00315842
65.01,-15.92144379,7.76233431,0.99003262,-1.16822051,13.86541211,17.03657755,33.15718686,-15.2489422,-11.06984245,-5.23657618,4.50521484,0.33042876
65.015,-16.33272327,7.63867165,0.94689164,-1.51842159,14.07012234,17.43018905,33.08706349,-15.29419182,-10.89651679,-4.41995905,4.52495542,0.6063625
65.02,-16.68994282,7.47361029,0.89948287,-1.94373044,14.2311966,17.79089966,33.02504679,-15.30573394,-10.68833075,-3.7489324,4.53424433,0.81887904
65.025,-16.98186771,7.29123904,0.85964627,-2.44983746,14.35335008,18.03573178,32.99038411,-15.2933476,-10.41511005,-3.22749072,4.4911245,0.97227121
65.03,-17.22309332,7.02833094,0.80289048,-3.04088489,14.40302127,18.33822761,32.93979083,-15.23113778,-10.1578888,-2.84946666,4.49963939,1.04402793
65.035,-17.40700645,6.7361853,0.74587538,-3.71191837,14.3885873,18.55033732,32.90441587,-15.13001511,-9.85815546,-2.61361678,4.46897013,1.06964116
65.04,-17.52707867,6.40565068,0.69634936,-4.47059991,14.30021125,18.69611298,32.88235384,-14.99645936,-9.52853404,-2.5237035,4.43152989,1.02874841
65.045,-17.58266507,6.03732281,0.67323544,-5.3180751,14.14952829,18.79495176,32.87248644,-14.81948574,-9.16826792,-2.56347147,4.3535102,0.9136893
65.05,-17.55086177,5.64938618,0.66980589,-6.27866688,13.94073735,18.81878405,32.89281929,-14.62820993,-8.76589041,-2.74443347,4.2000671,0.65532131
65.055,-17.48281448,5.20353371,0.6509597,-7.29149868,13.58995884,18.74371946,32.92357405,-14.35451954,-8.35573104,-3.06871295,4.10218409,0.45001133
65.06,-17.27317304,4.78556496,0.7173479,-8.45507781,13.1979956,18.51081354,33.02013284,-14.10696169,-7.84676106,-3.50048216,3.85532902,-0.04252603
65.065,-17.02808724,4.29876108,0.778387,-9.68668057,12.68733263,18.22780368,33.10226923,-13.78081593,-7.38706827,-4.04230948,3.58280517,-0.43447997
65.07,-16.70902262,3.80721629,0.86793959,-11.00965775,12.05867562,17.83367742,33.221411,-13.42409803,-6.88317576,-4.70368515,3.28480966,-0.91345383
65.075,-16.31233124,3.31616177,0.98550431,-12.43164837,11.31133419,17.33613549,33.37507466,-13.04599556,-6.3547194,-5.47740006,2.98044037,-1.4789804
65.08,-15.86217461,2.7795773,1.12132884,-13.93074104,10.46216164,16.7687691,33.51762049,-12.60441788,-5.85626627,-6.30933466,2.5630324,-1.98886397
65.085,-15.34465158,2.24834484,1.27466492,-15.51339594,9.46996185,16.10967474,33.68536796,-12.13983327,-5.35051417,-7.22650722,2.13197338,-2.54565838
65.09,-14.76715711,1.71241842,1.44868954,-17.17322914,8.35301318,15.3743304,33.86141921,-11.64425942,-4.86222012,-8.20386772,1.67015614,-3.10960586
