time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
56.235,14.07353654,0.77932743,-2.35280549,-20.56885603,8.24744821,-3.32344707,32.40277481,-1.42384006,-5.68718537,-35.97882349,-8.72163808,2.01976925
56.24,14.15036687,0.92634389,-2.5258274,-20.95841244,8.52907692,-3.11341287,32.1534799,-1.58493416,-5.72111362,-34.85856549,-9.20324773,1.96067224
56.245,14.16706331,1.04435276,-2.42534055,-21.25516502,8.86097148,-3.02273185,31.91892865,-1.71710968,-5.77180895,-33.72830485,-9.69110921,1.90445697
56.25,14.182749,1.16626611,-2.3225736,-21.57733085,9.20994538,-2.89337724,31.66074142,-1.85214568,-5.81496956,-32.5631789,-10.21951715,1.7958131
56.255,14.19579143,1.30183169,-2.23057858,-21.90277479,9.56931708,-2.75204288,31.39130134,-2.0037128,-5.86375121,-31.3809671,-10.75842867,1.68285135
56.26,14.20070261,1.45127445,-2.15697596,-22.22754376,9.94894414,-2.58715101,31.11022434,-2.17366976,-5.92371176,-30.1948642,-11.3144236,1.55042971
56.265,14.21721379,1.59946086,-2.06165444,-22.57350969,10.30275237,-2.46260601,30.82069909,-2.34889696,-6.01217062,-29.00718542,-11.86332526,1.47320525
56.27,14.22881776,1.75874728,-1.98693305,-22.92940073,10.68744696,-2.28608623,30.52172092,-2.53716716,-6.10107819,-27.83707242,-12.4226672,1.34160582
56.275,14.24024804,1.93087511,-1.93456628,-23.27470537,11.06736579,-2.1349999,30.22853655,-2.74834811,-6.23202817,-26.69610802,-12.96579572,1.24955931
56.28,14.25516406,2.10638313,-1.89222114,-23.66132534,11.49256596,-1.87891976,29.92324525,-2.95577017,-6.32024888,-25.58814174,-13.4980274,1.06374204
56.285,14.28122599,2.27884026,-1.84333404,-24.03833428,11.87304095,-1.72126922,29.62808178,-3.17761499,-6.49757563,-24.51262832,-14.01062461,0.99118585
56.29,14.31211206,2.45009475,-1.80301692,-24.45281272,12.2950961,-1.46714662,29.32491643,-3.39307684,-6.64256085,-23.48028651,-14.50241901,0.83518712
56.295,14.34351536,2.62287454,-1.79242059,-24.85182247,12.71802621,-1.24179216,29.03192782,-3.62209926,-6.85088479,-22.49592904,-14.9729325,0.71497181
56.3,14.38613699,2.79147428,-1.78158917,-25.27763989,13.15416096,-0.98468257,28.74145322,-3.84675513,-7.0596392,-21.55987131,-15.41095362,0.58085041
56.305,14.43926111,2.95456686,-1.7776996,-25.72427845,13.60192418,-0.70262307,28.45494744,-4.06710925,-7.27305868,-20.674126,-15.81790923,0.44202686
56.31,14.49945236,3.11314078,-1.78658756,-26.17404795,14.0538934,-0.44229646,28.17948075,-4.28919058,-7.53314343,-19.84289621,-16.19730379,0.32203014
56.315,14.57311077,3.26332093,-1.79304815,-26.65553146,14.52325151,-0.13306451,27.90479293,-4.49892711,-7.76958621,-19.05955639,-16.54398679,0.1856006
56.32,14.65117439,3.40300079,-1.81102103,-27.13151711,14.99332116,0.13445662,27.63872392,-4.70613958,-8.06922023,-18.32463379,-16.86467803,0.07308046
56.325,14.74152998,3.53642277,-1.82617522,-27.63315106,15.47826984,0.42985503,27.37611541,-4.90416295,-8.35463721,-17.63854502,-17.15591771,-0.04480345
56.33,14.84163466,3.66160524,-1.84079915,-28.14931531,15.97216896,0.72548793,27.11955029,-5.09260389,-8.6454513,-17.00062103,-17.42185853,-0.15687326
56.335,14.94990806,3.77992043,-1.85402171,-28.6757437,16.470294,1.00322916,26.86931897,-5.27345095,-8.94767489,-16.40839603,-17.66118137,-0.25845374
56.34,15.06552601,3.89843175,-1.88052828,-29.21946625,16.99105142,1.32387364,26.62680561,-5.44939362,-9.21727353,-15.86598245,-17.88437173,-0.37372676
56.345,15.19458747,4.00233338,-1.87379759,-29.77892554,17.50263561,1.58550648,26.38542544,-5.6102842,-9.51599836,-15.35771575,-18.08621396,-0.45644595
56.35,15.3297768,4.09747585,-1.86098647,-30.34336505,18.01156318,1.80385132,26.14686429,-5.75982069,-9.82736363,-14.883766,-18.26219202,-0.52505015
56.355,15.47360644,4.19451674,-1.8444259,-30.92571755,18.53938376,2.05127525,25.91581992,-5.90522334,-10.10548633,-14.45332132,-18.43039391,-0.59637819
56.36,15.62427182,4.28882069,-1.82228408,-31.51988881,19.06998081,2.2771234,25.69050617,-6.04357942,-10.36973938,-14.06247737,-18.58805519,-0.66028844
56.365,15.78191744,4.38136617,-1.79111516,-32.124986,19.60542778,2.48947487,25.47075567,-6.17544602,-10.61767161,-13.70593368,-18.73785469,-0.71724007
56.37,15.94637035,4.47377182,-1.74696594,-32.74173793,20.14162962,2.67298473,25.25690077,-6.30100026,-10.84930474,-13.38438307,-18.88005768,-0.7644516
56.375,16.11711352,4.56668309,-1.69648612,-33.36654947,20.6823605,2.84899549,25.04805176,-6.42201613,-11.05826988,-13.09094536,-19.02030731,-0.80589877
56.38,16.29291968,4.66221923,-1.63599624,-34.00249956,21.2209131,2.9902805,24.84604899,-6.53968801,-11.24736528,-12.83268282,-19.15736415,-0.83869613
56.385,16.47562169,4.75872095,-1.56492331,-34.64908633,21.76128153,3.12015753,24.64996505,-6.65263789,-11.41257217,-12.60140294,-19.29671741,-0.86519704
56.39,16.56271826,5.17233874,-1.44282444,-35.23816286,22.25847119,3.0952795,24.62700443,-7.09450305,-11.78935537,-12.86737055,-19.0507875,-0.5949741
56.395,16.74523147,5.27776804,-1.3469662,-35.90017157,22.7798168,3.13087777,24.43619045,-7.21071573,-11.9582685,-12.69742549,-19.20711668,-0.52375881
56.4,16.94451695,5.39061997,-1.25378118,-36.57674372,23.32552045,3.21862643,24.26730103,-7.33066741,-12.08262468,-12.56492311,-19.33813273,-0.49545814
56.405,17.10867575,5.55039334,-1.16677609,-37.23095559,23.82909276,3.18984387,24.08628341,-7.48504318,-12.15066618,-12.46080674,-19.47231089,-0.46864095
56.41,17.34984595,5.63216417,-1.0655557,-37.95238743,24.3955012,3.33622241,23.94874327,-7.57457724,-12.25254867,-12.37719777,-19.63506892,-0.43932422
56.415,17.56019608,5.75789023,-0.97770951,-38.65387886,24.9327455,3.39096287,23.80203462,-7.69787466,-12.30006964,-12.3201637,-19.79719306,-0.4147226
56.42,17.73667908,5.91615792,-0.8905212,-39.33998888,25.43952268,3.34830844,23.63561023,-7.84592867,-12.32014292,-12.28238095,-19.96269164,-0.3799315
56.425,17.99506607,6.0075709,-0.80117678,-40.08589113,25.99278533,3.46898682,23.5266288,-7.93783365,-12.35394019,-12.26584937,-20.16331662,-0.36031464
56.43,18.1757881,6.16382992,-0.72479474,-40.79122136,26.49640888,3.41757753,23.36778848,-8.08306515,-12.34632308,-12.26791488,-20.34864806,-0.32410385
56.435,18.44601817,6.24778232,-0.65360179,-41.55466372,27.04805071,3.54078267,23.27496301,-8.16836596,-12.34947049,-12.28760076,-20.57830278,-0.31715094
56.44,18.67552139,6.36376454,-0.59722347,-42.29911651,27.5764954,3.58393547,23.15761668,-8.2811123,-12.32658794,-12.32271334,-20.80211156,-0.30613579
56.445,18.90536724,6.47395261,-0.54781784,-43.04972699,28.1028886,3.62708608,23.04195158,-8.39159353,-12.3008851,-12.37259127,-21.03556139,-0.29392053
56.45,19.14075785,6.57890961,-0.51073512,-43.80863597,28.62930034,3.68388026,22.9318332,-8.49864764,-12.27065713,-12.43438118,-21.27410081,-0.28672151
56.455,19.32811391,6.71176292,-0.47929598,-44.54992928,29.12481116,3.64106091,22.78547513,-8.6322767,-12.24201892,-12.50832833,-21.49145611,-0.25139567
56.46,19.6124832,6.76538242,-0.47319322,-45.34482398,29.67999157,3.8221258,22.71543615,-8.70155811,-12.21063572,-12.59352597,-21.75129374,-0.27103515
56.465,19.84486748,6.85111621,-0.47757657,-46.11517412,30.21061603,3.90502909,22.60941858,-8.80108634,-12.17520117,-12.68903564,-21.98091849,-0.27305941
56.47,20.07747324,6.92281549,-0.49256167,-46.89016878,30.7422953,4.00196019,22.50330632,-8.89363515,-12.14917215,-12.79462876,-22.19825982,-0.26907694
56.475,20.31045469,6.98751415,-0.52316716,-47.66685886,31.27873945,4.11671324,22.39892881,-8.98335649,-12.12929394,-12.9075215,-22.3950398,-0.2660571
