time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
105.985,-1.54448376,-1.71408202,-9.21218916,-13.02465687,16.25447386,0.3012434,34.12061833,-2.51306454,-6.06266117,-19.56521512,-8.89589944,-7.52098887
105.99,-1.42881791,-2.13620349,-9.17960117,-13.60940627,16.45031384,0.31909839,34.40845085,-2.22808238,-6.01974896,-20.74583395,-8.85549013,-7.64112628
105.995,-1.3181228,-2.53520736,-9.15125548,-14.19475893,16.63570421,0.35314059,34.71759861,-1.96435613,-5.97729602,-21.98439272,-8.78474966,-7.69431332
106,-1.2210973,-2.9461072,-9.09779469,-14.78953096,16.80344216,0.36616006,35.01384761,-1.69655983,-5.96455071,-23.24223913,-8.74650919,-7.71743283
106.005,-1.1290063,-3.35901276,-9.0517453,-15.38236648,16.9638572,0.40388759,35.31344937,-1.4277612,-5.96732545,-24.51545508,-8.72042329,-7.7320706
106.01,-1.04663295,-3.77387455,-9.00168615,-15.97439942,17.1032033,0.45367466,35.60261294,-1.16058491,-5.99484168,-25.78791326,-8.72171035,-7.73406205
106.015,-0.97701797,-4.18955804,-8.94782527,-16.55767487,17.22186105,0.50931215,35.87514608,-0.89425851,-6.04863627,-27.04644707,-8.74634248,-7.72789328
106.02,-0.91632541,-4.60752307,-8.8934659,-17.13613567,17.31512171,0.57910141,36.13262193,-0.62721377,-6.12454442,-28.28587831,-8.79228959,-7.71976084
106.025,-0.8895239,-5.02686688,-8.85630956,-17.68730384,17.38011372,0.60185718,36.35556865,-0.34992442,-6.22132235,-29.49315809,-8.84045695,-7.71382841
106.03,-0.84006101,-5.45401318,-8.79279115,-18.25676205,17.40451472,0.68739616,36.5689038,-0.08043065,-6.35794504,-30.6600362,-8.93250813,-7.70728647
106.035,-0.80424291,-5.87868251,-8.73475784,-18.81792913,17.38454574,0.77228681,36.75238311,0.19223439,-6.50963739,-31.78542191,-9.03551124,-7.71189507
106.04,-0.75423854,-6.30242825,-8.65732898,-19.39419378,17.3532424,0.9198091,36.91693937,0.45199101,-6.69510022,-32.86720519,-9.17203726,-7.74328635
106.045,-0.74606097,-6.73819788,-8.62248892,-19.92827948,17.21340664,0.96646636,37.03395435,0.74433641,-6.88803619,-33.88712289,-9.27907122,-7.76672049
106.05,-0.69392266,-7.18238543,-8.53732408,-20.52427152,17.10303032,1.09562566,37.13046096,1.02261318,-7.12025925,-34.85512769,-9.43245772,-7.83484528
106.055,-0.67846151,-7.62719537,-8.49990326,-21.07138451,16.83439312,1.15280873,37.18466707,1.32512521,-7.35222621,-35.75916496,-9.53947485,-7.8893436
106.06,-0.61164856,-8.09547998,-8.40996995,-21.69991247,16.61672656,1.27538669,37.21012283,1.62623822,-7.62236474,-36.60257275,-9.68928723,-8.00920662
106.065,-0.57658839,-8.55562016,-8.36758866,-22.28549495,16.23076727,1.31466039,37.19488341,1.94463332,-7.89009392,-37.38254295,-9.78353346,-8.08913199
106.07,-0.48439365,-9.05348404,-8.26176324,-22.96791331,15.88602855,1.38208654,37.14091205,2.2796614,-8.18812997,-38.09096237,-9.91668525,-8.23272168
106.075,-0.39429914,-9.54957243,-8.18079971,-23.64341603,15.40716838,1.41977042,37.05062734,2.62654182,-8.48783824,-38.732986,-9.99726063,-8.36854698
106.08,-0.27758479,-10.05272116,-8.08498555,-24.37064336,14.86844296,1.43775463,36.92152828,2.97975622,-8.79562167,-39.31365965,-10.05580517,-8.51997414
106.085,-0.1301876,-10.56130353,-7.9688389,-25.14125343,14.2481464,1.44550332,36.75331833,3.33831625,-9.11194763,-39.82465818,-10.07417206,-8.69451079
106.09,0.04619432,-11.08719583,-7.84570559,-25.96286506,13.5545792,1.39912056,36.54676907,3.72320439,-9.42893706,-40.26595019,-10.06528205,-8.84666274
106.095,0.26893249,-11.61704183,-7.6883688,-26.85141753,12.7817862,1.33393902,36.30176333,4.10608924,-9.75773932,-40.64175286,-10.00726951,-9.02453492
106.1,0.52179065,-12.15120691,-7.53574964,-27.79832186,11.93038301,1.21930451,36.01858152,4.51083436,-10.0604082,-40.95346087,-9.90801516,-9.16201061
106.105,0.82731249,-12.68776657,-7.34967672,-28.81940435,11.00089515,1.07081334,35.69912402,4.91731289,-10.37382804,-41.1994752,-9.7560937,-9.30599966
106.11,1.19289778,-13.2259663,-7.12406525,-29.92789483,10.00074358,0.8797863,35.34815579,5.32703052,-10.68309425,-41.39028569,-9.54977103,-9.44711462
106.115,1.63731523,-13.75169335,-6.83185118,-31.13182792,8.9265775,0.63243724,34.97254648,5.72203732,-11.00225421,-41.52482462,-9.26988417,-9.59664091
106.12,2.1202864,-14.28273017,-6.55635146,-32.41565903,7.78330859,0.35747338,34.56061479,6.1525328,-11.26823208,-41.59974301,-8.95407139,-9.68927822
106.125,2.7089645,-14.78651223,-6.19189773,-33.81318637,6.57372591,0.00200409,34.14206089,6.5406529,-11.57029671,-41.6411838,-8.55132611,-9.79356255
106.13,3.35903742,-15.28968837,-5.80966662,-35.30991854,5.3124701,-0.38598208,33.69568256,6.95061136,-11.83562465,-41.63297913,-8.09828405,-9.86279095
106.135,4.09403938,-15.77542009,-5.38017954,-36.91736473,4.00265249,-0.81796479,33.2366014,7.35531795,-12.08896673,-41.58887528,-7.57753104,-9.91636669
106.14,4.91841845,-16.24380894,-4.90607765,-38.63786301,2.65312585,-1.29498102,32.77146176,7.75583927,-12.32808941,-41.5171695,-6.99789389,-9.94826402
106.145,5.83374316,-16.69685402,-4.38854373,-40.47186227,1.26943817,-1.80988238,32.30388632,8.15742438,-12.55245198,-41.42033054,-6.36506369,-9.95709095
106.15,6.80129506,-17.16713091,-3.88889384,-42.41139611,-0.14153595,-2.29624573,31.81316076,8.59982031,-12.73286141,-41.29380623,-5.72952298,-9.94131233
106.155,7.94996081,-17.51176322,-3.21181133,-44.47676087,-1.55204228,-2.93297726,31.39747075,8.93173751,-12.95342399,-41.19893337,-4.91924607,-9.9183385
106.16,9.13529819,-17.8986696,-2.55685732,-46.64643013,-2.9244305,-3.53135503,30.94674253,9.33099108,-13.14066851,-41.07535721,-4.11512996,-9.89275107
106.165,10.41666027,-18.24439115,-1.86209489,-48.9173345,-4.28512553,-4.13972154,30.52342723,9.7166498,-13.31154222,-40.96376159,-3.26450481,-9.84672897
106.17,11.78269794,-18.55936085,-1.13322164,-51.28450297,-5.60646461,-4.74817621,30.12201925,10.10212799,-13.46699458,-40.86544906,-2.37477079,-9.78764333
106.175,13.237029,-18.8308742,-0.37190151,-53.74017346,-6.88716859,-5.35253436,29.75458096,10.47547014,-13.61064949,-40.7928297,-1.44513224,-9.70616605
106.18,14.75610624,-19.08196247,0.42042444,-56.27955436,-8.04973239,-5.94356732,29.40115605,10.86401861,-13.74407294,-40.73647996,-0.48086304,-9.64363249
106.185,16.34802101,-19.28815193,1.23287589,-58.88949123,-9.12889632,-6.51111755,29.08326941,11.24409025,-13.86197837,-40.71564378,0.50935269,-9.56548578
106.19,18.00276388,-19.45119542,2.06196961,-61.56115834,-10.10018319,-7.04449255,28.79754324,11.61979289,-13.96583044,-40.73000417,1.52326432,-9.48132064
106.195,19.66501931,-19.62691476,2.85188603,-64.28352207,-10.96108609,-7.49256391,28.50106824,12.0351025,-14.03701491,-40.77015123,2.50040399,-9.41500513
106.2,21.47058389,-19.64018018,3.74015257,-67.05070682,-11.65406264,-7.97773685,28.32315581,12.35170255,-14.12919699,-40.8798728,3.60166396,-9.30572392
106.205,23.26697179,-19.66247584,4.57515288,-69.8459833,-12.20860741,-8.37215531,28.13216855,12.70589565,-14.18522108,-41.01699598,4.65706289,-9.21248876
106.21,25.05715519,-19.68754137,5.36898857,-72.65619499,-12.63224527,-8.69945338,27.93036421,13.09666953,-14.19666062,-41.17399321,5.67160242,-9.13509411
106.215,26.94977731,-19.55420317,6.19237815,-75.47868816,-12.86570892,-8.98167923,27.83652757,13.37207147,-14.24023226,-41.41790891,6.7789813,-9.01687544
106.22,28.82291418,-19.42364963,6.95953124,-78.29255694,-12.95319964,-9.20244034,27.72662606,13.68026114,-14.23578458,-41.67698239,7.83626932,-8.9117958
106.225,30.7087208,-19.24229375,7.68724927,-81.08818638,-12.88417058,-9.3659685,27.63647165,13.96747257,-14.20700449,-41.9693749,8.88562943,-8.80500196
106.23,32.60306196,-19.01184056,8.3683182,-83.8534253,-12.6606093,-9.47703039,27.5626257,14.23132982,-14.15209301,-42.29003343,9.92500815,-8.6925527
106.235,34.50262658,-18.73399978,8.99599354,-86.57611961,-12.29118582,-9.53967457,27.50106412,14.46911617,-14.06921727,-42.63266821,10.94777085,-8.57592363
106.24,36.3792017,-18.45507783,9.54683963,-89.24363566,-11.78246765,-9.62077507,27.41963208,14.7121259,-13.94141515,-42.97939416,11.91552976,-8.47858215
