time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
40,22.27562034,-2.0060081,-7.08186565,-30.47297748,-5.77886573,-6.15395316,-0.89901137,0.57205975,3.07196062,-10.52370323,2.93539984,7.35383657
40.005,22.11500221,-1.96757954,-7.13907208,-28.83543721,-6.53769609,-6.84714842,-1.23026342,0.66926148,3.02730577,-10.38207777,3.04084138,7.23689156
40.01,21.96117161,-1.94818873,-7.22314141,-27.2332907,-7.34454092,-7.56418554,-1.53538559,0.7853949,3.00314576,-10.26948634,3.17091153,7.10488181
40.015,21.79386653,-1.93156192,-7.33391318,-25.66851229,-8.20040613,-8.28162273,-1.83846077,0.9063509,2.97696214,-10.18051421,3.30564062,6.98260221
40.02,21.61443283,-1.91497013,-7.47419922,-24.14986641,-9.09692918,-8.9987325,-2.1415071,1.03017337,2.94445209,-10.11466607,3.44452725,6.87125683
40.025,21.43313911,-1.90692793,-7.65739687,-22.68944657,-10.02026454,-9.71412029,-2.4332887,1.16241302,2.9236934,-10.07965726,3.61112077,6.76299656
40.03,21.26036514,-1.9123007,-7.89212936,-21.29743531,-10.96338567,-10.42753071,-2.70613226,1.30640607,2.91997916,-10.07503187,3.78369851,6.6533125
40.035,21.0746347,-1.90229061,-8.1556878,-19.97160472,-11.92563238,-11.12735401,-2.98701985,1.44274897,2.89771085,-10.09355862,3.96013074,6.56419231
40.04,20.88994257,-1.89367317,-8.46509539,-18.72399626,-12.88704482,-11.81619957,-3.25970342,1.58224504,2.8880725,-10.14242497,4.15951805,6.48557901
40.045,20.70608767,-1.88023632,-8.82119899,-17.55949803,-13.84263989,-12.49503461,-3.52587863,1.71954072,2.87893459,-10.22176207,4.37099356,6.41908263
40.05,20.52267091,-1.85875358,-9.21768331,-16.48151239,-14.78293202,-13.16455649,-3.78738598,1.85282758,2.87103691,-10.33032984,4.59559545,6.36731471
40.055,20.36105858,-1.81830306,-9.70468982,-15.48548499,-15.67424983,-13.75087116,-4.01723742,1.95724017,2.90990607,-10.46167895,4.84628507,6.32460104
40.06,20.15814842,-1.78228424,-10.11249196,-14.5964245,-16.58484709,-14.48377966,-4.29662537,2.09984914,2.85086493,-10.63695501,5.08375189,6.31219606
40.065,19.97849492,-1.72521308,-10.6010855,-13.79210446,-17.43061035,-15.13819124,-4.54287136,2.21095642,2.83881343,-10.83502173,5.34334749,6.30906229
40.07,19.79995437,-1.65441639,-11.10593764,-13.0805124,-18.23004108,-15.79647615,-4.78397039,2.31291211,2.82252681,-11.06311165,5.61458453,6.32346762
40.075,19.62329126,-1.57045578,-11.62123513,-12.46068858,-18.97601348,-16.45827035,-5.01868859,2.40518807,2.80263238,-11.32072631,5.89478492,6.35510184
40.08,19.45110716,-1.47506384,-12.14397041,-11.93073845,-19.66314608,-17.12485581,-5.24234619,2.48741492,2.78447576,-11.60942761,6.18179837,6.40128198
40.085,19.27755388,-1.36560819,-12.65400566,-11.48868675,-20.28636081,-17.80441308,-5.46287103,2.55961374,2.75064077,-11.92587502,6.47306858,6.46353371
40.09,19.10754883,-1.24719775,-13.15698427,-11.13067884,-20.84012399,-18.49035721,-5.67091896,2.62194718,2.71727818,-12.27323389,6.76812911,6.54056184
40.095,18.95392105,-1.12036682,-13.68982541,-10.85156518,-21.29787998,-19.12924149,-5.85103502,2.6639853,2.71124125,-12.64557608,7.07437024,6.6137339
40.1,18.77513574,-0.99032944,-14.11096938,-10.65184976,-21.72763089,-19.88605739,-6.04844738,2.71980608,2.6420231,-13.05909196,7.34996195,6.74028302
40.105,18.608747,-0.84737025,-14.53187055,-10.52154638,-22.05219875,-20.59017388,-6.22102721,2.75388713,2.58309802,-13.49751808,7.64754749,6.85424871
40.11,18.45100185,-0.70714708,-14.95953497,-10.45514615,-22.29259499,-21.26461076,-6.36487573,2.77482024,2.54719716,-13.96874431,7.93805154,6.97638288
40.115,18.28170706,-0.55324827,-15.27428673,-10.45219963,-22.46709784,-22.00020832,-6.50871939,2.79386486,2.45461396,-14.47642368,8.20506436,7.12790723
40.12,18.1198288,-0.40170518,-15.5799676,-10.50182589,-22.55376112,-22.69716303,-6.62351509,2.80015211,2.37733095,-15.01549828,8.46757614,7.28382922
40.125,17.95819481,-0.24649613,-15.83602709,-10.59916304,-22.56475444,-23.38483545,-6.71629065,2.79541107,2.2883978,-15.59030524,8.71438926,7.45583385
40.13,17.7980001,-0.08892281,-16.05280138,-10.73875921,-22.49750942,-24.04907769,-6.78193002,2.77679099,2.19693848,-16.203926,8.9393885,7.64676503
40.135,17.6360259,0.07451342,-16.19027048,-10.91374557,-22.36094824,-24.70819642,-6.82701697,2.75144524,2.07059429,-16.85318374,9.15363559,7.84716023
40.14,17.47526407,0.2424981,-16.28448072,-11.11839146,-22.15500832,-25.33652179,-6.84080877,2.70907781,1.93677681,-17.54428835,9.33924594,8.07123965
40.145,17.31340632,0.41523973,-16.33413657,-11.34595184,-21.88174709,-25.92940848,-6.82294533,2.64937725,1.79086347,-18.27969255,9.49628997,8.326138
40.15,17.15318155,0.60020373,-16.30963201,-11.59501297,-21.55657031,-26.50108587,-6.77576427,2.57393389,1.61270536,-19.05666723,9.62686348,8.58908814
40.155,16.99042948,0.79372355,-16.24528869,-11.85345634,-21.17258401,-27.03244242,-6.69349017,2.47601169,1.41531191,-19.88140606,9.72424537,8.89423902
40.16,16.82464786,0.99173536,-16.12792409,-12.12613834,-20.73194421,-27.51763573,-6.58130051,2.36392475,1.19725838,-20.75348063,9.8001147,9.20888924
40.165,16.66350028,1.22260124,-15.96028362,-12.39358552,-20.27913702,-27.98100331,-6.42391643,2.20874648,0.94253839,-21.67506819,9.81067798,9.58269292
40.17,16.48891184,1.45744095,-15.73585344,-12.66583578,-19.75988375,-28.38324449,-6.24393667,2.04110757,0.68656759,-22.64510816,9.80269881,9.94565955
40.175,16.32581082,1.71725609,-15.50657263,-12.93092454,-19.24822373,-28.75692525,-6.0108705,1.82773643,0.35380409,-23.67184115,9.74121158,10.40484261
40.18,16.16012874,1.99696163,-15.22535587,-13.18768163,-18.71053168,-29.09099032,-5.7403609,1.58524601,0.0278268,-24.74836716,9.62778835,10.87561756
40.185,15.99859413,2.29451179,-14.91765467,-13.43735952,-18.16176581,-29.3879575,-5.42665174,1.31017817,-0.33134529,-25.87830113,9.46932159,11.37459505
40.19,15.81321336,2.61784467,-14.59515356,-13.6725926,-17.58833321,-29.61118675,-5.09643646,0.99259034,-0.71490575,-27.05817164,9.26078409,11.91464375
40.195,15.63225536,2.96397269,-14.2518216,-13.89324776,-17.02134738,-29.80136188,-4.72220479,0.636845,-1.11862089,-28.28917168,8.99635781,12.48658069
40.2,15.45765355,3.32998112,-13.89674518,-14.10157469,-16.4589493,-29.95619631,-4.30429004,0.24382471,-1.54424018,-29.57005105,8.67450296,13.08910771
40.205,15.26427134,3.72499995,-13.53686132,-14.28788346,-15.9096839,-30.05703813,-3.86527293,-0.19520094,-1.97535252,-30.89740755,8.2927201,13.71271323
40.21,15.07364462,4.13646496,-13.1806337,-14.46121004,-15.36839297,-30.12650322,-3.39067192,-0.66968977,-2.419992,-32.26655937,7.85241447,14.35811216
40.215,14.87386098,4.57292301,-12.82170053,-14.61152535,-14.85825495,-30.14816769,-2.8889848,-1.185483,-2.86439151,-33.67509937,7.34643747,15.01136369
40.22,14.65822441,5.02536135,-12.49945146,-14.75225644,-14.39802447,-30.13435678,-2.37572251,-1.74071945,-3.32102097,-35.11769555,6.74796927,15.62229961
40.225,14.47104893,5.48991298,-12.14455135,-14.87693981,-13.86837086,-30.11101165,-1.80365713,-2.31684672,-3.75026805,-36.59496752,6.16599684,16.34024112
40.23,14.27258452,5.96879369,-11.81679706,-14.98356608,-13.41353278,-30.03365097,-1.21684846,-2.92569137,-4.1770038,-38.09311293,5.48275315,16.99338582
40.235,14.05670596,6.46347391,-11.51154251,-15.07260976,-12.98938315,-29.93027705,-0.6226256,-3.56586612,-4.58388744,-39.61058164,4.75718983,17.62957859
40.24,13.82420451,6.97065689,-11.22773092,-15.14478591,-12.59655696,-29.80714888,-0.02293668,-4.23213265,-4.96815993,-41.14112611,3.99579543,18.24068937
40.245,13.59092115,7.47993381,-10.95586968,-15.20339345,-12.22937135,-29.65520753,0.59379325,-4.91071326,-5.32927954,-42.67592968,3.19187213,18.82250024
40.25,13.352258,7.98978371,-10.70005314,-15.24824301,-11.88767711,-29.48058317,1.22146199,-5.59829292,-5.66106045,-44.20941262,2.35944514,19.3650357
40.255,13.10810569,8.49746891,-10.46103185,-15.28090283,-11.57012216,-29.28401849,1.85705775,-6.29063354,-5.96329981,-45.73511289,1.50971256,19.86476688
40.26,12.85898429,8.99694624,-10.23567251,-15.30134364,-11.2771923,-29.06319204,2.49917824,-6.97858794,-6.23301931,-47.24524553,0.64572323,20.31238607
40.265,12.60025668,9.4905149,-10.03382713,-15.30960755,-11.00552623,-28.8284073,3.14324381,-7.66334951,-6.46324601,-48.7380718,-0.20538208,20.6942146
40.27,12.31218286,9.97927782,-9.83403662,-15.30255302,-10.77136305,-28.60811763,3.76535729,-8.34247591,-6.66769522,-50.20306407,-1.02876664,21.02418195
40.275,12.02520097,10.44858927,-9.64438325,-15.28695689,-10.54842544,-28.36164488,4.39400046,-8.9995185,-6.83772168,-51.63566172,-1.83339772,21.28796548
40.28,11.73532231,10.89537657,-9.46089955,-15.25995284,-10.33254795,-28.08953642,5.02433778,-9.62880271,-6.97323752,-53.0292889,-2.61150168,21.48537539
40.285,11.42882222,11.32692383,-9.28276824,-15.22244537,-10.14112385,-27.82410636,5.64134749,-10.2367743,-7.07652032,-54.38333648,-3.33135545,21.60597395
40.29,11.1091162,11.74039301,-9.10383515,-15.17255997,-9.96728893,-27.56854893,6.24741524,-10.81748221,-7.14894819,-55.69208504,-3.98686835,21.64847952
40.295,10.78567289,12.12368458,-8.92386605,-15.11386585,-9.79629112,-27.2813633,6.84873332,-11.35838469,-7.19364408,-56.94809023,-4.59656467,21.62125016
40.3,10.45019449,12.48617298,-8.73569146,-15.04349292,-9.64269425,-27.00863105,7.43738079,-11.86667672,-7.21164942,-58.15201849,-5.12982813,21.51227689
40.305,10.10721504,12.82234771,-8.54241854,-14.96270801,-9.49513899,-26.72975604,8.01645464,-12.33610171,-7.20223205,-59.29946296,-5.59226132,21.32374208
40.31,9.75783669,13.13319111,-8.33483226,-14.87133867,-9.35811127,-26.45620461,8.58503669,-12.76664017,-7.17184551,-60.38757958,-5.9808727,21.05470445
40.315,9.40430134,13.41768054,-8.1125925,-14.76981581,-9.22736561,-26.18784722,9.14445513,-13.1562735,-7.11996296,-61.41446266,-6.2932752,20.7019133
40.32,9.04541365,13.67509258,-7.88110419,-14.65863243,-9.09835334,-25.90205261,9.69268922,-13.50543502,-7.04684853,-62.37785024,-6.53815197,20.27588789
40.325,8.68838903,13.91459924,-7.63278038,-14.5321978,-9.01697149,-25.6572171,10.23901001,-13.82077536,-6.94896854,-63.27938486,-6.69645556,19.76627409
40.33,8.33229816,14.12078059,-7.35913098,-14.40197467,-8.90727123,-25.39139298,10.77318957,-14.08871896,-6.84503359,-64.11123075,-6.80532665,19.1741257
40.335,7.97588834,14.29447707,-7.05913717,-14.26879,-8.75755906,-25.10781125,11.29317076,-14.31026408,-6.73543178,-64.87265324,-6.87171948,18.49949906
40.34,7.62232895,14.4537831,-6.75056742,-14.12084261,-8.65047951,-24.83375149,11.8099342,-14.50453011,-6.60254198,-65.5699155,-6.86582229,17.76025982
40.345,7.27436345,14.58416436,-6.42218276,-13.96710003,-8.53558314,-24.54045276,12.31783369,-14.6554168,-6.45878131,-66.19484473,-6.81622454,16.94743759
40.35,6.93728734,14.69691461,-6.06592523,-13.8066397,-8.43758653,-24.2779907,12.8238793,-14.7773001,-6.30687474,-66.75356934,-6.73361589,16.06949508
40.355,6.61025218,14.79670562,-5.70245797,-13.6376802,-8.36116161,-24.01493638,13.32885495,-14.87492161,-6.13543175,-67.24651902,-6.61521353,15.13894858
40.36,6.29193077,14.86770722,-5.30858988,-13.46598323,-8.26452388,-23.74018452,13.82319458,-14.93368763,-5.96485338,-67.66616835,-6.47943469,14.14971195
40.365,5.98529775,14.91963914,-4.89691298,-13.28935121,-8.16714907,-23.45688324,14.3121733,-14.96470162,-5.78778053,-68.01635962,-6.32852717,13.11695062
40.37,5.69215206,14.93937298,-4.46619768,-13.1137453,-8.04907017,-23.13908092,14.79151587,-14.95560152,-5.61006602,-68.29235491,-6.16828342,12.04902662
40.375,5.41486043,14.95689216,-4.02156734,-12.93360325,-7.96438056,-22.84535279,15.27235448,-14.93868313,-5.41910923,-68.5070661,-6.01050645,10.96204074
40.38,5.15316733,14.95713274,-3.56994749,-12.75259028,-7.8614776,-22.53138437,15.74933732,-14.89861431,-5.21712041,-68.65503379,-5.85202934,9.86252152
40.385,4.90379346,14.95692331,-3.09581542,-12.56553135,-7.79319167,-22.24703416,16.22139278,-14.85575475,-5.01035196,-68.74055382,-5.70601592,8.7629381
40.39,4.67748348,14.91639634,-2.61679842,-12.38829163,-7.68668909,-21.90493038,16.68710411,-14.76887503,-4.80312093,-68.75406071,-5.56926345,7.67051092
40.395,4.4581395,14.8936574,-2.12137659,-12.20243105,-7.61772008,-21.60524818,17.14580639,-14.70074099,-4.58501617,-68.71245173,-5.44419875,6.6031719
40.4,4.26720928,14.82770302,-1.62961857,-12.02842428,-7.50898111,-21.2333554,17.60156575,-14.58741714,-4.3651009,-68.59951069,-5.33600078,5.56152405
40.405,4.0828204,14.76977407,-1.11746289,-11.84973952,-7.43590091,-20.89681372,18.04440378,-14.48657598,-4.14461669,-68.43030024,-5.24121099,4.56454924
40.41,3.9199681,14.69652912,-0.61493372,-11.67919578,-7.33033464,-20.52545797,18.48350912,-14.36960665,-3.9090791,-68.2000868,-5.15155672,3.61107775
40.415,3.75995427,14.63008898,-0.09031531,-11.50504039,-7.25679242,-20.18875601,18.90379931,-14.26673801,-3.67790937,-67.91525291,-5.06606211,2.71887659
40.42,3.62092551,14.54265657,0.43042603,-11.34010784,-7.16629271,-19.81927323,19.31574012,-14.14573134,-3.4422982,-67.56871001,-4.98846163,1.8829001
40.425,3.49760096,14.44757893,0.94832104,-11.18171185,-7.06675986,-19.42939566,19.71739715,-14.02197968,-3.20050481,-67.16600161,-4.91714768,1.11175287
40.43,3.39891726,14.33339274,1.43637584,-11.03195436,-6.93487771,-18.96395041,20.11688623,-13.88225301,-2.94474428,-66.70710698,-4.84907814,0.40758879
40.435,3.29162464,14.2340417,1.96762107,-10.8797204,-6.84624066,-18.59017816,20.48242789,-13.76928547,-2.70418375,-66.19610209,-4.75829192,-0.22165026
40.44,3.21437503,14.11112838,2.45585998,-10.74251346,-6.70784234,-18.11051045,20.84907109,-13.63439731,-2.44331662,-65.63073526,-4.67451622,-0.79099771
40.445,3.1391944,13.99081276,2.96113117,-10.60820993,-6.5851073,-17.66641794,21.1904365,-13.51207831,-2.18926483,-65.01314913,-4.56967294,-1.28819497
40.45,3.07517248,13.86577455,3.46224586,-10.48173058,-6.45385074,-17.20893097,21.51465382,-13.39260476,-1.93298077,-64.34416744,-4.44926147,-1.72002237
40.455,3.01457553,13.7375706,3.98337391,-10.35943019,-6.34078455,-16.80060763,21.81289321,-13.28006905,-1.68601982,-63.62258526,-4.30574609,-2.0869649
40.46,2.97811413,13.60207443,4.45960826,-10.25354437,-6.18500734,-16.27012559,22.10680689,-13.16487922,-1.42048636,-62.85384576,-4.16575222,-2.39672365
40.465,2.94658064,13.46205337,4.93780726,-10.15229705,-6.02187488,-15.77208804,22.37757688,-13.05157879,-1.15414446,-62.03501043,-3.98275454,-2.65683797
40.47,2.92265505,13.31632379,5.44204059,-10.05898099,-5.87867434,-15.33121218,22.62393027,-12.94281409,-0.90108258,-61.16500584,-3.790046,-2.86187154
40.475,2.91713136,13.17335896,5.8961881,-9.98181913,-5.69078492,-14.76079519,22.86246787,-12.84094103,-0.62392889,-60.25400878,-3.5863846,-3.02066631
40.48,2.9220951,13.01974948,6.35584262,-9.91358055,-5.49695555,-14.22256791,23.07970547,-12.73502981,-0.35096547,-59.29349193,-3.35774662,-3.14014935
40.485,2.9370064,12.86332733,6.84780108,-9.85365475,-5.33259277,-13.75543284,23.2747898,-12.63672378,-0.09278073,-58.28458786,-3.12484923,-3.21789339
40.49,2.96864485,12.71629656,7.28033554,-9.81314046,-5.11833595,-13.14230956,23.46085681,-12.54922902,0.1969474,-57.24113208,-2.87443541,-3.25840306
40.495,3.01111236,12.55005549,7.75452356,-9.77610231,-4.92567727,-12.65098472,23.62375612,-12.45029842,0.46815043,-56.14505983,-2.62118954,-3.26552593
40.5,3.0734261,12.39521613,8.16546696,-9.76450928,-4.68166519,-12.00625301,23.77949978,-12.36222904,0.77531655,-55.0190672,-2.34772389,-3.23963917
40.505,3.14853366,12.24100054,8.61912194,-9.76128383,-4.47303425,-11.44322318,23.91575556,-12.28556815,1.06519374,-53.8507418,-2.08450125,-3.17879622
40.51,3.24147037,12.07378416,9.03407098,-9.77462238,-4.22088686,-10.8335143,24.04012954,-12.19194129,1.38345998,-52.64466513,-1.8085383,-3.08332751
40.515,3.3472718,11.90781264,9.49665845,-9.79870854,-4.00352395,-10.31207955,24.14417977,-12.10943357,1.68594603,-51.40000445,-1.5489195,-2.94972842
40.52,3.47651996,11.75593586,9.88995349,-9.84872912,-3.73830448,-9.63429873,24.24603727,-12.03734766,2.03305838,-50.13525362,-1.26280383,-2.77980621
40.525,3.62134865,11.59258178,10.29529974,-9.90888721,-3.47236052,-9.00341974,24.33315507,-11.95505658,2.38999025,-48.83661774,-0.98868693,-2.56708467
40.53,3.78122186,11.44117473,10.72445076,-9.98628363,-3.22465669,-8.39552308,24.40407871,-11.89182405,2.74660159,-47.51310919,-0.71710293,-2.30998789
40.535,3.96025581,11.28527966,11.12929262,-10.08138786,-2.95245492,-7.75731899,24.46610986,-11.82026264,3.13559383,-46.16758893,-0.44213561,-2.00053184
40.54,4.15922065,11.12588883,11.51097033,-10.19538295,-2.66074773,-7.09809976,24.52021215,-11.74108842,3.55890241,-44.80340228,-0.17155333,-1.63962574
40.545,4.3723079,10.97615221,11.90684462,-10.32605458,-2.37783421,-6.45125541,24.56002697,-11.67539456,3.99524379,-43.42602746,0.10518491,-1.22035213
40.55,4.6010771,10.83077402,12.29846732,-10.47441197,-2.08969007,-5.79958726,24.58875587,-11.61383786,4.45754858,-42.03930094,0.38648363,-0.7405053
40.555,4.84091229,10.69455956,12.70177416,-10.63982264,-1.80955899,-5.15839544,24.6015377,-11.56442322,4.93691564,-40.6478396,0.68015724,-0.19861993
40.56,5.10194273,10.55512226,13.07156626,-10.82448269,-1.49727458,-4.48808281,24.6131067,-11.50473655,5.46584359,-39.25677937,0.96735257,0.40917402
40.565,5.36629295,10.42830364,13.46876751,-11.02538944,-1.20790204,-3.84873009,24.60171526,-11.46404593,6.0017344,-37.87011465,1.27919864,1.0829719
40.57,5.65258537,10.30294113,13.83141341,-11.24502219,-0.88320119,-3.17609587,24.59477873,-11.41803477,6.58976632,-36.49719848,1.58352888,1.81911407
40.575,5.92758975,10.18361973,14.24030748,-11.47984682,-0.57429986,-2.57506644,24.55086055,-11.3861486,7.17136741,-35.13446299,1.89444149,2.62988981
40.58,6.2400158,10.07699809,14.57943947,-11.73547941,-0.25424924,-1.87674312,24.53350825,-11.35748165,7.82368681,-33.80563324,2.24587322,3.47534163
40.585,6.52696853,9.97308316,14.97647516,-12.00459686,0.06523171,-1.27631823,24.46816525,-11.34070592,8.45724904,-32.49393445,2.58053484,4.39935969
40.59,6.84942826,9.87721042,15.31709576,-12.29485041,0.39461078,-0.60481681,24.42896897,-11.32456202,9.14580335,-31.22549409,2.94951549,5.34339485
40.595,7.15773492,9.78611181,15.68136856,-12.60002306,0.72680082,0.01693889,24.36073574,-11.31739589,9.8292668,-29.99117959,3.31263653,6.33836017
40.6,7.44610164,9.70058072,16.06564982,-12.91918929,1.06353897,0.59660641,24.26056891,-11.31952412,10.50276375,-28.79654506,3.66433708,7.37647501
40.605,7.77122084,9.61914038,16.40101426,-13.26125448,1.40728497,1.22995805,24.19118576,-11.31885341,11.20862878,-27.66018912,4.05035729,8.40206405
40.61,8.07100767,9.54166137,16.75689022,-13.61742906,1.75405778,1.81635663,24.08787793,-11.32504093,11.88883039,-26.57264193,4.42023818,9.45059407
40.615,8.34765864,9.46674301,17.12277247,-13.9873768,2.10736593,2.36826359,23.95556091,-11.33467208,12.54113753,-25.53878899,4.76757372,10.50932461
40.62,8.64278248,9.39242009,17.45646282,-14.38129304,2.45861217,2.94721378,23.83740437,-11.33921669,13.18692539,-24.57337302,5.142014,11.53644374
40.625,8.92315542,9.31904756,17.79514906,-14.7912442,2.82522063,3.50028831,23.70187182,-11.3420324,13.79361268,-23.67019154,5.48781328,12.54189157
40.63,9.19118312,9.24522515,18.12827578,-15.21974671,3.19772754,4.03970427,23.55163064,-11.3402256,14.35693119,-22.83388583,5.81740436,13.51810035
40.635,9.45402182,9.17114755,18.45045562,-15.66862201,3.58041665,4.57562872,23.39546495,-11.33201807,14.8722433,-22.06934171,6.13589873,14.44997491
40.64,9.70348436,9.09380963,18.76322042,-16.13715498,3.96331996,5.10115153,23.22487739,-11.31367998,15.33210142,-21.37505282,6.43655839,15.33622384
40.645,9.93999707,9.01469344,19.06662579,-16.62496582,4.36355741,5.61265468,23.04146281,-11.28578917,15.72793324,-20.75081004,6.70414286,16.17300505
40.65,10.1744207,8.93387725,19.35056141,-17.14001323,4.75535491,6.14326108,22.85618579,-11.2459624,16.06046035,-20.20808924,6.9821197,16.94576855
40.655,10.40039024,8.85113182,19.61527801,-17.67640648,5.16815025,6.6693312,22.66442137,-11.19333482,16.32822349,-19.73766654,7.22959564,17.65743493
40.66,10.61327107,8.76474785,19.87070485,-18.23701562,5.57398592,7.19320215,22.45806541,-11.12817977,16.51264992,-19.33935124,7.45406229,18.31037028
40.665,10.82376765,8.67698284,20.0940421,-18.82405406,5.99584212,7.7333447,22.25278141,-11.04837661,16.63608722,-19.01846768,7.66945828,18.89460352
40.67,11.0278688,8.58589152,20.30441183,-19.43628214,6.41877094,8.27003523,22.03912359,-10.95587754,16.67733853,-18.76421453,7.85360466,19.41372669
40.675,11.2322102,8.490877,20.4853217,-20.0846909,6.8516604,8.81558067,21.8316997,-10.84343259,16.65297953,-18.59899517,8.02836513,19.86207775
40.68,11.4358574,8.3991681,20.63494224,-20.75526071,7.28088274,9.39927947,21.62151955,-10.72711019,16.56231531,-18.49237821,8.20387249,20.24208237
40.685,11.64188362,8.31091064,20.75776517,-21.45571537,7.70617178,10.02106601,21.41760682,-10.60338805,16.41175229,-18.46107909,8.37206873,20.55297156
40.69,11.85440899,8.22663874,20.82672435,-22.19235438,8.13184323,10.68362753,21.21830521,-10.47769093,16.19168822,-18.49577307,8.53126668,20.79247548
40.695,12.0749888,8.14332963,20.85626413,-22.95838158,8.55137258,11.40374405,21.03591719,-10.34145714,15.94191071,-18.60710677,8.69517795,20.95709234
40.7,12.30349099,8.05913101,20.8644336,-23.76028457,8.97212612,12.12266801,20.85812648,-10.19941585,15.62756216,-18.7766683,8.84237707,21.0585657
40.705,12.5429916,7.96951302,20.83260686,-24.59803156,9.3958067,12.87177041,20.69105691,-10.04780781,15.27104861,-19.00780449,8.99254578,21.09793094
40.71,12.80062464,7.88782723,20.73398673,-25.46615896,9.79648386,13.70759659,20.55137256,-9.89903316,14.913927,-19.30704213,9.15506914,21.05423437
40.715,13.06632574,7.80811342,20.6215333,-26.37086192,10.19005095,14.55825935,20.41483058,-9.75453756,14.49949036,-19.65750857,9.31031812,20.96602449
40.72,13.35679129,7.71870725,20.43621632,-27.31106599,10.57223844,15.46512168,20.3072323,-9.59935618,14.09713161,-20.06585626,9.48493249,20.80403363
40.725,13.65747897,7.63475074,20.22853604,-28.2844611,10.93750082,16.41070065,20.2085933,-9.45505168,13.6623687,-20.52426821,9.65888743,20.60030995
40.73,13.98326346,7.54132484,19.9598287,-29.29280305,11.28404461,17.39782951,20.1363896,-9.30544275,13.24238907,-21.03142974,9.85057162,20.33850066
40.735,14.32185029,7.44829119,19.65977498,-30.33236006,11.60860752,18.42387876,20.07643459,-9.16487013,12.8117293,-21.58392382,10.05145259,20.04332131
40.74,14.66526474,7.35402192,19.3303258,-31.40415951,11.90775999,19.47762826,20.01825419,-9.03523737,12.36712956,-22.17743525,10.2848036,19.73859808
40.745,15.05967524,7.23818478,18.92305857,-32.50448847,12.18262872,20.57634011,20.01708121,-8.88944387,11.98692253,-22.81320831,10.49621782,19.35099605
40.75,15.43276249,7.13462877,18.51492232,-33.63019641,12.42267734,21.68746207,19.98925363,-8.7760756,11.56419178,-23.48334422,10.76011652,19.01439477
40.755,15.86473198,6.99654679,18.03624061,-34.78479404,12.64217806,22.8172411,20.02295551,-8.63571575,11.21032005,-24.18726732,11.00308466,18.59727896
40.76,16.26527109,6.87598064,17.55654287,-35.95623271,12.81929303,23.95459306,20.02253742,-8.53686175,10.81860992,-24.92142152,11.2982531,18.25990869
40.765,16.73023772,6.71237615,17.01621411,-37.1544229,12.97834296,25.08044462,20.08593751,-8.40516154,10.49300494,-25.68087501,11.57564306,17.85156889
40.77,17.1519041,6.57045337,16.47813954,-38.35984542,13.09312026,26.20255916,20.10554267,-8.32243379,10.1285276,-26.46498032,11.90072982,17.54915353
40.775,17.60620023,6.39569566,15.90237509,-39.58345058,13.18854121,27.29844031,20.15487866,-8.22399206,9.79680101,-27.26670564,12.2269125,17.23104188
40.78,18.100705,6.18935541,15.29838731,-40.82336359,13.26843945,28.3427558,20.24114447,-8.11068736,9.49315498,-28.08474944,12.55938005,16.91139492
