time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0,-9.98143766,-5.54159944,-12.35300621,-2.45286817,-3.40353094,-15.28856873,-5.41361016,-7.83689101,-2.19877902,-0.7193878,-2.02337485,4.00103495
0.005,-9.9776082,-5.54066164,-12.3537541,-2.44984108,-3.40370781,-15.28797137,-5.41048118,-7.8379606,-2.19919831,-0.71661775,-2.02308182,4.00067535
0.01,-9.97345375,-5.53933515,-12.35386049,-2.4469889,-3.40445067,-15.28702403,-5.4065256,-7.83934491,-2.19974291,-0.71391789,-2.02271042,4.0003071
0.015,-9.96910417,-5.53793086,-12.35369989,-2.44425321,-3.40568855,-15.28585917,-5.40209923,-7.84081464,-2.20000568,-0.71171569,-2.02232146,4.0000233
0.02,-9.96452614,-5.53651651,-12.35338365,-2.44156696,-3.40738234,-15.28452611,-5.39725072,-7.84231954,-2.19995209,-0.70995758,-2.0218932,3.99982131
0.025,-9.95974998,-5.53508927,-12.35293031,-2.43895198,-3.40951109,-15.28304871,-5.392036,-7.84385083,-2.19959485,-0.70861187,-2.02140349,3.99968144
0.03,-9.95479544,-5.53366318,-12.35237863,-2.43641233,-3.41204599,-15.28145696,-5.38651476,-7.84539878,-2.19893823,-0.70764478,-2.02083676,3.99958511
0.035,-9.94958242,-5.53220356,-12.35171622,-2.43392864,-3.4150456,-15.27972653,-5.38059278,-7.84698428,-2.19796833,-0.70703991,-2.02016406,3.99950774
0.04,-9.9442466,-5.53075299,-12.35098368,-2.43158896,-3.41844263,-15.27791459,-5.37446254,-7.84857866,-2.19668477,-0.70682041,-2.019386,3.99943024
0.045,-9.93876784,-5.52931751,-12.35022028,-2.42935261,-3.42217259,-15.27606074,-5.36816779,-7.85018212,-2.19513403,-0.70688985,-2.01849264,3.99932283
0.05,-9.93313841,-5.52787597,-12.34942423,-2.42723018,-3.42619751,-15.27418057,-5.36173502,-7.8518009,-2.19336862,-0.70717655,-2.01747944,3.99915299
0.055,-9.86952341,-5.52109336,-12.35022776,-2.4249756,-3.47336556,-15.28876053,-5.28132999,-7.85792838,-2.15919669,-0.73423654,-1.9994666,3.98349108
0.06,-9.86452567,-5.52141564,-12.35056959,-2.42273803,-3.47335376,-15.28883152,-5.27723986,-7.85768714,-2.16008106,-0.73030523,-1.99941252,3.9834636
0.065,-9.85976301,-5.52023786,-12.35042376,-2.42120612,-3.4739071,-15.28849898,-5.27389608,-7.85909246,-2.16033795,-0.72789512,-1.99940111,3.98333239
0.07,-9.85484642,-5.51879912,-12.34984998,-2.41983544,-3.47493874,-15.28785277,-5.27021078,-7.86072849,-2.16033184,-0.72594539,-1.99938377,3.98311688
0.075,-9.84983583,-5.51736726,-12.34894133,-2.41870172,-3.47643687,-15.28693676,-5.26633466,-7.86240106,-2.16000927,-0.72454073,-1.99937644,3.98280449
0.08,-9.84465558,-5.51596441,-12.34790668,-2.41766124,-3.47829142,-15.28581811,-5.26237254,-7.86409914,-2.15943145,-0.72350202,-1.99934816,3.98237272
0.085,-9.83269,-5.51394367,-12.33900005,-2.42356878,-3.48866726,-15.28040912,-5.25059973,-7.866938,-2.1557266,-0.72776882,-2.00013281,3.97953133
0.09,-9.7562317,-5.5105971,-12.31742541,-2.42666579,-3.51462551,-15.28949773,-5.18183325,-7.87149775,-2.15361181,-0.73393426,-2.00029626,3.93640248
0.095,-9.75159719,-5.51004391,-12.31765577,-2.4250861,-3.51422221,-15.28982451,-5.17932994,-7.8724066,-2.15314209,-0.7320238,-2.00078534,3.93705134
0.1,-9.73817726,-5.5108408,-12.30938447,-2.43452868,-3.51603351,-15.29028493,-5.170807,-7.87308904,-2.14947267,-0.7344647,-2.00633869,3.93941918
0.105,-9.73402364,-5.50945657,-12.31043165,-2.43187094,-3.51608379,-15.29025573,-5.16875774,-7.87477727,-2.14966815,-0.73245744,-2.00608406,3.93899308
0.11,-9.72928419,-5.50780826,-12.31095506,-2.43008447,-3.51679856,-15.28971589,-5.16646789,-7.87673024,-2.14991498,-0.73034663,-2.00586952,3.93833149
0.115,-9.72400052,-5.50622298,-12.31120574,-2.42901157,-3.51809352,-15.28873759,-5.16412533,-7.87872885,-2.1500753,-0.72831627,-2.00574895,3.93745818
0.12,-9.66030275,-5.50686356,-12.27500608,-2.4382185,-3.5420608,-15.26720552,-5.11673292,-7.88077661,-2.16753395,-0.72962786,-2.01872211,3.89505698
0.125,-9.65462509,-5.50589232,-12.27715953,-2.43730681,-3.54114801,-15.26824747,-5.11518022,-7.88266622,-2.16675445,-0.72646823,-2.0184976,3.89533934
0.13,-9.63306069,-5.50693582,-12.27592466,-2.45408447,-3.53984379,-15.2714124,-5.10863228,-7.88406562,-2.16497651,-0.71957874,-2.02102842,3.89375026
0.135,-9.62831655,-5.50498884,-12.27673424,-2.45086159,-3.53979692,-15.27105744,-5.10638864,-7.88627918,-2.16516823,-0.71821727,-2.02105048,3.8930492
0.14,-9.62260894,-5.50329153,-12.27745816,-2.44903603,-3.5405657,-15.27010635,-5.10419915,-7.88848381,-2.16561457,-0.7162419,-2.02109387,3.89199011
0.145,-9.50439899,-5.50943385,-12.2201973,-2.47828939,-3.53560892,-15.25824818,-5.01862317,-7.88783937,-2.19366948,-0.71531143,-2.04496503,3.84267176
0.15,-9.49968263,-5.50816144,-12.22282901,-2.47567118,-3.53633641,-15.25808873,-5.01772196,-7.88972494,-2.19322362,-0.71281575,-2.04432239,3.84252593
