time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0,39.07039876,-0.33498637,-21.54305943,-32.53098074,13.60109606,2.83581718,-9.80636193,-8.48615381,-17.62360978,-6.5295715,21.50079064,20.42301875
0.005,38.73851219,-0.07230461,-21.48396207,-32.60925168,13.98100025,2.98995969,-9.54411742,-8.70483401,-17.91386069,-7.72854239,20.62640626,19.60670828
0.01,38.40526154,0.188877,-21.44879277,-32.65596205,14.36515873,3.15319224,-9.22990046,-8.93832722,-18.18994818,-8.99802945,19.67008119,18.71575714
0.015,38.07632631,0.42917686,-21.41835185,-32.72347244,14.76863282,3.33154483,-8.87782374,-9.17491329,-18.41189139,-10.33387743,18.63160331,17.71361281
0.02,37.75416189,0.64797457,-21.39883109,-32.78535112,15.18400977,3.52635605,-8.47589125,-9.41089909,-18.57791151,-11.73057632,17.52624852,16.62007835
0.025,37.4452579,0.81526526,-21.40725671,-32.84490785,15.64625072,3.72090206,-8.01208842,-9.62790721,-18.65895324,-13.18488055,16.34502992,15.43538006
0.03,37.14756387,1.01462257,-21.40905887,-32.87699361,16.05238708,3.9548906,-7.50409558,-9.87132738,-18.76972526,-14.68473163,15.12881752,14.2210513
0.035,36.83803366,1.21362273,-21.42042472,-32.87900251,16.44188823,4.20979531,-6.96287941,-10.12140265,-18.85328089,-16.23058021,13.87903602,12.95517497
0.04,36.52669666,1.40174695,-21.44468613,-32.85324178,16.81599617,4.49341703,-6.37523151,-10.37268037,-18.89935871,-17.82080883,12.60131561,11.6338927
0.045,36.2160244,1.57911677,-21.4870216,-32.80384724,17.18197894,4.79869484,-5.73721889,-10.62577868,-18.90733778,-19.45495803,11.3019366,10.28079791
0.05,35.90284472,1.74790299,-21.54085858,-32.72120593,17.52988129,5.13066543,-5.04858059,-10.87809643,-18.87722364,-21.13223821,10.00063788,8.90972388
0.055,35.58982247,1.90360892,-21.61113643,-32.60674341,17.86106027,5.48964102,-4.30165584,-11.12827962,-18.80710897,-22.85620982,8.7044019,7.5221311
0.06,35.26524287,2.05611381,-21.69383518,-32.4509065,18.16231622,5.87243095,-3.50739107,-11.37808336,-18.70355373,-24.62391947,7.43370842,6.13964601
0.065,34.94290783,2.18861827,-21.79398349,-32.26054185,18.45410476,6.27979331,-2.64767251,-11.6181282,-18.55725621,-26.4364016,6.18738508,4.78037498
0.07,34.62178868,2.31036777,-21.91154662,-32.036012,18.72937334,6.71057426,-1.72665319,-11.85112477,-18.37138519,-28.29019921,4.97976113,3.4594297
0.075,34.29081088,2.43063461,-22.03912932,-31.76874065,18.97352594,7.1615155,-0.75464401,-12.08196265,-18.16191581,-30.1808316,3.83437106,2.20109808
0.08,33.9571576,2.540233,-22.18239828,-31.46529129,19.20314877,7.6318623,0.27401345,-12.30257322,-17.9202681,-32.10329609,2.74813168,1.01892154
0.085,33.61727662,2.64420688,-22.33793023,-31.12513937,19.41056765,8.1178715,1.35255576,-12.51429724,-17.6562117,-34.05073754,1.73634717,-0.06961277
0.09,33.2680605,2.7441292,-22.5041194,-30.74661242,19.59431479,8.61701356,2.47569391,-12.71642922,-17.37324453,-36.01505599,0.80909836,-1.0495306
0.095,32.90383382,2.84460676,-22.67470335,-30.32169005,19.75101125,9.12761867,3.63567973,-12.90691223,-17.07156284,-37.98345928,-0.02332028,-1.90920802
0.1,32.53598992,2.93599024,-22.86097581,-29.8808778,19.89176828,9.64428946,4.83148946,-13.08483259,-16.7698994,-39.95470668,-0.76377759,-2.63845489
0.105,32.15080955,3.02562247,-23.04482727,-29.39561256,20.00918892,10.16325873,6.0521445,-13.24621166,-16.46303498,-41.90794138,-1.40151503,-3.2254043
0.11,31.74998122,3.11334917,-23.23338713,-28.88461845,20.10046871,10.68303517,7.28805899,-13.39154871,-16.16021317,-43.83679734,-1.93063437,-3.67320635
0.115,31.32971911,3.19629457,-23.41693657,-28.33968402,20.1693933,11.19894469,8.5337715,-13.516546,-15.86519829,-45.72606185,-2.35218301,-3.9756727
0.12,30.89126465,3.27410355,-23.5953996,-27.76915373,20.21605012,11.7067306,9.78317112,-13.62174918,-15.58567052,-47.56768739,-2.6678548,-4.13479894
0.125,30.43359334,3.34541841,-23.7666336,-27.17259683,20.2376602,12.20403191,11.03092148,-13.70380574,-15.32105394,-49.35087383,-2.87000851,-4.15847015
