time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
10,13.22175342,6.80807011,6.17243429,-21.68640287,9.02099823,4.12548657,23.42831046,-11.63530395,-2.86451612,-67.85307645,-9.17421769,8.53253678
10.005,12.65248429,6.58473194,6.21594504,-21.26005742,9.03300236,4.24093278,24.02307618,-11.5054543,-2.94615096,-67.65048122,-8.45143166,9.08664068
10.01,12.08299601,6.35825667,6.25137577,-20.83223053,9.04405915,4.36722114,24.60201566,-11.37906786,-3.03834694,-67.39123281,-7.77808778,9.58697447
10.015,11.51362412,6.12993623,6.27613849,-20.40331025,9.05279672,4.50323771,25.16372006,-11.25719529,-3.13823655,-67.07548376,-7.15438109,10.02847329
10.02,10.94338267,5.90079858,6.29307236,-19.97434455,9.06087409,4.64899662,25.70677235,-11.14002454,-3.24663278,-66.70469376,-6.57808843,10.41174572
10.025,10.37502597,5.6718898,6.29999105,-19.54755971,9.065158,4.80006574,26.23293379,-11.02790231,-3.36101018,-66.27978303,-6.04716186,10.72455505
10.03,9.77924867,5.44620059,6.28868198,-19.12043167,9.06932367,4.9706085,26.71476922,-10.92352998,-3.47566464,-65.80215177,-5.5739727,10.98050653
10.035,9.22253123,5.21931667,6.29454445,-18.69766595,9.07472465,5.12317503,27.21103445,-10.82123557,-3.60555252,-65.27039069,-5.12178815,11.15511832
10.04,8.69972938,5.00802878,6.24351915,-18.27514639,9.02163385,5.22537579,27.73903727,-10.72250979,-3.69241977,-64.69826428,-4.73245278,11.19018412
10.045,8.05339629,4.78358092,6.2478042,-17.86153064,9.07481645,5.47649815,28.09481151,-10.63969501,-3.84803906,-64.05732418,-4.35560302,11.3053613
10.05,7.54681074,4.58973946,6.20660446,-17.44598049,9.02676202,5.56724322,28.59573435,-10.56226544,-3.94063829,-63.3856884,-4.00712987,11.24908411
10.055,6.94465678,4.36812333,6.21053131,-17.0438819,9.0725285,5.7990369,28.95172757,-10.47806054,-4.09034118,-62.64458311,-3.6984817,11.17899074
10.06,6.37685433,4.17859897,6.17707904,-16.63742324,9.05576265,5.94552797,29.34060577,-10.40931012,-4.19129392,-61.86621269,-3.41351022,11.00578731
10.065,5.82002939,3.99870475,6.13973039,-16.23694003,9.04226701,6.09188282,29.71990667,-10.34667387,-4.28191688,-61.04144198,-3.15608297,10.78548452
10.07,5.26427558,3.82943517,6.09643655,-15.84000208,9.02743894,6.22937902,30.08130107,-10.28828167,-4.35677981,-60.16961015,-2.92308127,10.51034578
10.075,4.71147264,3.67302536,6.04902889,-15.44675792,9.01163372,6.35686508,30.42695575,-10.23624589,-4.41610843,-59.25194338,-2.71145127,10.18891364
10.08,4.16741672,3.52927087,6.00036804,-15.05711362,8.9918808,6.47222643,30.7626809,-10.18817459,-4.45593772,-58.28914982,-2.51443368,9.82462847
10.085,3.62778287,3.39921603,5.95034165,-14.67078124,8.9717305,6.57713601,31.08400471,-10.14524544,-4.47717074,-57.28097396,-2.33808355,9.41846765
10.09,3.08725252,3.2810018,5.89603293,-14.28691686,8.9519185,6.67182506,31.38675244,-10.10382216,-4.47636952,-56.22803536,-2.18329373,8.9772009
