time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
50,4.33946544,-4.32215962,1.11336549,-22.73933443,0.83571912,-8.66358811,14.65237422,-12.13229583,-17.62204963,-56.57749809,0.77953091,18.90326334
50.005,3.86854984,-4.39871021,1.31484702,-22.28241345,0.97592117,-8.46713839,14.78648797,-11.99297971,-18.23809068,-54.9022708,0.6863999,19.61997692
50.01,3.40244994,-4.46645302,1.4982857,-21.82683355,1.12919103,-8.2725506,14.90763469,-11.85727409,-18.82654869,-53.16009831,0.58629228,20.26171611
50.015,2.9381572,-4.52320334,1.66558859,-21.373605,1.29172438,-8.0745225,15.01170974,-11.7284648,-19.38803662,-51.35109847,0.48085275,20.83079407
50.02,2.47863102,-4.56749248,1.81052815,-20.92357852,1.4641585,-7.88075808,15.10338521,-11.60377203,-19.91402374,-49.4801745,0.37098665,21.31985948
50.025,2.02225803,-4.59780897,1.93857307,-20.47603728,1.64417037,-7.69192521,15.18264023,-11.48473367,-20.40314374,-47.54714087,0.25438589,21.733645
50.03,1.56225903,-4.60882138,2.04900725,-20.02966174,1.83081742,-7.50147694,15.2438185,-11.37619169,-20.85462048,-45.55666531,0.13936672,22.06445327
50.035,1.12329874,-4.59691643,2.15068891,-19.58388621,1.97089137,-7.32363674,15.3184465,-11.27418721,-21.24452599,-43.51346572,0.00475978,22.31190297
50.04,0.63821567,-4.56554344,2.21398518,-19.14563467,2.22031483,-7.13420613,15.32030308,-11.19494701,-21.63287097,-41.41829339,-0.09313207,22.47938231
50.045,0.17362894,-4.50828403,2.26696826,-18.70668904,2.4182195,-6.95540462,15.33860972,-11.12452346,-21.95432762,-39.27895456,-0.21550518,22.56561172
50.05,-0.27408194,-4.41393381,2.32388954,-18.27053511,2.5695594,-6.78824268,15.36429479,-11.08025624,-22.22678948,-37.10453898,-0.34427087,22.57398116
50.055,-0.74849502,-4.29410709,2.35309486,-17.84095934,2.77572445,-6.62176561,15.34512482,-11.05892306,-22.47595395,-34.89553914,-0.46664086,22.49722493
50.06,-1.23628743,-4.14007688,2.36385588,-17.41400898,2.99365935,-6.44812173,15.30929557,-11.06224213,-22.67171545,-32.66289603,-0.58251322,22.34612951
50.065,-1.71656844,-3.94681256,2.36509802,-16.99281426,3.19866171,-6.28386866,15.27328121,-11.10140844,-22.83181265,-30.41665693,-0.69871389,22.1305606
50.07,-2.2137851,-3.72841271,2.35150601,-16.57941323,3.42195257,-6.1137417,15.21135224,-11.16050106,-22.95075098,-28.15718508,-0.81330097,21.84201542
50.075,-2.71857189,-3.48371229,2.3058288,-16.16903423,3.65633959,-5.94091116,15.1371322,-11.24536201,-23.04870114,-25.89261727,-0.91703863,21.49622501
50.08,-3.21408454,-3.19330212,2.28042218,-15.77015096,3.87028673,-5.77658834,15.06434458,-11.37878347,-23.12526873,-23.64253916,-1.03149279,21.10653537
50.085,-3.71951068,-2.87410566,2.24932548,-15.38025962,4.09039627,-5.6032654,14.97490689,-11.5450725,-23.18682564,-21.40747638,-1.14901426,20.66571165
50.09,-4.22016254,-2.52144016,2.21818395,-15.00286906,4.3106386,-5.43854376,14.88720896,-11.75123475,-23.23891664,-19.20501237,-1.25851349,20.20559397
50.095,-4.73258773,-2.14760866,2.18112628,-14.63815673,4.54336448,-5.25564913,14.78328082,-11.9837822,-23.28520663,-17.03618121,-1.37106882,19.70685603
50.1,-5.24081306,-1.74496022,2.14994301,-14.2883031,4.7784606,-5.07242711,14.68238158,-12.25581983,-23.33433828,-14.92341712,-1.4735846,19.20717856
50.105,-5.74905748,-1.32284376,2.11969805,-13.95467038,5.02329901,-4.88053711,14.58000864,-12.55732503,-23.38518413,-12.87408604,-1.56496171,18.707073
50.11,-6.25826021,-0.9006063,2.08163537,-13.64009663,5.2956179,-4.6601927,14.47412952,-12.86659842,-23.44093693,-10.89356952,-1.65105077,18.1973888
50.115,-6.74063374,-0.43952043,2.08416166,-13.34869711,5.54499156,-4.47707678,14.39826102,-13.23089693,-23.50579355,-9.01737428,-1.68742132,17.7839695
50.12,-7.24181919,0.00480505,2.05189266,-13.07289184,5.82937633,-4.25463559,14.30723194,-13.58739353,-23.57279246,-7.2301823,-1.71671938,17.31751512
50.125,-7.73318825,0.43215955,1.99446363,-12.82340972,6.1447791,-4.00372405,14.22809152,-13.93985887,-23.66139887,-5.54854662,-1.72602703,16.85578671
50.13,-8.20967724,0.84644176,1.96430616,-12.60293115,6.47991022,-3.72331426,14.16077913,-14.28913986,-23.72052169,-3.96987443,-1.71776121,16.43353901
50.135,-8.66095536,1.26971409,1.95953594,-12.40996571,6.79143495,-3.50902001,14.1207994,-14.66507058,-23.7916716,-2.51891769,-1.64496741,16.11867815
50.14,-9.11726055,1.63321168,1.90725891,-12.2458273,7.16989853,-3.19584323,14.07252114,-14.99041766,-23.85828218,-1.17352032,-1.58698837,15.72326197
50.145,-9.52133113,2.00332853,1.94778523,-12.12982227,7.50736786,-3.05126417,14.0617234,-15.34114726,-23.94258174,0.04438873,-1.49644028,15.53315192
50.15,-9.96552765,2.31227566,1.87826407,-12.01304718,7.9093944,-2.66096123,14.02847871,-15.63751133,-23.91804231,1.14479552,-1.34383732,15.14476427
50.155,-10.3639166,2.58900517,1.84852657,-11.95209849,8.32701676,-2.35366338,14.019167,-15.91925201,-23.92147409,2.12391057,-1.21718656,14.87287907
50.16,-10.74614088,2.82484929,1.82327378,-11.92586728,8.75472138,-2.04297452,14.01503459,-16.17573257,-23.89986041,2.98100546,-1.0691574,14.61979631
50.165,-11.11079202,3.0163983,1.79701282,-11.93894401,9.19768842,-1.72172491,14.01481445,-16.40375732,-23.84953967,3.71715357,-0.91483205,14.38315095
50.17,-11.4555476,3.15968805,1.77355667,-11.98948411,9.65357517,-1.39408073,14.0201631,-16.59715599,-23.77051574,4.33548486,-0.76094242,14.16404417
50.175,-11.78230208,3.25877527,1.74976779,-12.07985208,10.1158531,-1.06668104,14.02565788,-16.76580386,-23.66007099,4.8333114,-0.60954555,13.96261589
50.18,-12.09125178,3.31054921,1.73365272,-12.21229629,10.5854049,-0.74610097,14.03228519,-16.90193618,-23.51876766,5.21460243,-0.46887908,13.77886904
50.185,-12.38184676,3.31506653,1.71882593,-12.38693519,11.05887775,-0.42400336,14.03886224,-17.00599472,-23.34498726,5.48369877,-0.34662572,13.60778519
50.19,-12.65259317,3.26856513,1.70121822,-12.60843754,11.5336996,-0.10683406,14.04419455,-17.07642055,-23.1363391,5.63956794,-0.25218583,13.45129446
50.195,-12.90419172,3.17545056,1.6843771,-12.87834503,12.00218131,0.20346203,14.048537,-17.11442035,-22.89621415,5.68794054,-0.18825553,13.3068049
50.2,-13.13770976,3.03412569,1.66561616,-13.19348073,12.45403276,0.50927978,14.05199498,-17.1184813,-22.62898968,5.63389369,-0.16511341,13.17277448
50.205,-13.34961526,2.84658206,1.63929107,-13.56326209,12.89283564,0.8119542,14.05169195,-17.08845574,-22.33033971,5.48643468,-0.18920381,13.047968
50.21,-13.54429592,2.61313991,1.62176016,-13.9799131,13.30400573,1.10291235,14.04842789,-17.02444611,-22.00303233,5.24892063,-0.26361867,12.93575348
50.215,-13.71982029,2.33426823,1.60875961,-14.44876381,13.69034098,1.38235997,14.04403379,-16.92610276,-21.65378795,4.92128858,-0.39415049,12.83253744
50.22,-13.87486196,2.01361987,1.58385978,-14.97648451,14.04089538,1.6630558,14.03964241,-16.7951737,-21.28539917,4.50895012,-0.58992574,12.73541792
50.225,-14.01426254,1.66088957,1.53545795,-15.5631913,14.34925537,1.97269471,14.03675053,-16.63850335,-20.89009751,4.01490507,-0.85056782,12.63497574
50.23,-14.12211859,1.24850378,1.53482206,-16.21360887,14.61162082,2.19260785,14.02340352,-16.43081602,-20.51015074,3.47045965,-1.16351626,12.56876029
50.235,-14.20965296,0.8030021,1.50199705,-16.93115536,14.83428127,2.45675108,14.01231438,-16.19419999,-20.11520205,2.856092,-1.54820949,12.48873147
50.24,-14.28507648,0.33755419,1.43977519,-17.71291586,15.01688662,2.78674971,13.99940099,-15.93912082,-19.68852929,2.17945271,-1.9854704,12.38045264
50.245,-14.31766247,-0.19174609,1.42002776,-18.56690785,15.10351498,2.96329705,13.98511363,-15.62358895,-19.32773083,1.46618157,-2.47468687,12.35096744
50.25,-14.32847755,-0.74941933,1.37365268,-19.49640421,15.15206085,3.22100888,13.96516603,-15.28230569,-18.95902854,0.71016733,-3.01840695,12.27679847
50.255,-14.32325828,-1.32827257,1.30614083,-20.49562787,15.15567826,3.53956934,13.94007021,-14.91654473,-18.56652235,-0.08469508,-3.59266608,12.16848565
50.26,-14.26872822,-1.94984118,1.25575141,-21.57460015,15.02905216,3.70209652,13.92227005,-14.51041138,-18.27134006,-0.91100226,-4.18352539,12.15424502
50.265,-14.19342349,-2.60091373,1.20314702,-22.72913849,14.87620118,3.98876365,13.88875739,-14.07260852,-17.94684597,-1.7519102,-4.80285169,12.05898418
50.27,-14.07923653,-3.27802028,1.12186999,-23.96413115,14.61980544,4.23236401,13.8613913,-13.60834352,-17.67931184,-2.62235795,-5.41219073,11.98448921
50.275,-13.916212,-3.97785521,1.06025703,-25.27650982,14.24396239,4.37017912,13.83964728,-13.11900523,-17.4761054,-3.50801218,-5.99153883,11.98509713
50.28,-13.71495889,-4.70584505,1.00213867,-26.67140629,13.809627,4.56412279,13.80677331,-12.60272724,-17.29310812,-4.39684794,-6.5589966,11.93510137
50.285,-13.47537408,-5.45384329,0.95503179,-28.13095654,13.28271553,4.76846042,13.77550215,-12.0615998,-17.13469908,-5.29904365,-7.08644179,11.87268793
50.29,-13.1856616,-6.21443386,0.89744854,-29.66662566,12.64296068,4.91183668,13.74922366,-11.50684729,-17.03372243,-6.20912544,-7.54432811,11.84476982
50.295,-12.84636483,-6.99145386,0.84882773,-31.27155756,11.91123663,5.05118963,13.72213443,-10.93656159,-16.97564945,-7.12004822,-7.9407215,11.80172865
50.3,-12.44361475,-7.78162148,0.81526746,-32.96047721,11.10042224,5.17078186,13.68773972,-10.35048469,-16.94919246,-8.00751044,-8.27158065,11.7560276
50.305,-11.99243142,-8.58074966,0.79383139,-34.69645759,10.19293569,5.25047556,13.66117929,-9.75381713,-16.96715093,-8.90175208,-8.5191959,11.72161117
