time,hip_flexion_r,hip_flexion_l
0,39.07039876,-9.80636193
0.005,38.73851219,-9.54411742
0.01,38.40526154,-9.22990046
0.015,38.07632631,-8.87782374
0.02,37.75416189,-8.47589125
0.025,37.4452579,-8.01208842
0.03,37.14756387,-7.50409558
0.035,36.83803366,-6.96287941
0.04,36.52669666,-6.37523151
0.045,36.2160244,-5.73721889
0.05,35.90284472,-5.04858059
0.055,35.58982247,-4.30165584
0.06,35.26524287,-3.50739107
0.065,34.94290783,-2.64767251
0.07,34.62178868,-1.72665319
0.075,34.29081088,-0.75464401
0.08,33.9571576,0.27401345
0.085,33.61727662,1.35255576
0.09,33.2680605,2.47569391
0.095,32.90383382,3.63567973
0.1,32.53598992,4.83148946
0.105,32.15080955,6.0521445
0.11,31.74998122,7.28805899
0.115,31.32971911,8.5337715
0.12,30.89126465,9.78317112
0.125,30.43359334,11.03092148
0.13,29.95968875,12.2743373
0.135,29.46898205,13.50950248
0.14,28.96034773,14.72858527
0.145,28.4375834,15.9280104
0.15,27.90053354,17.11507203
0.155,27.36302837,18.29320471
0.16,26.82083132,19.45379762
0.165,26.27260754,20.59672868
0.17,25.7200747,21.71624627
0.175,25.16393316,22.81180843
0.18,24.60559685,23.88372482
0.185,23.26998208,24.63182557
0.19,22.61973439,25.55748596
0.195,22.01013796,26.51529462
0.2,21.41017232,27.46045342
0.205,20.80581494,28.37079885
0.21,20.20357899,29.26029394
0.215,19.60218993,30.12285299
0.22,19.00146296,30.95924476
0.225,18.4041118,31.77244643
0.23,17.80367576,32.55486238
0.235,17.20652853,33.3136897
0.24,16.61136997,34.04986649
0.245,16.01780874,34.76252499
0.25,15.42304492,35.44214932
0.255,14.83361371,36.1065432
0.26,14.24996224,36.75361701
0.265,13.68581913,37.40608354
0.27,13.09160693,37.97668362
0.275,12.51486093,38.55073805
0.28,11.93970148,39.0978563
0.285,11.37742399,39.63636785
0.29,10.83560045,40.17437176
0.295,10.29293641,40.67765165
0.3,9.75607445,41.15651363
0.305,9.21983946,41.60214277
0.31,8.69841774,42.03496652
0.315,8.21229765,42.48111755
0.32,7.67598953,42.82097517
0.325,7.17358459,43.17290203
0.33,6.67263547,43.49067181
0.335,6.20507654,43.81249947
0.34,5.71535259,44.07168934
0.345,5.17239329,44.23267282
0.35,4.69806051,44.45446871
0.355,4.13918788,44.53701511
0.36,3.64821386,44.68142844
0.365,3.07065674,44.69056444
0.37,2.54757949,44.74721992
0.375,1.95316353,44.6931549
0.38,1.40149332,44.67134134
0.385,0.80262902,44.57143479
0.39,0.20292752,44.44628799
0.395,-0.3995844,44.29940433
0.4,-1.01059609,44.1172048
0.405,-1.617163,43.91963634
0.41,-2.23609046,43.67826879
0.415,-2.84161372,43.4246455
0.42,-3.44275335,43.1583454
0.425,-4.033677,42.86798422
0.43,-4.5692052,42.60518565
0.435,-5.16892516,42.25595529
0.44,-5.70274663,41.94190406
0.445,-6.21141599,41.62267046
0.45,-6.68981879,41.30375096
0.455,-7.14272818,40.98345251
0.46,-7.55670443,40.67136064
0.465,-7.93538466,40.36098067
