time,hip_flexion_r,hip_flexion_l,source_file
5.0,38.32104705,-6.18115312,AB09_incline_walk_2_up10_angle.csv
5.005,38.01577415,-6.523,AB09_incline_walk_2_up10_angle.csv
5.01,37.68128865,-6.83287884,AB09_incline_walk_2_up10_angle.csv
5.015,37.32677553,-7.09469021,AB09_incline_walk_2_up10_angle.csv
5.02,36.95533204,-7.30443476,AB09_incline_walk_2_up10_angle.csv
5.025,36.56118301,-7.46346789,AB09_incline_walk_2_up10_angle.csv
5.03,36.15417353,-7.56023581,AB09_incline_walk_2_up10_angle.csv
5.035,35.72997183,-7.59752958,AB09_incline_walk_2_up10_angle.csv
5.04,35.30396903,-7.55491127,AB09_incline_walk_2_up10_angle.csv
5.045,34.86042339,-7.44855105,AB09_incline_walk_2_up10_angle.csv
5.05,34.41540044,-7.26274289,AB09_incline_walk_2_up10_angle.csv
5.055,33.96226649,-7.00167597,AB09_incline_walk_2_up10_angle.csv
5.06,33.51540558,-6.65240849,AB09_incline_walk_2_up10_angle.csv
5.065,33.06678118,-6.22293419,AB09_incline_walk_2_up10_angle.csv
5.07,32.61786593,-5.71090237,AB09_incline_walk_2_up10_angle.csv
5.075,32.17009509,-5.11971521,AB09_incline_walk_2_up10_angle.csv
5.08,31.72393941,-4.45172863,AB09_incline_walk_2_up10_angle.csv
5.085,31.2784095,-3.71145543,AB09_incline_walk_2_up10_angle.csv
5.09,30.82622809,-2.90691035,AB09_incline_walk_2_up10_angle.csv
5.095,30.38105646,-2.03416402,AB09_incline_walk_2_up10_angle.csv
5.1,29.93001323,-1.10865866,AB09_incline_walk_2_up10_angle.csv
5.105,29.47234649,-0.13642365,AB09_incline_walk_2_up10_angle.csv
5.11,29.00867619,0.87588621,AB09_incline_walk_2_up10_angle.csv
5.115,28.5349836,1.9199064,AB09_incline_walk_2_up10_angle.csv
5.12,28.04912839,2.98657527,AB09_incline_walk_2_up10_angle.csv
5.125,27.54674785,4.06271441,AB09_incline_walk_2_up10_angle.csv
5.13,27.02788608,5.14611607,AB09_incline_walk_2_up10_angle.csv
5.135,26.49444114,6.23507451,AB09_incline_walk_2_up10_angle.csv
5.14,25.93483582,7.30624041,AB09_incline_walk_2_up10_angle.csv
5.145,25.35587566,8.36840118,AB09_incline_walk_2_up10_angle.csv
5.15,24.75327518,9.40655095,AB09_incline_walk_2_up10_angle.csv
