time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
70,17.45418173,-11.23057103,-8.5073733,-59.75219084,-9.34973718,-3.6740679,15.35983266,6.93500362,1.26626456,-17.50305595,0.18303307,-15.21683727
70.005,18.2062947,-10.88642153,-8.97501836,-59.06511777,-8.20691086,-3.25751853,14.59348041,6.70185938,1.64543333,-16.98734389,0.21916107,-15.23534493
70.01,18.92909738,-10.54869806,-9.46327286,-58.28988338,-7.17494195,-2.88511634,13.83644384,6.45659267,2.00900814,-16.47781312,0.23099817,-15.25170571
70.015,19.618886,-10.22344339,-9.96166404,-57.43319056,-6.24341647,-2.52215368,13.08364094,6.2049024,2.36026323,-15.97534406,0.2241128,-15.26881333
70.02,20.279484,-9.92403014,-10.48802138,-56.50001763,-5.41314797,-2.22975991,12.34411996,5.95521312,2.70564043,-15.48560566,0.21082126,-15.27046846
70.025,20.91181001,-9.6351551,-11.00129262,-55.50264501,-4.67996538,-1.96888378,11.60541005,5.70508493,3.03831451,-15.00530843,0.18846804,-15.26115113
70.03,21.51282417,-9.37000878,-11.53305846,-54.43882374,-4.032743,-1.77060622,10.8773406,5.45485275,3.3477399,-14.54138557,0.16565434,-15.23157765
70.035,22.08726705,-9.12848141,-12.06747786,-53.31601197,-3.47120158,-1.6366883,10.15940222,5.21177937,3.63559533,-14.09536429,0.14623813,-15.17418937
70.04,22.6330771,-8.90814899,-12.59828709,-52.13927597,-2.98248436,-1.55751107,9.44829036,4.97359711,3.89718011,-13.66802164,0.13361965,-15.08835186
70.045,23.15319404,-8.70879558,-13.12012208,-50.91282486,-2.55716722,-1.53603689,8.74555969,4.74181983,4.12816995,-13.2609754,0.12928112,-14.97022663
70.05,23.6460908,-8.53331727,-13.63481635,-49.64119918,-2.18855889,-1.56689471,8.04921945,4.51976029,4.33460998,-12.87497372,0.13822013,-14.81618679
70.055,24.11827032,-8.37665865,-14.13253001,-48.32911508,-1.8649039,-1.64864151,7.36297454,4.30503212,4.50786798,-12.51026386,0.1584318,-14.62726686
70.06,24.54458883,-8.24022027,-14.61190507,-46.97185779,-1.58181686,-1.76954631,6.66617713,4.10071627,4.64802474,-12.17263916,0.21586929,-14.3903813
70.065,24.95805456,-8.1242661,-15.07875026,-45.57900088,-1.32405086,-1.93807232,5.99097303,3.90520961,4.75968135,-11.86212651,0.27456938,-14.11453945
70.07,25.34939235,-8.0273143,-15.52221904,-44.15124687,-1.08784719,-2.13998679,5.3243801,3.72229978,4.84246539,-11.57641368,0.35232397,-13.80283309
70.075,25.70490147,-7.94316257,-15.93966086,-42.68592315,-0.86890301,-2.36845298,4.65436013,3.54725563,4.88948253,-11.31782841,0.46787828,-13.43959816
70.08,26.02899926,-7.87142688,-16.33018373,-41.18727243,-0.65359245,-2.61481861,3.98590945,3.379281,4.87293062,-11.09062764,0.62201093,-13.02301102
70.085,26.37308176,-7.84021742,-16.72775391,-39.66195165,-0.42799102,-2.87941831,3.38183388,3.2381636,4.91048695,-10.89702793,0.69603334,-12.64174764
70.09,26.63157719,-7.78513564,-17.055861,-38.0921195,-0.22244728,-3.13787345,2.71462823,3.08658216,4.85295874,-10.7240589,0.91933358,-12.13661901
70.095,26.93208172,-7.78650965,-17.40942704,-36.50445186,0.01977266,-3.40359229,2.1402835,2.9703464,4.85799155,-10.59277224,1.0120056,-11.72132354
70.1,27.16053064,-7.77558055,-17.72241474,-34.87070732,0.25229951,-3.65529664,1.53044247,2.84860233,4.82393013,-10.4880049,1.20221103,-11.22213157
70.105,27.34527431,-7.75602613,-17.97231188,-33.20814336,0.49129067,-3.86207976,0.89794917,2.73128809,4.70542518,-10.40487763,1.46974999,-10.64037252
70.11,27.53551822,-7.7692289,-18.22855965,-31.51601685,0.74863514,-4.0565111,0.32619057,2.63600077,4.66283738,-10.36187191,1.66523514,-10.13613017
70.115,27.715956,-7.82581393,-18.50563897,-29.80506094,1.0322421,-4.24314546,-0.21052668,2.56728992,4.65493603,-10.34796432,1.80180812,-9.65875782
70.12,27.834644,-7.86312794,-18.73637516,-28.05537295,1.31606023,-4.36591301,-0.77115329,2.4917527,4.61055808,-10.36017886,2.01613579,-9.13207886
70.125,27.90630127,-7.89290462,-18.91913921,-26.28297728,1.59760678,-4.40516897,-1.35250959,2.42115108,4.51000511,-10.39280872,2.28889976,-8.56271762
70.13,28.00379701,-7.98350247,-19.13008606,-24.50433708,1.90448239,-4.46933005,-1.85167916,2.38972629,4.53916739,-10.46119331,2.4202416,-8.10310053
70.135,28.00379099,-8.03558148,-19.29020606,-22.69991745,2.22255823,-4.39185566,-2.42791376,2.33915418,4.46354871,-10.53685826,2.67561673,-7.5327304
70.14,28.04463474,-8.15233607,-19.47986134,-20.90130469,2.50428401,-4.35425636,-2.90636839,2.33050671,4.5276444,-10.65519403,2.80274251,-7.12169994
70.145,27.98453853,-8.23417675,-19.63058676,-19.09374103,2.81334769,-4.145214,-3.46960038,2.30383499,4.50285541,-10.77339331,3.02849839,-6.60845287
70.15,27.96676942,-8.37564523,-19.79213305,-17.30896965,3.08829628,-4.00491965,-3.94391859,2.31774519,4.60147222,-10.92639559,3.11878692,-6.21060364
70.155,27.88176945,-8.50552097,-19.94508375,-15.53903551,3.3695256,-3.74378388,-4.46137788,2.32323091,4.67405339,-11.08771265,3.24210444,-5.78399065
70.16,27.75647413,-8.62593651,-20.07559298,-13.802834,3.64745439,-3.37241591,-5.01097836,2.32735614,4.72207979,-11.24274281,3.38450003,-5.36391968
70.165,27.63292114,-8.77545134,-20.20850882,-12.11634714,3.89701614,-3.01532556,-5.52344764,2.3484509,4.83023593,-11.42815654,3.44676469,-4.9853802
70.17,27.48163905,-8.92984215,-20.33337428,-10.49023942,4.13648445,-2.59768249,-6.04418743,2.37147742,4.94803088,-11.6305903,3.47561266,-4.61322007
70.175,27.3371834,-9.09806064,-20.45439743,-8.93561712,4.34225619,-2.21536839,-6.52818748,2.39800031,5.114018,-11.8655524,3.43010501,-4.26650369
70.18,27.15458747,-9.25393754,-20.5659094,-7.4595532,4.54154867,-1.74266211,-7.0495313,2.41348709,5.25720383,-12.09117239,3.37673226,-3.91547161
70.185,26.94800645,-9.39132161,-20.65486942,-6.07973916,4.7269749,-1.18891247,-7.60355513,2.41934883,5.3636125,-12.31339889,3.32614808,-3.57771473
70.19,26.7620357,-9.53576866,-20.74816652,-4.79649312,4.87119358,-0.74897451,-8.10220276,2.41059084,5.52789593,-12.57259355,3.16214277,-3.23975455
70.195,26.54753666,-9.65091638,-20.80657646,-3.62672441,5.00501936,-0.22288334,-8.63427806,2.38407799,5.63847618,-12.84866529,2.99493941,-2.90073253
70.2,26.35121607,-9.75189936,-20.8673181,-2.56825101,5.10624188,0.19356773,-9.12817807,2.32736291,5.77817744,-13.14489529,2.7364479,-2.55533348
70.205,26.15459858,-9.82923401,-20.88795261,-1.63715632,5.1790006,0.59997044,-9.61745491,2.2500691,5.8797027,-13.47373345,2.4197562,-2.19945312
70.21,25.94249223,-9.87519227,-20.89459314,-0.82960079,5.22877082,0.99091856,-10.11776018,2.13690555,5.95463829,-13.81259594,2.07361961,-1.83070451
70.215,25.72995078,-9.88589445,-20.86836125,-0.14965393,5.24879792,1.3380538,-10.61741329,1.99299821,5.98834888,-14.17221651,1.68523963,-1.45100199
70.22,25.53521532,-9.86432063,-20.80949814,0.38888576,5.23457418,1.59116969,-11.07939291,1.81022112,5.99765888,-14.58495384,1.2075713,-1.05457316
70.225,25.36372419,-9.81653667,-20.72142384,0.78402577,5.1828895,1.74876668,-11.50210503,1.59415717,5.99269622,-15.04527532,0.65334439,-0.64979726
70.23,25.18227395,-9.71047838,-20.58933303,1.04887342,5.10459821,1.83965883,-11.92809714,1.32723578,5.90985515,-15.53590211,0.05400096,-0.22608098
70.235,25.03701168,-9.57777555,-20.41945409,1.16114766,4.98156223,1.82539242,-12.30257211,1.02736677,5.81637157,-16.08133571,-0.63473211,0.20145983
70.24,24.9067322,-9.40638912,-20.21103136,1.13795052,4.81908716,1.71169001,-12.64110968,0.6887966,5.67786453,-16.6838988,-1.39565501,0.63469902
70.245,24.79433164,-9.19035396,-19.95481589,0.97682267,4.61443459,1.48109598,-12.94295396,0.30607532,5.49529184,-17.34379501,-2.22850773,1.07141343
70.25,24.71333275,-8.94838576,-19.65430458,0.67866898,4.35601109,1.17082868,-13.18544784,-0.10330699,5.29060902,-18.07581238,-3.1550318,1.500752
70.255,24.65792783,-8.64851842,-19.29974923,0.23898756,4.05896034,0.67912123,-13.38788583,-0.5654983,5.02547488,-18.87063068,-4.13270805,1.91159307
70.26,24.64249844,-8.33620844,-18.9114747,-0.33682637,3.69883044,0.14496206,-13.52100482,-1.04207708,4.74740963,-19.74511959,-5.22119464,2.3047265
70.265,24.65487682,-7.98752151,-18.46482754,-1.02431252,3.28527088,-0.49089742,-13.58719918,-1.55170546,4.4463049,-20.70007535,-6.39274227,2.66778002
70.27,24.71359379,-7.58139216,-17.97176454,-1.8407565,2.84210408,-1.34325736,-13.57922824,-2.10983558,4.10419137,-21.73927864,-7.60260569,2.9610541
70.275,24.80591905,-7.183547,-17.48059538,-2.77915103,2.3345674,-2.1101386,-13.50816881,-2.66454323,3.76013731,-22.8517418,-8.94505602,3.23809415
70.28,24.93708524,-6.72506679,-16.91413722,-3.79319,1.79989978,-3.11549686,-13.33485565,-3.26572663,3.40821391,-24.07131572,-10.30551419,3.40770549
70.285,25.1055434,-6.26340908,-16.36781548,-4.92290598,1.22225148,-4.07682266,-13.09601582,-3.87098249,3.0501015,-25.36100552,-11.76717405,3.53168111
70.29,25.29658727,-5.7731067,-15.79837753,-6.10746978,0.62669885,-5.0831911,-12.76436409,-4.50049811,2.70850952,-26.74577383,-13.2734118,3.56859815
70.295,25.5143418,-5.2671227,-15.24421396,-7.3625552,0.01521861,-6.09006951,-12.35217969,-5.14128549,2.37924888,-28.21038617,-14.82858202,3.52191087
70.3,25.75011323,-4.74293716,-14.7091508,-8.66453723,-0.59721388,-7.08855438,-11.85576951,-5.79750178,2.0724015,-29.75248424,-16.41324154,3.3840864
70.305,25.99581912,-4.20733725,-14.20722842,-9.99764719,-1.19417253,-8.05359594,-11.27712345,-6.46188731,1.79836502,-31.3688356,-18.01282661,3.15107485
70.31,26.24065651,-3.65841489,-13.74146027,-11.33818202,-1.76777551,-8.97131313,-10.61635604,-7.13591673,1.56367088,-33.0547915,-19.60624164,2.82485282
