source_file,time,hip_flexion_r,hip_flexion_l
AB02_stairs_1_1_up_angle.csv,4.12,10.12546468,31.47880713
AB02_stairs_1_1_up_angle.csv,4.125,11.15769434,30.86461803
AB02_stairs_1_1_up_angle.csv,4.13,15.01642277,33.11501077
AB02_stairs_1_1_up_angle.csv,4.135,15.72806734,32.29542621
AB02_stairs_1_1_up_angle.csv,4.14,16.4902044,31.50469074
AB02_stairs_1_1_up_angle.csv,4.145,17.30587799,30.74745229
AB02_stairs_1_1_up_angle.csv,4.15,18.43160514,30.25852328
AB02_stairs_1_1_up_angle.csv,4.155,19.96911203,30.59149394
AB02_stairs_1_1_up_angle.csv,4.16,20.92040156,29.84175195
AB02_stairs_1_1_up_angle.csv,4.165,21.8266486,29.11742611
AB02_stairs_1_1_up_angle.csv,4.17,22.75786225,28.41715231
AB02_stairs_1_1_up_angle.csv,4.175,23.64202522,27.71971374
AB02_stairs_1_1_up_angle.csv,4.18,24.48520132,27.01837141
AB02_stairs_1_1_up_angle.csv,4.185,25.2925771,26.31666375
AB02_stairs_1_1_up_angle.csv,4.19,26.10198117,25.64004164
AB02_stairs_1_1_up_angle.csv,4.195,26.88554681,24.96603447
AB02_stairs_1_1_up_angle.csv,4.2,27.65780858,24.30618257
AB02_stairs_1_1_up_angle.csv,4.205,28.41104639,23.65293827
AB02_stairs_1_1_up_angle.csv,4.21,29.16839536,23.02124893
AB02_stairs_1_1_up_angle.csv,4.215,29.92922985,22.40938716
AB02_stairs_1_1_up_angle.csv,4.22,30.67545847,21.80194275
AB02_stairs_1_1_up_angle.csv,4.225,31.42982177,21.21420152
AB02_stairs_1_1_up_angle.csv,4.23,32.17516314,20.63058753
AB02_stairs_1_1_up_angle.csv,4.235,32.92136995,20.05800153
AB02_stairs_1_1_up_angle.csv,4.24,33.68134456,19.50996726
AB02_stairs_1_1_up_angle.csv,4.245,34.43877401,18.96597803
AB02_stairs_1_1_up_angle.csv,4.25,35.19499255,18.4292853
AB02_stairs_1_1_up_angle.csv,4.255,35.94739308,17.89619737
AB02_stairs_1_1_up_angle.csv,4.26,36.70288165,17.37849772
AB02_stairs_1_1_up_angle.csv,4.265,37.45962738,16.86373879
AB02_stairs_1_1_up_angle.csv,4.27,38.21196052,16.36176048
AB02_stairs_1_1_up_angle.csv,4.275,38.96533856,15.86088994
AB02_stairs_1_1_up_angle.csv,4.28,40.42727741,15.6279746
AB02_stairs_1_1_up_angle.csv,4.285,41.21707056,15.20191833
AB02_stairs_1_1_up_angle.csv,4.29,41.98715892,14.74347706
AB02_stairs_1_1_up_angle.csv,4.295,42.74517001,14.28529579
AB02_stairs_1_1_up_angle.csv,4.3,43.48568229,13.82862101
AB02_stairs_1_1_up_angle.csv,4.305,44.2137289,13.37302508
AB02_stairs_1_1_up_angle.csv,4.31,44.92806676,12.92188358
AB02_stairs_1_1_up_angle.csv,4.315,45.6268564,12.47791655
AB02_stairs_1_1_up_angle.csv,4.32,46.31101908,12.03939117
AB02_stairs_1_1_up_angle.csv,4.325,46.97866624,11.61095955
AB02_stairs_1_1_up_angle.csv,4.33,47.62551468,11.20424287
AB02_stairs_1_1_up_angle.csv,4.335,48.26060594,10.78417638
AB02_stairs_1_1_up_angle.csv,4.34,48.87564892,10.38813415
AB02_stairs_1_1_up_angle.csv,4.345,49.47198993,10.00313219
AB02_stairs_1_1_up_angle.csv,4.35,50.05070236,9.63621114
AB02_stairs_1_1_up_angle.csv,4.355,50.6036685,9.26596478
AB02_stairs_1_1_up_angle.csv,4.36,51.14609775,8.9212521
AB02_stairs_1_1_up_angle.csv,4.365,51.65359265,8.57477101
AB02_stairs_1_1_up_angle.csv,4.37,52.15650527,8.25108972
AB02_stairs_1_1_up_angle.csv,4.375,52.61521988,7.92690797
AB02_stairs_1_1_up_angle.csv,4.38,53.07584766,7.61834887
AB02_stairs_1_1_up_angle.csv,4.385,53.48362289,7.30843119
AB02_stairs_1_1_up_angle.csv,4.39,53.90136945,7.01505332
AB02_stairs_1_1_up_angle.csv,4.395,54.25540398,6.71327525
AB02_stairs_1_1_up_angle.csv,4.4,54.60631176,6.42143182
AB02_stairs_1_1_up_angle.csv,4.405,54.92860941,6.13012164
AB02_stairs_1_1_up_angle.csv,4.41,55.2494956,5.85520302
AB02_stairs_1_1_up_angle.csv,4.415,55.52373968,5.57160827
AB02_stairs_1_1_up_angle.csv,4.42,55.73144322,5.25107297
AB02_stairs_1_1_up_angle.csv,4.425,55.95144686,4.95558834
AB02_stairs_1_1_up_angle.csv,4.43,56.14081937,4.65518026
AB02_stairs_1_1_up_angle.csv,4.435,56.30125192,4.34776183
AB02_stairs_1_1_up_angle.csv,4.44,57.4813514,5.00161166
AB02_stairs_1_1_up_angle.csv,4.445,57.51222814,4.44793351
AB02_stairs_1_1_up_angle.csv,4.45,57.58033139,4.1352714
AB02_stairs_1_1_up_angle.csv,4.455,57.61905679,3.80691955
AB02_stairs_1_1_up_angle.csv,4.46,57.64131394,3.47860934
AB02_stairs_1_1_up_angle.csv,4.465,57.61998196,3.12742495
AB02_stairs_1_1_up_angle.csv,4.47,57.57934425,2.77616307
AB02_stairs_1_1_up_angle.csv,4.475,57.51440995,2.42289054
AB02_stairs_1_1_up_angle.csv,4.48,57.42230303,2.06603139
AB02_stairs_1_1_up_angle.csv,4.485,57.33959603,1.74423831
AB02_stairs_1_1_up_angle.csv,4.49,57.15511071,1.34691994
AB02_stairs_1_1_up_angle.csv,4.495,56.97015197,0.97552489
AB02_stairs_1_1_up_angle.csv,4.5,56.77030589,0.62363625
AB02_stairs_1_1_up_angle.csv,4.505,56.53515721,0.26840786
AB02_stairs_1_1_up_angle.csv,4.51,56.30041941,-0.05254501
AB02_stairs_1_1_up_angle.csv,4.515,55.97087508,-0.43259645
AB02_stairs_1_1_up_angle.csv,4.52,55.66844607,-0.74738106
AB02_stairs_1_1_up_angle.csv,4.525,55.30198872,-1.08603296
AB02_stairs_1_1_up_angle.csv,4.53,54.91645382,-1.40269007
AB02_stairs_1_1_up_angle.csv,4.535,54.50835136,-1.69868757
AB02_stairs_1_1_up_angle.csv,4.54,54.05518627,-1.99978612
AB02_stairs_1_1_up_angle.csv,4.545,53.62870577,-2.22500161
AB02_stairs_1_1_up_angle.csv,4.55,53.10433162,-2.51349198
AB02_stairs_1_1_up_angle.csv,4.555,52.59579156,-2.73864419
AB02_stairs_1_1_up_angle.csv,4.56,52.08268029,-2.91689695
AB02_stairs_1_1_up_angle.csv,4.565,51.53072199,-3.10053592
AB02_stairs_1_1_up_angle.csv,4.57,51.07389663,-3.16728867
AB02_stairs_1_1_up_angle.csv,4.575,50.39575188,-3.3876056
AB02_stairs_1_1_up_angle.csv,4.58,49.82705807,-3.45983586
AB02_stairs_1_1_up_angle.csv,4.585,49.24678911,-3.51229451
AB02_stairs_1_1_up_angle.csv,4.59,48.66527008,-3.53053333
