time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
0,-8.69866254,5.54558176,-21.81002653,0.13049007,-0.93392405,-19.39813352,4.06041268,-26.32745157,-1.71193982,3.54521067,-8.43525813,8.15694993
0.005,-8.69838797,5.6014803,-21.77029803,0.1654232,-0.91458494,-19.40211435,4.0882972,-26.38475393,-1.70003644,3.50635812,-8.4369052,8.12776514
0.01,-8.42473734,5.7777279,-22.12679778,-0.32542635,-0.62501335,-18.83324552,4.15156315,-26.65338087,-1.60084733,3.48515095,-8.45732314,8.01697937
0.015,-8.42514444,5.85967831,-22.08655198,-0.28832694,-0.6211934,-18.815431,4.16565188,-26.73958424,-1.59102242,3.47064709,-8.47253755,7.98659073
0.02,-8.41281943,5.94191367,-22.03998167,-0.25891718,-0.61962505,-18.80045841,4.19351127,-26.82781419,-1.57368486,3.44642844,-8.48648546,7.94259791
0.025,-8.39543431,6.0237587,-21.99301382,-0.22908463,-0.61789484,-18.79045621,4.22741606,-26.91552603,-1.55565978,3.42090923,-8.50161541,7.89040486
0.03,-8.37573788,6.10564358,-21.94466995,-0.19987548,-0.61692003,-18.78356449,4.26423886,-27.00332052,-1.53559896,3.39482122,-8.51840368,7.83529913
0.035,-8.35608966,6.18733371,-21.89683861,-0.17020112,-0.61644867,-18.77887067,4.3024793,-27.09024426,-1.51487489,3.36813275,-8.53592776,7.78032999
0.04,-8.33622399,6.26793248,-21.85079326,-0.14127199,-0.61654057,-18.77597401,4.34145838,-27.1756781,-1.49422284,3.34145314,-8.55362336,7.72625462
0.045,-8.30484568,6.34793262,-21.81609513,-0.11917824,-0.62223534,-18.78432067,4.39279948,-27.25988547,-1.47431305,3.30972042,-8.56985985,7.64936476
0.05,-8.27186791,6.42695756,-21.76568331,-0.0870419,-0.63184129,-18.79862324,4.45184468,-27.34205107,-1.43182146,3.28050911,-8.59007856,7.56361483
0.055,-8.26649929,6.50534126,-21.71958132,-0.05881029,-0.62276032,-18.79113656,4.47719638,-27.42449355,-1.41696278,3.25715474,-8.61527324,7.54564218
0.06,-8.25498316,6.58750427,-21.67931702,-0.03073986,-0.62126522,-18.78517867,4.5106041,-27.50998585,-1.40425893,3.23195627,-8.63099058,7.51310747
