time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
29,21.89499107,-7.8655679,-2.54558615,-20.70722073,3.41176344,1.54627351,15.56533663,2.55084243,10.39728179,-60.93295392,-16.44624377,12.17561766
29.005,21.53184223,-7.43065704,-2.93241658,-20.82150774,3.70341867,1.07118742,16.49905178,2.03351274,10.15525219,-62.14149695,-17.37869608,11.10025694
29.01,21.15209509,-7.01182993,-3.32498485,-20.89668707,3.98859817,0.61385207,17.41948168,1.54457874,9.91632036,-63.27817871,-18.13829544,9.97713309
29.015,20.75508059,-6.61181036,-3.72156719,-20.93447401,4.26433041,0.17089268,18.32255106,1.08766713,9.67713319,-64.33932989,-18.72029719,8.81321445
29.02,20.34168623,-6.23131294,-4.11799216,-20.93742298,4.52768097,-0.25901591,19.2055913,0.66425817,9.4338128,-65.32155014,-19.1222964,7.62101101
29.025,19.91559917,-5.87184206,-4.50612322,-20.90956784,4.77592429,-0.67988166,20.06696861,0.27655098,9.17933073,-66.22180503,-19.33930539,6.40574187
29.03,19.47085971,-5.53681792,-4.89402932,-20.85024999,5.00658148,-1.09262178,20.90048985,-0.07259619,8.91642555,-67.03599893,-19.38468931,5.18688784
29.035,19.00796957,-5.22341528,-5.28306752,-20.7601392,5.21785611,-1.49723136,21.70604435,-0.3861333,8.64521481,-67.76274932,-19.26909314,3.97742325
29.04,18.5363077,-4.93608906,-5.65270241,-20.64992869,5.40820228,-1.9004525,22.48172633,-0.65918046,8.35127574,-68.39868161,-18.98157792,2.77559316
29.045,18.05191314,-4.67376643,-6.01061616,-20.51575138,5.57591684,-2.30189834,23.2247959,-0.89453962,8.03638171,-68.94019449,-18.54007395,1.59951507
29.05,17.55084105,-4.42130539,-6.35368983,-20.35179206,5.7142702,-2.65768153,23.93062191,-1.11169974,7.69504374,-69.38695773,-17.92144267,0.49246884
29.055,17.04599227,-4.22109959,-6.69086155,-20.18666634,5.8437326,-3.09290667,24.60500597,-1.25816013,7.34194194,-69.73610916,-17.23898518,-0.61852062
29.06,16.52954743,-4.02978404,-7.00784006,-20.00009876,5.94227445,-3.48786566,25.24091663,-1.39009168,6.96200651,-69.98742009,-16.40798684,-1.64429446
29.065,16.00104575,-3.86204619,-7.31225755,-19.79757249,6.02374912,-3.87798162,25.83751749,-1.48788945,6.55990353,-70.1405423,-15.47521045,-2.59432472
29.07,15.4649851,-3.71548599,-7.60538477,-19.58449875,6.08305389,-4.2682117,26.39543583,-1.55736764,6.13703412,-70.19396681,-14.46320312,-3.46561574
29.075,14.91937625,-3.58946392,-7.883742,-19.36072454,6.12268803,-4.65725765,26.91250284,-1.59894782,5.69335391,-70.14940814,-13.38594051,-4.24796356
29.08,14.37859576,-3.47445852,-8.14487849,-19.13297601,6.16193347,-4.99567975,27.40090473,-1.62649014,5.22551001,-70.01148984,-12.2572817,-4.94735323
29.085,13.80667619,-3.39355945,-8.4055194,-18.89177474,6.1581246,-5.41415338,27.82739378,-1.60885998,4.75326041,-69.77010151,-11.11087329,-5.52314475
29.09,13.24140882,-3.32011843,-8.65693728,-18.64891673,6.15804415,-5.78008186,28.22809817,-1.5808535,4.26634426,-69.43997332,-9.95432055,-6.01526478
29.095,12.66972056,-3.2602976,-8.90473099,-18.40153674,6.14965916,-6.13433357,28.59103752,-1.53447351,3.771412,-69.01942983,-8.81017628,-6.41348052
29.1,12.10014046,-3.20431533,-9.13516077,-18.15451959,6.1368182,-6.46035024,28.91996581,-1.48286978,3.26202677,-68.51069208,-7.69013284,-6.74135585
29.105,11.51248924,-3.1763109,-9.38337344,-17.90132801,6.1089207,-6.81151788,29.20454269,-1.39435888,2.76265653,-67.91483917,-6.61725022,-6.94885188
29.11,10.92861547,-3.14722994,-9.62224327,-17.64908275,6.08235795,-7.12969347,29.46068449,-1.30491414,2.25814727,-67.23965482,-5.59868397,-7.105362
29.115,10.34055612,-3.12433011,-9.86293157,-17.39663349,6.05254825,-7.43456556,29.68245681,-1.20493048,1.75756615,-66.48588462,-4.64401016,-7.20049944
29.12,9.75183419,-3.10529803,-10.10447115,-17.14478584,6.02276041,-7.72126081,29.87415252,-1.09656703,1.26307486,-65.65717128,-3.76275197,-7.25112558
29.125,9.15596311,-3.08849872,-10.35586439,-16.89328682,5.99178639,-7.99803712,30.03165209,-0.98155428,0.77891388,-64.75844087,-2.95897437,-7.25785577
29.13,8.56311476,-3.07679353,-10.60430539,-16.64548578,5.96127336,-8.25519724,30.16181807,-0.85598225,0.30298837,-63.78990636,-2.23147956,-7.24666922
29.135,7.96331146,-3.0557945,-10.87568021,-16.39650223,5.93626625,-8.50119797,30.26488888,-0.73011521,-0.14605805,-62.76231805,-1.58982521,-7.22675617
29.14,7.37404955,-3.04586367,-11.14021361,-16.15419549,5.90937849,-8.72998073,30.34585544,-0.59107568,-0.59203039,-61.66756936,-1.02870665,-7.20574959
29.145,6.77929782,-3.02453712,-11.42211011,-15.91177007,5.88711493,-8.94638223,30.40147889,-0.45287946,-1.00981948,-60.51935405,-0.54263223,-7.201614
29.15,6.19042041,-3.00160153,-11.71012451,-15.67348005,5.86929911,-9.14996774,30.43798321,-0.30827054,-1.4081244,-59.31559039,-0.13077256,-7.22176405
29.155,5.60539242,-2.97332727,-12.00905676,-15.43981136,5.85545386,-9.3426493,30.45510089,-0.16069117,-1.78421887,-58.06082037,0.21512405,-7.2767351
29.16,5.02805073,-2.94082351,-12.31667664,-15.21194709,5.84447663,-9.52670859,30.45601898,-0.00845944,-2.13768218,-56.75640219,0.50020714,-7.3727706
29.165,4.45605126,-2.90311513,-12.63476794,-14.99043633,5.83475685,-9.7051446,30.43877694,0.14590181,-2.47120048,-55.40542693,0.72809021,-7.5155808
29.17,3.89245913,-2.84871497,-12.9548405,-14.76905742,5.84677512,-9.86425291,30.41255097,0.2995919,-2.76694068,-54.01445222,0.92424051,-7.72016348
29.175,3.35517943,-2.80279668,-13.27198441,-14.55815984,5.83231264,-10.04278643,30.38310445,0.46560363,-3.05303408,-52.57376884,1.05398875,-7.95838945
29.18,2.81842899,-2.73767537,-13.60206395,-14.35405888,5.83655973,-10.21183934,30.33505275,0.62330659,-3.31007915,-51.10000528,1.16752837,-8.27140233
29.185,2.30156977,-2.66650129,-13.92772982,-14.15695783,5.84066827,-10.38244303,30.28319329,0.78403487,-3.5443503,-49.58659148,1.24893311,-8.63411223
29.19,1.80101512,-2.58498846,-14.25425512,-13.96799432,5.8472992,-10.55756489,30.22480372,0.94120827,-3.76001096,-48.04050503,1.30809451,-9.05500188
29.195,1.31854432,-2.49296857,-14.57421882,-13.7872318,5.85415784,-10.73931401,30.16116798,1.09581096,-3.95524226,-46.46163773,1.34794021,-9.52888509
29.2,0.85139732,-2.38608276,-14.88666993,-13.61564121,5.87539344,-10.91739828,30.09031106,1.24278796,-4.12993768,-44.85570197,1.38105714,-10.06318343
29.205,0.41123285,-2.26980157,-15.18851439,-13.45394972,5.88374484,-11.11686272,30.02178366,1.3827932,-4.29516505,-43.22309601,1.39519603,-10.63128511
29.21,-0.00621773,-2.14219981,-15.47676739,-13.30092098,5.88197669,-11.33658578,29.95213593,1.51322287,-4.45290934,-41.56745772,1.39259944,-11.22915579
29.215,-0.40577037,-1.99691194,-15.74808689,-13.15855441,5.89126458,-11.55904965,29.87792554,1.62848238,-4.59998802,-39.89620041,1.38829116,-11.87135108
29.22,-0.78318957,-1.83631365,-16.00079051,-13.02704841,5.90337291,-11.79050529,29.80335566,1.72737374,-4.7449566,-38.21324113,1.37789363,-12.53704591
29.225,-1.13874593,-1.65945783,-16.23134122,-12.90690877,5.91540908,-12.03312094,29.72911802,1.80702766,-4.89177473,-36.52476683,1.36118775,-13.21519388
29.23,-1.47357612,-1.46666574,-16.43764391,-12.79797248,5.92900074,-12.28539978,29.65522294,1.86593352,-5.04575494,-34.83636215,1.33932697,-13.89836141
29.235,-1.78855983,-1.25756287,-16.61689887,-12.70138458,5.94474646,-12.54474165,29.58174533,1.90168639,-5.21174436,-33.15485014,1.3107096,-14.57711345
29.24,-2.08501683,-1.03322238,-16.76860617,-12.61789385,5.96312379,-12.80919727,29.50897644,1.91304219,-5.39667448,-31.4877505,1.27685529,-15.24008409
29.245,-2.35884573,-0.79192366,-16.89642511,-12.5480803,5.98546894,-13.0703094,29.44440731,1.90047036,-5.59543381,-29.84426384,1.23298382,-15.89496756
29.25,-2.62205653,-0.54057659,-16.99149895,-12.49176607,6.00862315,-13.33792821,29.37500608,1.86377862,-5.82735299,-28.22908935,1.18538976,-16.49705465
