angle_L,angle_R,vel_L,vel_R
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
0,0,-0,0
