time,hip_flexion_r,hip_flexion_l,hip_flexion_r_rad,hip_flexion_l_rad
43.0,15.98743202,17.0321123,0.27903332768776795,0.2972664382044242
43.01,15.31596834,17.92100678,0.26731407566421034,0.3127805735832271
43.02,14.66076474,18.81522241,0.2558786155732904,0.3283875805495225
43.03,14.0184869,19.69818846,0.24466875255269308,0.34379824530535136
43.04,13.39987835,20.5494051,0.2338719965742051,0.35865477832111464
43.05,12.79416844,21.35819124,0.22330036433274658,0.37277075940861043
43.06,12.21222048,22.11228072,0.21314345635548232,0.38593210368926234
43.07,11.65266912,22.80907912,0.20337744278947023,0.3980935299918908
43.08,11.12598025,23.44651252,0.19418498787436184,0.4092188415840728
43.09,10.62255233,24.02612507,0.18539851312389521,0.4193349889674531
43.1,10.15219202,24.55373193,0.177189177043694,0.42854346583056185
43.11,9.71180429,25.0335814,0.1695029611698102,0.4369184189960116
43.12,9.30505953,25.4707571,0.16240392589257607,0.4445485743707226
43.13,8.93879608,25.87686879,0.15601142276036245,0.45163656049206113
43.14,8.59699747,26.24185901,0.15004591163712244,0.4580068415686396
43.15,8.27206759,26.56766218,0.14437481539301236,0.46369317959857437
43.16,7.97159409,26.86904573,0.1391305635030212,0.46895331485742336
43.17,7.70209227,27.14431975,0.13442686940390408,0.4737577528516241
43.18,7.42423082,27.36583771,0.12957727223703847,0.47762397060592515
43.19,7.15848382,27.55563802,0.12493911210974111,0.48093661093673107
43.2,6.88816056,27.69939513,0.12022108117801643,0.4834456458293827
43.21,6.61724869,27.79959029,0.11549277706378158,0.4851943812659453
43.22,6.33246935,27.84919966,0.11052243993912518,0.4860602281122854
43.23,6.07359406,27.88328802,0.10600421377657002,0.4866551822308905
43.24,5.72588168,27.80213764,0.09993548789562434,0.48523884091064595
43.25,5.40379759,27.71085597,0.09431406005683461,0.483645675222427
43.26,5.07280698,27.58203796,0.08853718411915014,0.4813973768120601
43.27,4.73692956,27.4217377,0.08267501725704629,0.4785996094832571
43.28,4.39322149,27.23562029,0.07667617976987114,0.4753512478834728
43.29,4.05446171,27.03798062,0.0707637062355395,0.47190178490941775
43.3,3.7241922,26.83567761,0.06499941586709117,0.46837093129822277
43.31,3.40304498,26.63517249,0.059394339494464585,0.46487145678711644
43.32,3.09533666,26.44409704,0.05402381617468426,0.4615365610648866
43.33,2.80318614,26.26877732,0.04892482768927072,0.4584766547072121
43.34,2.5306792,26.1109725,0.04416868435173608,0.45572244102269505
43.35,2.26582931,25.9656023,0.03954618174769128,0.45318525239841245
43.36,2.01642445,25.83599261,0.03519324577021578,0.45092313656542327
43.37,1.77867698,25.71758468,0.03104376963042933,0.44885652832645234
43.38,1.54031951,25.59767673,0.026883646982205724,0.4467637397996356
43.39,1.30625172,25.47876312,0.02279839337383906,0.4446883057797031
43.4,1.06262853,25.34216446,0.01854636657412734,0.4423042094088908
43.41,0.81539285,25.19214074,0.014231289929720245,0.43968580153880077
43.42,0.55941301,25.02026842,0.009763598902991964,0.4366860636617595
43.43,0.29214268,24.82188246,0.005098851651600188,0.4332235754700297
43.44,0.01254451,24.5924854,0.00021894300254935388,0.42921984147863473
43.45,-0.28265633,24.32812516,-0.004933283610103624,0.42460588487927226
43.46,-0.57740368,24.04131142,-0.010077595329131732,0.4196000407763133
43.47,-0.88390331,23.72346134,-0.01542702302877612,0.41405251035258595
43.48,-1.19622267,23.37742358,-0.020878024178497597,0.40801301210436
43.49,-1.51301337,23.00818102,-0.026407064933195196,0.40156851369386726
43.5,-1.80088979,22.64328321,-0.03143145630104925,0.39519984547605064
43.51,-2.12930601,22.22491228,-0.037163400657003305,0.3878978952529199
43.52,-2.42858956,21.81492343,-0.042386884001560377,0.38074223992395473
43.53,-2.72178204,21.39518896,-0.047504058119648,0.3734164914383413
43.54,-2.98767992,20.98143716,-0.052144851599720786,0.36619516024228826
43.55,-3.26785133,20.54264194,-0.05703476517417575,0.3585367389112754
43.56,-3.48968339,20.15421719,-0.06090646500765737,0.3517574481275396
43.57,-3.76707231,19.67655046,-0.06574781497020851,0.34342059096180483
43.58,-4.00967337,19.23089451,-0.06998200223603682,0.33564242730320154
43.59,-4.22363009,18.79104407,-0.07371625145680444,0.32796558890885585
43.6,-4.43035476,18.34738632,-0.07732427759340317,0.3202223004193659
43.61,-4.62344462,17.90658174,-0.08069433140261807,0.3125288091404952
43.62,-4.79764749,17.46100444,-0.08373474505054172,0.3047520181833487
43.63,-4.95911737,17.02024977,-0.08655292609934187,0.2970593979983076
43.64,-5.10349399,16.5843835,-0.08907277348124255,0.289452096488421
43.65,-5.23101294,16.14313641,-0.09129839901742859,0.2817508819530773
43.66,-5.34177874,15.70962057,-0.09323162692603411,0.27418460318552834
43.67,-5.43443057,15.2762643,-0.09484870641753218,0.2666211094398668
43.68,-5.50329777,14.84131328,-0.0960506658041616,0.2590297820559591
43.69,-5.56454635,14.40510316,-0.09711965518733276,0.2514164792314395
43.7,-5.59756241,13.96117927,-0.09769589414036876,0.2436685457226784
43.71,-5.60713318,13.50830098,-0.09786293558881987,0.23576432845137668
43.72,-5.59098909,13.04384393,-0.09758116806358157,0.22765802369477675
43.73,-5.54354394,12.564904,-0.09675309398197898,0.21929894499700558
43.74,-5.45353856,12.07214934,-0.09518220375647034,0.21069875377546038
43.75,-5.32233191,11.56328916,-0.09289221571345851,0.2018174682021694
43.76,-5.12697268,11.04491981,-0.08948255392579763,0.1927702163032465
43.77,-4.8636396,10.51762506,-0.08488652465038,0.18356718678726616
43.78,-4.49536115,10.00144786,-0.0784588531337387,0.1745581951235409
43.79,-4.04488141,9.47704207,-0.0705964984572107,0.16540558747151893
43.8,-3.45949265,8.9794471,-0.06037953719104381,0.15672091690365653
43.81,-2.74489916,8.50296596,-0.04790752797722664,0.14840475218700044
43.82,-1.85210123,8.08709693,-0.03232526454373678,0.1411464683564254
43.83,-0.81708495,7.70660429,-0.014260822645993243,0.1345056190088199
43.84,0.36835705,7.37789367,0.006429043345433379,0.128768536403548
43.85,1.68892469,7.10179486,0.029477296658724547,0.12394970310820974
43.86,3.12063313,6.87628194,0.05446532286531623,0.12001376014842317
43.87,4.6328579,6.70168092,0.08085862413203021,0.1169663974720827
43.88,6.17721566,6.54667505,0.10781275187275459,0.1142610346806644
