time,hip_flexion_r,hip_flexion_l,hip_flexion_r_rad,hip_flexion_l_rad
0.0,-2.74883054,2.44051339,-0.04797614350237369,0.042594994094508454
0.01,-2.73919884,2.42628285,-0.04780803862480935,0.042346624317171705
0.02,-2.7302899,2.41367016,-0.047652548288946724,0.04212649134913834
0.03,-2.72237817,2.40166816,-0.047514462550917916,0.04191701693231398
0.04,-2.71515839,2.39208404,-0.04738845361864828,0.04174974248240774
0.05,-2.70860357,2.39427193,-0.04727405042777271,0.0417879283665792
0.06,-2.69805607,2.3905389,-0.0470899618249186,0.04172277470200347
0.07,-2.6960443,2.39196942,-0.04705484981462576,0.041747741986019105
0.08,-2.69929322,2.40048368,-0.04711155416575965,0.041896343856389955
0.09,-2.69716086,2.40300793,-0.04707433746292183,0.04194040033003342
0.1,-2.700417,2.42061934,-0.04713116782682771,0.042247777420452076
0.11,-2.70281355,2.43887948,-0.047172995515016386,0.0425664769853272
0.12,-2.70573021,2.4566133,-0.0472239008351776,0.04287599053328321
0.13,-2.69897352,2.49085864,-0.047105974348141025,0.04347368446974813
0.14,-2.70733312,2.49913111,-0.047251876892290746,0.04361806630852059
0.15,-2.7105659,2.50835391,-0.04730829954728337,0.04377903453477352
0.16,-2.72068624,2.52128261,-0.04748493280170465,0.04400468291777611
0.17,-2.72087148,2.53950278,-0.04748816584961105,0.044322684874549205
0.18,-2.73098802,2.54624578,-0.047664732781520745,0.044440372426011183
0.19,-2.73498623,2.55172541,-0.04773451471020691,0.04453601001130224
0.2,-2.74173167,2.55410955,-0.04785224484770264,0.04457762110413074
0.21,-2.74252317,2.55146092,-0.04786605912873218,0.04453139378996364
0.22,-2.74204772,2.5464598,-0.04785776096080357,0.0444441077796763
0.23,-2.74194608,2.54107746,-0.04785598700815184,0.04435016822521451
0.24,-2.74017327,2.52965205,-0.047825045636639564,0.044150757202324226
0.25,-2.72890842,2.50466349,-0.04762843691439627,0.04371462455499207
0.26,-2.72776443,2.48789065,-0.04760847052228639,0.043421883272081865
0.27,-2.71930696,2.46363421,-0.04746085982439774,0.04299852852926941
0.28,-2.71503368,2.44130956,-0.04738627701853812,0.04260888988241406
0.29,-2.7104563,2.41377617,-0.047306386666423186,0.042128341572678384
0.3,-2.70909597,2.39594342,-0.04728264442900953,0.04181710137049336
0.31,-2.70542759,2.36720861,-0.04721861911979522,0.04131558432605836
0.32,-2.70734435,2.33897161,-0.04725207289276574,0.04082275570517273
0.33,-2.70920148,2.32454451,-0.047284485925903307,0.04057095530865825
0.34,-2.70594045,2.32310169,-0.047227570215396995,0.04054577334914463
0.35,-2.7110101,2.30453893,-0.04731605229982073,0.040221792068887124
0.36,-2.71915051,2.28438008,-0.047458129256783,0.03986995376297147
0.37,-2.71983575,2.28519306,-0.04747008895094936,0.03988414294072433
0.38,-2.72978354,2.27777027,-0.04764371063974633,0.03975459081554022
0.39,-2.72975016,2.27958437,-0.047643128048842014,0.039786252833500645
0.4,-2.7388838,2.2806545,-0.04780254013953387,0.03980493012542501
0.41,-2.73867119,2.28698707,-0.0477988293950112,0.03991545432203803
0.42,-2.7441288,2.28990111,-0.04789408265880097,0.03996631391457285
0.43,-2.73264407,2.30901768,-0.047693636306598404,0.04029996100276083
0.44,-2.73555804,2.31356463,-0.04774449467740274,0.04037932025118438
0.45,-2.73175015,2.32934958,-0.04767803445934898,0.04065481960094706
0.46,-2.73235286,2.32701318,-0.04768855373328367,0.040614041728303456
0.47,-2.7262353,2.33241247,-0.047581782169095366,0.040708277116073464
0.48,-2.72716576,2.33113727,-0.047598021759653476,0.040686020677452035
0.49,-2.72229268,2.33356378,-0.04751297046894038,0.040728371266284605
0.5,-2.72608696,2.3282,-0.047579193147682955,0.04063475564493198
0.51,-2.73232839,2.31778838,-0.04768812665121571,0.04045303859546549
0.52,-2.74173832,2.304688,-0.0478523609120979,0.040224393831203076
0.53,-2.74397704,2.30213612,-0.047891433947128144,0.040179855123087284
0.54,-2.76050194,2.28283026,-0.04817984786069096,0.03984290430115821
0.55,-2.79199192,2.24552294,-0.04872945169307812,0.03919176873206307
0.56,-2.79472522,2.24259354,-0.04877715677752288,0.03914064105695516
0.57,-2.80963721,2.22783423,-0.04903742010104735,0.038883042502132634
0.58,-2.83706629,2.19955097,-0.04951614785784028,0.03838940649193502
