time,hip_flexion_r,hip_flexion_l,hip_flexion_r_rad,hip_flexion_l_rad
70.0,-16.33307153,33.11058191,-0.28506587516224785,0.5778886715807728
70.01,-16.71462891,33.47063859,-0.29172530772853095,0.5841728461405724
70.02,-16.9531305,33.83625536,-0.29588794574527255,0.5905540625775793
70.03,-17.0510889,34.17829412,-0.29759764235525815,0.5965237651090178
70.04,-17.00946889,34.49058684,-0.2968712361460452,0.6019743013030266
70.05,-16.83796061,34.71974289,-0.29387785196561284,0.6059738288763914
70.06,-16.46045682,34.88336935,-0.2872891678913556,0.6088296493467743
70.07,-15.93179462,34.93116927,-0.27806227187051885,0.609663915332964
70.08,-15.19497976,34.85204742,-0.26520242658589777,0.608282978540195
70.09,-14.23829013,34.64835323,-0.24850504262271145,0.6047278442575121
70.1,-13.05099255,34.31876691,-0.2277827906507507,0.5989754778039805
70.11,-11.62717895,33.8717342,-0.20293255539607713,0.5911732851503675
70.12,-9.97997287,33.30536035,-0.17418338584120802,0.581288196670671
70.13,-8.12960956,32.62556412,-0.1418884537236075,0.5694235142145264
70.14,-6.14282084,31.7971728,-0.10721244901812378,0.5549653581855843
70.15,-3.96737613,30.8836247,-0.06924377613353058,0.539020935965246
70.16,-1.74158843,29.80478009,-0.030396452318138787,0.5201915454033519
70.17,0.5116851,28.5513201,0.008930589728396438,0.4983145415358367
70.18,2.8356572,27.1995039,0.04949155459788335,0.4747208979640385
70.19,5.12231678,25.68201848,0.08940129314115403,0.4482357810340295
70.2,7.41192044,24.07080564,0.12936241557386682,0.4201148120256209
70.21,9.63678924,22.35363862,0.16819370155876204,0.3901445937199616
70.22,11.818885,20.58604909,0.20627845716457002,0.35929433659768245
70.23,13.91881223,18.77552779,0.24292910138035426,0.3276947787351945
70.24,15.92012117,16.9543503,0.2778585317329519,0.2959092352714884
70.25,17.82007392,15.14144737,0.3110189628527726,0.2642681101239361
70.26,19.60160761,13.34621906,0.34211259147847656,0.23293546528942263
70.27,21.32084913,11.63557083,0.3721190166394685,0.2030790213325094
70.28,22.8053254,9.89651986,0.39802801521869285,0.17272685604600826
70.29,24.21651687,8.24372025,0.4226579527462516,0.1438800609758301
70.3,25.51341459,6.65676174,0.44529308802185913,0.11618240988378672
70.31,26.6979955,5.13489132,0.4659679251576298,0.08962076026607776
70.32,27.78525558,3.68418569,0.48494419337912675,0.06430117054535912
70.33,28.79240448,2.31666689,0.5025222577419658,0.0404334649024373
70.34,29.72956818,1.03004077,0.5188788499371383,0.017977602866277632
70.35,30.60898189,-0.16802696,0.5342275146638168,-0.0029326236841168115
70.36,31.4413373,-1.27416547,0.5487548571151042,-0.022238382666721034
70.37,32.22223801,-2.28818778,0.5623841456357656,-0.039936410664899655
70.38,32.94579531,-3.22236882,0.5750126028476059,-0.0562409456226045
70.39,33.59244625,-4.09895553,0.5862987908617222,-0.0715402698913292
70.4,34.14056606,-4.90648481,0.5958652862416279,-0.08563431463358841
70.41,34.5618165,-5.66731743,0.6032174933951028,-0.09891334890916326
70.42,34.84070775,-6.42595442,0.6080850639626054,-0.11215406221208256
70.43,34.97141873,-7.20893326,0.6103664009321139,-0.12581962094352844
70.44,34.94679127,-8.03213769,0.6099365706687107,-0.14018724866403162
70.45,34.78876181,-8.92577937,0.6071784362765619,-0.1557842383130852
70.46,34.54520024,-9.8628942,0.6029274849487354,-0.17213997756585211
70.47,34.22932535,-10.87148274,0.5974144280938605,-0.18974316838673463
70.48,33.89096093,-11.84518393,0.5915088548932594,-0.2067374600828215
70.49,33.51212975,-12.78957177,0.5848970034930442,-0.22322013730661894
70.5,33.12598193,-13.62932916,0.5781574526346458,-0.23787666868007304
70.51,32.78868808,-14.29911144,0.5722705644054179,-0.24956657473758762
70.52,32.50671042,-14.78418643,0.5673491258213488,-0.2580327304321662
70.53,32.31060484,-15.06218116,0.5639264377688157,-0.26288465377385883
70.54,32.16400397,-15.15235103,0.5613677699010275,-0.2644584148914541
70.55,32.14609595,-15.01374625,0.5610552159895145,-0.26203930512145174
70.56,32.15585438,-14.69270865,0.5612255327228399,-0.25643614197875114
70.57,32.26009679,-14.16665242,0.5630449059975537,-0.2472547287146226
70.58,32.36529493,-13.44732228,0.5648809599075276,-0.23470004936279082
70.59,32.46616551,-12.53587671,0.566641483646924,-0.21879232321357436
70.6,32.52873947,-11.42272162,0.5677336052749352,-0.19936410180774058
70.61,32.53974474,-10.08125541,0.5679256834715063,-0.1759510996389909
70.62,32.49699812,-8.51343344,0.5671796142084073,-0.14858744417738712
70.63,32.38368275,-6.71547822,0.5652018879087917,-0.11720720578496811
70.64,32.11316869,-4.79397342,0.5604805268888543,-0.08367062043209299
70.65,31.71519641,-2.69565728,0.5535346002711855,-0.04704809504135469
70.66,31.15465682,-0.50520955,0.5437513388379064,-0.008817570060018919
70.67,30.40773662,1.75493532,0.5307151220982519,0.030629399493540294
70.68,29.45881336,4.02481799,0.5141532868624936,0.0702463257190002
70.69,28.35763913,6.33739825,0.49493417091088027,0.11060846547262672
70.7,27.09074471,8.63401614,0.4728226920067364,0.15069200931333168
70.71,25.68765385,10.89405173,0.4483341367950976,0.1901370715710843
70.72,24.14139045,13.047654,0.4213467493620155,0.2277245219610082
