time,hip_flexion_r,hip_flexion_l,hip_flexion_r_rad,hip_flexion_l_rad
0.0,-8.69866254,4.06041268,-0.15182030184289297,0.0708675702557269
0.01,-8.42473734,4.15156315,-0.14703940519870898,0.07245844607196723
0.02,-8.41281943,4.19351127,-0.14683139842925264,0.07319057888098891
0.03,-8.37573788,4.26423886,-0.14618420329000972,0.07442500819848952
0.04,-8.33622399,4.34145838,-0.14549455580923887,0.07577274306929914
0.05,-8.27186791,4.45184468,-0.14437133031956198,0.07769934745339335
0.06,-8.25498316,4.5106041,-0.14407663583868588,0.07872489279895556
0.07,-8.22680533,4.58408037,-0.14358483992911864,0.08000729563253989
0.08,-8.19480132,4.66391932,-0.14302626458077744,0.08140074818137502
0.09,-8.16178527,4.74519217,-0.14245002580227437,0.0828192270063545
0.1,-8.14023565,4.81756554,-0.14207391398072075,0.08408238060361858
0.11,-8.09744843,4.893779,-0.1413271361139456,0.08541255641495558
0.12,-8.05513277,4.97841663,-0.14058858852179112,0.08688976172954031
0.13,-8.01091979,5.05235821,-0.13981692644867272,0.0881802857546671
0.14,-7.96386152,5.11851909,-0.13899560469688024,0.08933501094668397
0.15,-7.90925251,5.191164,-0.13804249767112572,0.0906029038109989
0.16,-7.8603628,5.22458186,-0.13718921126128053,0.09118615549696943
0.17,-7.80673047,5.25712653,-0.13625315051726442,0.09175416714244446
0.18,-7.75469291,5.27025583,-0.13534492376056032,0.09198331665592654
0.19,-7.70671579,5.2668813,-0.1345075650509359,0.09192441999671921
0.2,-7.68077352,5.22156412,-0.13405478702399454,0.0911334859980003
0.21,-7.65584521,5.16450821,-0.1336197059375367,0.09013767251077874
0.22,-7.61937415,5.11964699,-0.1329831658588443,0.0893546965153172
0.23,-7.61456241,5.02844341,-0.13289918515309437,0.08776289375471116
0.24,-7.59760688,4.95619855,-0.1326032553281737,0.0865019830800688
0.25,-7.65115425,4.78416788,-0.13353783324045737,0.08349948147415698
0.26,-7.66446588,4.66803027,-0.1337701650127646,0.08147249779425988
0.27,-7.71872078,4.51223832,-0.1347170916531049,0.0787534153186575
0.28,-7.75832171,4.37535004,-0.13540825826845668,0.07636426412526559
0.29,-7.81785254,4.22188255,-0.1364472672584017,0.07368575112999413
0.3,-7.87705055,4.07352414,-0.1374804674435302,0.07109640840247045
0.31,-7.93372057,3.93001286,-0.13846954587970126,0.06859166405271896
0.32,-7.98537998,3.79399267,-0.13937117267383894,0.0662176638880307
0.33,-8.03235183,3.65880011,-0.14019098611209183,0.0638581085918307
0.34,-8.07773776,3.52035208,-0.1409831200246715,0.06144173462543082
0.35,-8.10680128,3.37822266,-0.14149037414089075,0.05896110828248095
0.36,-8.12118507,3.26336867,-0.14174141863530615,0.0569565279979283
0.37,-8.12431477,3.12370386,-0.14179604220490583,0.054518917214256
0.38,-8.10617564,3.01610829,-0.14147945466295855,0.05264102025719596
0.39,-8.09244786,2.867292,-0.14123985970296912,0.05004368601609325
0.4,-8.05921302,2.75426105,-0.14065980231859562,0.04807092378193617
0.41,-8.02916421,2.60534868,-0.1401353516477894,0.04547191262848814
0.42,-7.99861526,2.43971484,-0.1396021718872623,0.042581056767766655
0.43,-7.9784842,2.28405598,-0.13925081860834576,0.03986429715086576
0.44,-7.96708212,2.10314334,-0.13905181477076997,0.036706775924390554
0.45,-7.96633071,1.9159709,-0.13903870019223757,0.03344000057739902
0.46,-8.0057337,1.68540095,-0.13972641210286796,0.029415795793740325
0.47,-8.01493882,1.52186929,-0.13988707175490914,0.026561629895488412
0.48,-8.06293141,1.30441358,-0.14072470046696883,0.022766311778726456
0.49,-8.13192922,1.08829631,-0.1419289394281343,0.018994353846804892
0.5,-8.21544092,0.87255054,-0.1433864935570721,0.015228879813054484
0.51,-8.33766747,0.63081544,-0.14551974928792552,0.011009806400416738
0.52,-8.41035596,0.4578301,-0.14678840276672853,0.007990642659734891
0.53,-8.52701276,0.24787827,-0.14882444802156902,0.004326291955647485
0.54,-8.63544163,0.05705341,-0.15071688880728595,0.000995769853990258
0.55,-8.76274233,-0.14864231,-0.15293870516237948,-0.0025942977172700925
0.56,-8.84349267,-0.29472283,-0.15434806446748436,-0.005143883764295519
0.57,-8.9513365,-0.47310121,-0.1562302943789454,-0.008257173809669121
0.58,-8.99852993,-0.57895735,-0.15705397511775487,-0.010104711986121194
0.59,-9.06885794,-0.71396438,-0.15828143044863036,-0.012461029172959952
0.6,-9.12469563,-0.83201777,-0.15925598198583826,-0.014521449521600902
0.61,-9.18401373,-0.96534398,-0.16029127813686553,-0.01684843086530629
0.62,-9.21233566,-1.05203703,-0.1607855890658849,-0.01836151002640236
0.63,-9.2732892,-1.18097564,-0.16184942902963095,-0.020611913303847245
0.64,-9.29096091,-1.25874073,-0.16215785855358858,-0.02196917016745696
0.65,-9.33211007,-1.35854764,-0.16287604688001853,-0.023711129363198618
0.66,-9.34948595,-1.42901917,-0.16317931319644993,-0.024941089590616576
0.67,-9.37882523,-1.50586161,-0.16369138023261445,-0.026282243173882766
0.68,-9.40646008,-1.5733309,-0.16417369935340922,-0.027459804428365653
0.69,-9.4320942,-1.63085623,-0.16462109914826054,-0.028463810840161922
0.7,-9.45750337,-1.68012175,-0.1650645728249595,-0.029323656371869043
0.71,-9.47432978,-1.71193953,-0.16535824908075,-0.02987898139354424
0.72,-9.49121432,-1.73434302,-0.16565293989643468,-0.030269996057981866
0.73,-9.50003819,-1.75409065,-0.16580694548070263,-0.030614657220947472
0.74,-9.501281,-1.75936107,-0.16582863660717936,-0.030706643402910433
0.75,-9.49406246,-1.75180281,-0.16570264931699244,-0.030574726880188648
0.76,-9.50045,-1.75091263,-0.1658141329210953,-0.030559190308253242
0.77,-9.45495153,-1.69543491,-0.16502003481497543,-0.02959092143275373
0.78,-9.43917606,-1.66832231,-0.16474470092242582,-0.02911771729397752
0.79,-9.41883507,-1.63269253,-0.1643896836738106,-0.028495860321216294
0.8,-9.39199054,-1.5884891,-0.1639211582391602,-0.02772436492704146
0.81,-9.36820629,-1.53679691,-0.16350604476654274,-0.026822166013974972
0.82,-9.35170081,-1.47936388,-0.16321796979592065,-0.02581977054107829
0.83,-9.33538728,-1.41777238,-0.1629332449847978,-0.024744796074836203
0.84,-9.33386433,-1.34771795,-0.16290666449295454,-0.023522115615728312
0.85,-9.34593413,-1.27315172,-0.16311732224301176,-0.02222068939142894
0.86,-9.37370155,-1.19154366,-0.16360195514679587,-0.020796360048263858
0.87,-9.41687552,-1.10510051,-0.16435548307445313,-0.01928764246496852
0.88,-9.47958273,-1.00845208,-0.16544993035369265,-0.01760080914458526
0.89,-9.55055081,-0.89863042,-0.1666885570135114,-0.015684059587579503
0.9,-9.63585013,-0.78832588,-0.16817731099722363,-0.013758882184681716
0.91,-9.73653571,-0.66122933,-0.16993460587750378,-0.011540628919256116
0.92,-9.84285143,-0.52892156,-0.17179016523813218,-0.00923142270678474
0.93,-9.94768118,-0.38159862,-0.1736197895296747,-0.006660152340066684
0.94,-10.04722153,-0.21910489,-0.17535709637576222,-0.0038241017377199987
0.95,-10.13837448,-0.04042288,-0.17694801547616798,-0.0007055123491385654
0.96,-10.22149577,0.1443516,-0.17839875566517305,0.0025194107005218464
0.97,-10.29216708,0.35509005,-0.17963220271137065,0.0061974905135712905
0.98,-10.3571771,0.57272733,-0.18076684160715797,0.009995977624656096
0.99,-10.39640251,0.82649483,-0.1814514541621027,0.014425056034210806
1.0,-10.42666895,1.09250692,-0.18197970319296,0.019067842854822287
1.01,-10.44822014,1.39244834,-0.18235584241618288,0.02430280819692946
1.02,-10.46071097,1.69436673,-0.18257384852598976,0.02957227817474978
1.03,-10.47561006,1.96696784,-0.18283388670204073,0.03433006508884102
1.04,-10.47623916,2.3000269,-0.18284486656836504,0.04014304228943837
1.05,-10.49182132,2.60027785,-0.18311682656493758,0.045383409949179235
1.06,-10.48928416,2.94205514,-0.1830725447692877,0.051348548968222725
1.07,-10.50431472,3.26896173,-0.18333487752970626,0.057054145310189895
1.08,-10.51930129,3.54888274,-0.18359644251978685,0.06193968858019786
1.09,-10.54969697,3.85701723,-0.18412694721416945,0.06731764996965141
1.1,-10.58729318,4.11719678,-0.18478312486494067,0.07185863976350862
1.11,-10.63700521,4.35443061,-0.18565076346629086,0.07599915119412512
1.12,-10.6997562,4.56241305,-0.1867459748506769,0.07962912955845668
1.13,-10.79695362,4.70659182,-0.18844238985412068,0.0821455238064323
1.14,-10.87675018,4.88289143,-0.18983510255788588,0.08522253247091421
1.15,-11.03333527,4.92884827,-0.19256802793791755,0.08602463064272645
1.16,-11.14763081,5.04998006,-0.19456286143126245,0.0881387792070608
1.17,-11.34979598,5.03365093,-0.19809130928061647,0.08785378212457462
1.18,-11.5378405,5.05308712,-0.20137330529494882,0.0881930076341178
1.19,-11.73537575,5.0655183,-0.20482094579619892,0.08840997265502587
1.2,-11.97221228,5.05256254,-0.20895452303369727,0.08818385198592771
1.21,-12.21227982,5.04363011,-0.21314449203386043,0.08802795167222377
1.22,-12.40594349,5.12447771,-0.21652456071685622,0.08943900848455914
1.23,-12.71450553,5.05759645,-0.22190998426152667,0.08827171028967677
1.24,-12.9262262,5.15521722,-0.22560520704755505,0.08997551414450887
1.25,-13.2288584,5.13164968,-0.23088713536010902,0.0895641829749134
1.26,-13.45187236,5.25585264,-0.23477946324001994,0.09173193356763622
1.27,-13.75072751,5.27034044,-0.2399954695940615,0.09198479337900665
1.28,-14.0092188,5.35632709,-0.24450699369228898,0.09348554353426664
1.29,-14.26343492,5.4549694,-0.248943901997934,0.09520717662553957
1.3,-14.50922967,5.5591225,-0.2532338296695503,0.09702499114669848
1.31,-14.72325306,5.6981888,-0.25696924250133024,0.09945215596026466
1.32,-14.94833679,5.79111861,-0.2608976946825002,0.10107408711801741
1.33,-15.18065009,5.86888768,-0.2649523266636735,0.10243141344573137
1.34,-15.40471833,5.9298787,-0.2688630552008224,0.10349590755888106
1.35,-15.65152396,5.94932241,-0.2731706260567813,0.10383526431718401
1.36,-15.829716,5.99115854,-0.2762806638556267,0.10456544253197639
1.37,-16.03687708,5.97662501,-0.2798963067836141,0.10431178458153903
1.38,-16.26312451,5.90893679,-0.2838450693612895,0.10313040227772476
1.39,-16.48164808,5.80653487,-0.2876590251510018,0.10134315161336092
1.4,-16.7330396,5.65318652,-0.292046634886595,0.09866671800336027
1.41,-16.95852397,5.47176835,-0.2959820795548801,0.09550037361391746
1.42,-17.19692121,5.25834969,-0.3001428963205472,0.09177551531172315
1.43,-17.44493973,5.00372686,-0.3044716361004706,0.08733150857747736
1.44,-17.70243021,4.7177418,-0.3089656927690112,0.08234012766896381
1.45,-17.97827173,4.39837392,-0.313780035506717,0.07676610663784968
1.46,-18.2708307,4.05057598,-0.31888615278946036,0.07069588745319598
