time,hip_flexion_r,hip_flexion_l,hip_flexion_r_rad,hip_flexion_l_rad
0.0,12.79826442,12.6000797,0.22337185266984244,0.21991287677869936
0.01,12.88225645,13.10299848,0.22483779013877628,0.22869046535981238
0.02,12.9720754,13.64401832,0.22640542654696041,0.2381330428864253
0.03,13.05414099,14.19705994,0.2278377412950522,0.24778544005598863
0.04,13.09561221,14.73213306,0.2285615506288711,0.25712422773890736
0.05,13.20641965,15.33943773,0.23049550529257717,0.267723693793145
0.06,13.26112488,15.91160403,0.23145029167413794,0.2777098795970986
0.07,13.27349978,16.45980214,0.23166627442374296,0.2872777415698087
0.08,13.33355012,17.05844031,0.23271435057368503,0.2977259486644222
0.09,13.35017925,17.63127268,0.2330045836439272,0.3077237595829246
0.1,13.34384039,18.18949129,0.23289394966610424,0.3174665122733307
0.11,13.32313794,18.73531257,0.23253262375037473,0.3269928907367806
0.12,13.28377623,19.25758325,0.23184563231165956,0.3361082336894103
0.13,13.22802995,19.74937123,0.23087267617992088,0.34469155316214234
0.14,13.1495617,20.20425301,0.22950314685914283,0.3526307379304748
0.15,13.06243154,20.61185806,0.2279824386893534,0.3597447881007309
0.16,12.96306816,20.96758937,0.22624822055244312,0.36595347071266354
0.17,12.8606826,21.27158903,0.2244612554239449,0.3712592657046069
0.18,12.74759654,21.51860057,0.22248753133883703,0.37557043036802856
0.19,12.63599159,21.7135327,0.22053965749981339,0.3789726378544541
0.2,12.53272286,21.85696799,0.21873727814696034,0.3814760559285071
0.21,12.43497079,21.95899543,0.21703118267482036,0.383256770683888
0.22,12.34921776,22.02103653,0.2155345099577589,0.38433959215044705
0.23,12.28342645,22.05655509,0.21438623497905862,0.3849595079680142
0.24,12.2424009,22.07511267,0.21367020405411707,0.38528339884021645
0.25,12.22317897,22.084003,0.2133347180870292,0.38543856437030527
0.26,12.21813153,22.08851114,0.21324662364023234,0.3855172462564462
0.27,12.23878153,22.1001679,0.21360703413076917,0.3857206950985609
0.28,12.27584649,22.12270485,0.21425393971988915,0.38611403907941827
0.29,12.32829979,22.16170136,0.21516942250842552,0.3867946565757051
0.3,12.38459772,22.21595902,0.2161520067489828,0.3877416313871328
0.31,12.4470354,22.28993863,0.21724174984228942,0.38903281916097415
