time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
55.0,-0.61431003,24.51059493,-0.0107217326515251,0.427790583151129,-0.0107217326515251,0.427790583151129,0.0,0.0,0.0,0.0,2.1191517005653884e-98,-2.368505364978188e-18,0.0,-0.0
55.01,1.68020141,24.64908383,0.0293250467011511,0.4302076704335942,0.002579365978861576,0.037840111228813436,0.0,0.0,0.0,0.0,2.446592962853358e-129,-5.134918705854745e-71,0.0,-0.0
55.02,4.05121204,24.63776566,0.0707069887944362,0.4300101311017937,0.008551151308325226,0.0720327605101338,0.5971785329460595,3.419264928130287,0.0,0.0,4.17204237359607e-11,-6.5,0.0,-0.0
55.03,6.46858142,24.49043816,0.1128980437123301,0.4274387811480618,0.01764068263438957,0.10241976252393833,0.9089531326066151,3.0387002013810585,0.0,0.0,0.05500295307296065,-6.5,0.0,-0.0
55.04,8.89565532,24.19176863,0.1552584744565497,0.4222260144741778,0.0295165062577899,0.12886290908297648,1.187582362340269,2.644314655904341,0.0,0.0,6.498817115167349,-6.5,0.0,-0.0
55.05,11.25735774,23.71131276,0.1964779576378677,0.413840477632144,0.043738979964007954,0.1512201742512149,1.4222473706220886,2.2357265168242857,0.0,0.0,6.499999857474484,-6.5,0.0,-0.0
55.06,13.58609951,23.13815938,0.2371221689530882,0.4038370640322098,0.05993823801664945,0.16953071926053181,1.619925805263321,1.8310545009307553,0.0,0.0,6.499999999789475,-6.499999999999615,0.0,-0.0
55.07,15.81047071,22.44536292,0.2759447701796256,0.3917454847590486,0.07765152353397221,0.18382055136205827,1.7713285517326287,1.4289832101529298,0.0,0.0,6.499999999997617,-6.4999999235522825,0.0,-0.0
55.08,17.89779273,21.650777,0.3123754119780045,0.3778773442650603,0.09639445007071704,0.19417229223221302,1.8742926536748552,1.0351740870156811,0.0,0.0,6.4999999999998614,-6.047648504285269,0.0,-0.0
55.09,19.81286434,20.76124208,0.3457997169839732,0.3623520310995959,0.11566282579771942,0.200702668551754,1.9268375726992522,0.6530376319537641,0.0,0.0,6.499999999999966,-3.465629670162133e-08,0.0,-0.0
55.1,21.51504561,19.77990519,0.3755083846112518,0.3452244712978146,0.13493000804502556,0.2035529428941368,1.9267182247309975,0.285027434238337,0.0,0.0,6.499999999999967,-1.075883770696457e-22,0.0,-0.0
55.11,22.97956787,18.70574018,0.4010691200170003,0.3264767551635967,0.1536773961685703,0.20287924952011097,1.8747388123548463,-0.06736933740259751,0.0,0.0,6.499999999999876,-2.044042409704391e-33,0.0,-0.0
55.12,24.20036062,17.55585026,0.4223759729889763,0.3064073900241025,0.17142653056491253,0.19887788733465162,1.7749134396345767,-0.40013621854601467,0.0,0.0,6.4999999999982085,-2.090578899024855e-17,0.0,-0.0
55.13,25.16414803,16.31981258,0.4391972365827448,0.2848344628293905,0.18772829898350027,0.1917379408533991,1.6301768418579403,-0.7139946481248866,0.0,0.0,6.4999999998856755,-1.7934793106572569e-06,0.0,-0.0
55.14,25.87806228,15.02568338,0.4516573908221508,0.2622476473431903,0.2021952608943059,0.1816994729056992,1.4466961910808505,-1.0038467947701883,0.0,0.0,6.499999961628791,-4.749187595870996,0.0,-0.0
55.15,26.34115274,13.66968101,0.4597398440837258,0.2385809413218439,0.21448691207615206,0.16899832975654125,1.2291651181848608,-1.270114314916049,0.0,0.0,6.499898439069112,-6.49997307035756,0.0,-0.0
55.16,26.57040804,12.27364581,0.4637411038963732,0.2142155306081063,0.2243358191828607,0.15390402154004593,0.9848907106710592,-1.5094308216498324,0.0,0.0,4.051034024217939,-6.499999994246126,0.0,-0.0
55.17,26.57667742,10.84913145,0.4638505252194319,0.1893530647841665,0.23153392677954565,0.1366989015622215,0.7198107596681278,-1.7205119977815622,0.0,0.0,5.530848413267634e-06,-6.499999999990844,0.0,-0.0
55.18,26.3931875,9.43038846,0.4606480219712109,0.1645913283690775,0.23596339353563942,0.11770969203758709,0.44294667560946455,-1.898920952463819,0.0,0.0,6.9626759867286724e-15,-6.49999999999993,0.0,-0.0
55.19,26.04459893,8.04202736,0.4545640036898921,0.1403598559674673,0.23757616699933795,0.0972862694180961,0.16127734636988567,-2.042342261949506,0.0,0.0,5.224573945966243e-27,-6.499999999999998,0.0,-0.0
55.2,25.56611219,6.72234117,0.4462128346497581,0.1173269868588678,0.23640439145140804,0.0758179204804821,-0.11717755479293102,-2.1468348937603015,0.0,0.0,7.601371873640633e-29,-6.5,0.0,-0.0
55.21,24.97488037,5.49081627,0.4358938927481997,0.0958328225335739,0.23252541834584836,0.05369800379556679,-0.38789731055604515,-2.211991668491971,0.0,0.0,3.819142681025583e-17,-6.5,0.0,-0.0
55.22,24.30126605,4.37435668,0.4241371049756169,0.0763469267226079,0.2260775027510804,0.031331916348134425,-0.6447915594769238,-2.2366087447436813,0.0,0.0,3.489371933226568e-08,-6.5,0.0,-0.0
55.23,23.59596352,3.42114351,0.4118272536044709,0.0597102184327355,0.21728456152810677,0.009165519949099383,-0.8792941222975388,-2.216639639903945,0.0,0.0,0.04571953538481867,-6.5,0.0,-0.0
55.24,22.84038505,2.55782342,0.3986399215457896,0.0446424403636217,0.20634063812648085,-0.012508391010876037,-1.0943923401620324,-2.1673910959964333,0.0,0.0,6.470282787612254,-6.5,0.0,-0.0
55.25,22.13476248,1.85102714,0.3863244844229055,0.032306518136774,0.19359326552235112,-0.03332415577160653,-1.274737260413226,-2.0815764760734634,0.0,0.0,6.499980307293163,-6.499999999999999,0.0,-0.0
55.26,21.45072019,1.24715142,0.3743856942395236,0.0217668985499226,0.17933002306406987,-0.05303701521155081,-1.4263242458284093,-1.9712859439948203,0.0,0.0,6.4999999145499565,-6.4999999999999885,0.0,-0.0
55.27,20.87899046,0.76900277,0.3644071280194854,0.0134216302934566,0.16396422738828725,-0.07139718748262046,-1.5365795675774752,-1.8360172271060253,0.0,0.0,6.499999997697326,-6.499999999999599,0.0,-0.0
55.28,20.39893959,0.36988127,0.3560286597609222,0.0064556460029581,0.1478498779894892,-0.08825892860230701,-1.6114349398801255,-1.6861741119689906,0.0,0.0,6.499999999770249,-6.499999999972579,0.0,-0.0
