time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
5.0,27.79068384,-8.28106981,0.485038934388781,-0.1445319337720012,0.485038934388781,-0.1445319337720012,0.0,0.0,0.0,0.0,1.26398934107013e-15,-6.472976431289662e-42,0.0,-0.0
5.01,27.37156191,-6.18872568,0.4777238767429678,-0.1080136396187249,0.042019531205470244,-0.009500639849779582,0.0,0.0,0.0,0.0,9.671047119975667e-69,-5.018294161716712e-101,0.0,-0.0
5.02,26.85548862,-3.93643812,0.4687166986508683,-0.0687038059950156,0.07921578306193289,-0.014632256327456367,3.719625185646344,-0.5131616477676895,0.0,0.0,6.5,-2.1599656072184155e-14,0.0,-0.0
5.03,26.22337696,-1.59142522,0.4576842689436213,-0.0277756098882751,0.111540953223878,-0.015596497009223335,3.2325170161942927,-0.09642406817669023,0.0,0.0,6.5,-2.007205903106947e-50,0.0,-0.0
5.04,25.45229271,0.76996349,0.4442263099708502,0.0134383980206464,0.13895421768664515,-0.012727307951839595,2.7413264462767737,0.2869189057383801,0.0,0.0,6.5,-5.274903105584689e-27,0.0,-0.0
5.05,24.54150694,3.10694537,0.4283300995040385,0.0542264263860934,0.16145561201550274,-0.006422092159524708,2.2501394328858066,0.6305215792315022,0.0,0.0,6.5,-6.29560382735306e-10,0.0,-0.0
5.06,23.49012518,5.36829405,0.4099800260966256,0.0936944063877211,0.1790822429440212,0.0028509391567316756,1.7626630928518836,0.9273031316256581,0.0,0.0,6.499999999997528,-0.14596165515957887,0.0,-0.0
5.07,22.30961337,7.53192693,0.389376208153448,0.1314569239481284,0.19192376460323746,0.014607395556520877,1.2841521659215394,1.1756456399788406,0.0,0.0,6.499986124897557,-6.498017181598996,0.0,-0.0
5.08,20.98244923,9.53681544,0.3662128241960489,0.1664488295830317,0.20007259133463373,0.02829212897069086,0.8148826731396448,1.3684733414170276,0.0,0.0,0.0010072359358784938,-6.499999008125989,0.0,-0.0
5.09,19.64462959,11.50652638,0.3428634666802037,0.2008267707985842,0.20385860300939213,0.04357319200028931,0.37860116747584743,1.5281063029598771,0.0,0.0,3.0631636041005654e-18,-6.499999996051695,0.0,-0.0
5.1,18.28857014,13.40825176,0.3191957644249203,0.2340181401483245,0.20360523584082468,0.06008471703290298,-0.025336716856744754,1.6511525032614027,0.0,0.0,2.6254435723252067e-34,-6.499999999918869,0.0,-0.0
5.11,16.89430989,15.18609567,0.294861332432741,0.2650473699643543,0.19960850955781914,0.07739730397464221,-0.3996726283005272,1.7312586941738064,0.0,0.0,2.0698312268425916e-17,-6.499999999992533,0.0,-0.0
5.12,15.51474415,16.89040777,0.270783368022029,0.2947932275909331,0.19224891517901505,0.09519007672726545,-0.7359594378804253,1.779277275262362,0.0,0.0,7.452421295454916e-06,-6.499999999998139,0.0,-0.0
5.13,14.16980597,18.52912819,0.2473097685452488,0.3233942944395975,0.18193035296316343,0.11317853371542538,-1.0318562215851839,1.7988456988160313,0.0,0.0,5.925381802365653,-6.499999999998952,0.0,-0.0
5.14,12.86524689,20.10693951,0.2245409173124607,0.3509322969488353,0.16905318219048174,0.1311085723326646,-1.2877170772681965,1.7930038617239596,0.0,0.0,6.499986311380629,-6.499999999998809,0.0,-0.0
5.15,11.60432333,21.62502637,0.2025336495744924,0.3774279109870975,0.154007615317889,0.1487504365369253,-1.5045566872591716,1.7641864204259508,0.0,0.0,6.499999993249796,-6.499999999997437,0.0,-0.0
5.16,10.38282175,23.08613582,0.1812144251851795,0.4029290816216009,0.13716013623619192,0.16590077991465085,-1.6847479081697452,1.7150343377725923,0.0,0.0,6.499999999974031,-6.499999999990043,0.0,-0.0
5.17,9.19042945,24.48134459,0.1604032535747515,0.4272800684108012,0.11884339884209796,0.18236403255349576,-1.8316737394094342,1.6463252638845256,0.0,0.0,6.499999999999579,-6.4999999999284315,0.0,-0.0
