time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
10.0,0.03346319,41.59943288,0.0005840428437204,0.7260470707183873,0.0005840428437204,0.7260470707183873,0.0,0.0,0.0,0.0,1.3650504454698338e-161,7.263604463246261e-07,0.0,0.0
10.01,1.38148911,40.62858937,0.0241115335499461,0.7091026549472687,0.002120796940946739,0.062371094659499166,-0.00018655504250414748,-0.0054864480378016955,0.0,0.0,1.6655442493134232e-133,4.423541195244571e-60,0.0,0.0
10.02,2.87051601,39.63444313,0.0500999556057104,0.691751529812947,0.006324024955331952,0.11723260193122281,-0.0007428453320462383,-0.015798762205102228,0.0,0.0,1.0265394695035468e-109,2.889011459599917e-46,0.0,0.0
10.03,4.48215774,38.63142494,0.0782284101567479,0.6742455599400529,0.01258137210180841,0.1647977947329055,-0.001849560624725599,-0.030295040142079586,0.0,0.0,1.0751177566234398e-94,1.0503496116280988e-38,0.0,0.0
10.04,6.19107672,37.61866696,0.108054673007571,0.656569598663206,0.02081185048030231,0.2053167745650869,-0.0036802666088683145,-0.048355264523365,0.0,0.0,1.1554864479831908e-83,1.0477477241918375e-33,0.0,0.0
10.05,7.97693376,36.59761602,0.1392237583254911,0.6387488979296229,0.03089471915262751,0.23907492644826844,-0.006397908045157944,-0.06938439066133478,0.0,0.0,5.79480185360295e-75,4.145991782479215e-30,0.0,0.0
10.06,9.82265051,35.56601271,0.1714375926722002,0.6207440235956512,0.04267891505959605,0.2663819985498953,-0.010152141493561336,-0.09281450273592205,0.0,0.0,8.340188360479266e-68,2.1487188699683186e-27,0.0,0.0
10.07,11.71353571,34.52171215,0.2044397651894317,0.6025175404432306,0.05599055000856638,0.2875677943331434,-0.015077326952164552,-0.1181066155481357,0.0,0.0,9.521817509172264e-62,2.769055873879106e-25,0.0,0.0
10.08,13.62860789,33.45442175,0.2378640801437771,0.5838898088883033,0.07062659133185725,0.30296537243498767,-0.02128995647440718,-0.14475101365085763,0.0,0.0,1.60559152740099e-56,1.3030112864779399e-23,0.0,0.0
10.09,15.56076417,32.36257444,0.2715865688928626,0.5648334783997602,0.08638031218243863,0.31292177012459843,-0.028888325911752232,-0.17226909629835227,0.0,0.0,6.091925433370374e-52,2.8767184316446334e-22,0.0,0.0
10.1,17.49576963,31.23497193,0.3053587852139301,0.5451531019465078,0.10303226988101735,0.3177787180245086,-0.03795140889078496,-0.2002124775066405,0.0,0.0,6.965568721770842e-48,3.5371461631700834e-21,0.0,0.0
10.11,19.42527711,30.07279043,0.3390350436817887,0.5248692082657413,0.12036216867254279,0.31788940884283484,-0.048538771812837105,-0.2281639067754516,0.0,0.0,2.974684012254219e-44,2.7426830345719396e-20,0.0,0.0
10.12,21.33196355,28.86403722,0.372312999862918,0.5037724849071908,0.13813687113553313,0.31359456083181175,-0.06068943171040113,-0.25573615215569534,0.0,0.0,5.553999216925593e-41,1.4687593405484347e-19,0.0,0.0
10.13,23.20216394,27.60629954,0.4049541543405,0.481820821264796,0.1561189671330302,0.3052355975793803,-0.07442146563862562,-0.2825720470517027,0.0,0.0,5.116062566951848e-38,5.821745381382558e-19,0.0,0.0
10.14,25.02156636,26.29552473,0.4367087169882528,0.4589434850780929,0.17406802095969878,0.29314944424360173,-0.08973172802656591,-0.30834408112739614,0.0,0.0,2.555410051294337e-35,1.8015140715707897e-18,0.0,0.0
10.15,26.77781717,24.9341066,0.4673610761135701,0.4351822562132487,0.19174574077242262,0.27767622385001534,-0.10659602191835908,-0.33275467089106764,0.0,0.0,7.466483652719808e-33,4.5396590016629425e-18,0.0,0.0
10.16,28.45668578,23.52094702,0.4966628610664507,0.4105179686861486,0.20891479936470295,0.25915100180814155,-0.12496916680265777,-0.35553570620260677,0.0,0.0,1.3565838723485266e-30,9.628916705529198e-18,0.0,0.0
10.17,30.04994876,22.07137066,0.5244705459175873,0.3852180884450739,0.2253498635019339,0.23792684695255606,-0.1447860384135378,-0.37645012687122725,0.0,0.0,1.6135736122207294e-28,1.767212414546815e-17,0.0,0.0
10.18,31.54354156,20.57417096,0.5505386579616685,0.3590870241202025,0.24082938361742334,0.2143298247773935,-0.16596188940914597,-0.39528954290790747,0.0,0.0,1.3104372234183122e-26,2.8639408556746646e-17,0.0,0.0
10.19,32.93904041,19.06176019,0.5748947076019629,0.3326904765410799,0.255161299773084,0.18872577186074624,-0.18839532157166108,-0.41187772965390035,0.0,0.0,7.548700003421897e-25,4.174048592570724e-17,0.0,0.0
