time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
75.0,37.81980451,8.51428119,0.6600801111601007,0.1486022402061209,0.6600801111601007,0.1486022402061209,0.0,0.0,0.0,0.0,6.205056187353123e-09,-2.595261856494878e-41,0.0,-0.0
75.01,38.71371687,7.00307038,0.6756818250663735,0.1222266358798904,0.05943147268863955,0.010750783434801476,0.0,0.0,0.0,0.0,3.263908374427126e-61,-2.426157717926412e-98,0.0,-0.0
75.02,39.42121442,5.49115676,0.6880299867636668,0.095838765205144,0.11424765730193234,0.018149201578800053,5.481618461334265,0.7398418144005307,0.0,0.0,6.5,-1.8896817068255912e-06,0.0,-0.0
75.03,39.97331177,4.00860236,0.6976659033127023,0.069963309585215,0.16418246375941598,0.02247690351201787,4.993480645745809,0.43277019332156014,0.0,0.0,6.5,-4.5188561826830154e-18,0.0,-0.0
75.04,40.37817894,2.55955193,0.7047321684624339,0.0446726085542754,0.20904356496944848,0.0240212611012601,4.486110121000956,0.1544357589241441,0.0,0.0,6.5,-3.234859337640328e-40,0.0,-0.0
75.05,40.6268899,1.15428393,0.7090729936002299,0.0201460550813597,0.24868125393349783,0.023082040602051334,3.9637688964085394,-0.09392204992096198,0.0,0.0,6.5,-1.2246183959876055e-50,0.0,-0.0
75.06,40.87580748,-0.15735393,0.7134174249373262,-0.0027463441694526,0.2832397200154714,0.02002871738728186,3.455846608195587,-0.3053323214767911,0.0,0.0,6.5,-1.2536323889515438e-25,0.0,-0.0
75.07,41.02504493,-1.39040849,0.7160221098071066,-0.0242672060981826,0.31273678820839645,0.015191825766889107,2.9497068192951907,-0.4836891620397153,0.0,0.0,6.5,-1.1270324940865176e-15,0.0,-0.0
75.08,41.19148913,-2.53534381,0.7189271091179545,-0.0442500971545575,0.33740789306087077,0.008901540813743431,2.467110485246169,-0.6290284953142458,0.0,0.0,6.5,-5.605358509133746e-10,0.0,-0.0
75.09,41.33393521,-3.59138517,0.7214132622205138,-0.0626814959237962,0.3574428117367601,0.0014716764454630092,2.0034918675879108,-0.7429864368276621,0.0,0.0,6.499999999999998,-2.3014423010756444e-06,0.0,-0.0
75.1,41.49134014,-4.5502197,0.7241604965078849,-0.0794163154541086,0.3731103552442221,-0.006789758760495459,1.5667543507476216,-0.8261435205965982,0.0,0.0,6.499999999708958,-0.00046386409643968494,0.0,-0.0
75.11,41.66758267,-5.41384445,0.72723650893843,-0.0944894108433215,0.3846954894645049,-0.015598291086528621,1.1585134220276863,-0.8808532326028656,0.0,0.0,6.499696479979095,-0.01150074540823928,0.0,-0.0
