time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),motor_command_right (rad/s),motor_command_left (rad/s)
65.0,-14.96179851,33.31465371,-0.2611326460194817,0.5814503964012442,-0.2611326460194817,0.5814503964012442,0.0,0.0,0.0,0.0,0.0,0.0
65.01,-15.92144379,33.15718686,-0.2778816158067046,0.5787020814060002,-0.02444184976985122,0.05090134982180564,0.002150017398960179,-0.004477516586425975,0.0,0.0,0.0,0.0
65.02,-16.68994282,33.02504679,-0.2912944541785873,0.5763958021106843,-0.04771870148998804,0.09671676366964008,0.0063475736160705015,-0.012985167464676838,0.0,0.0,0.0,0.0
65.03,-17.22309332,32.93979083,-0.3005996858122413,0.5749078049017358,-0.06938772359502465,0.13760342100481787,0.012451236571546185,-0.025089351959085272,0.0,0.0,0.0,0.0
65.04,-17.52707867,32.88235384,-0.3059052310475687,0.5739053403138007,-0.08906693726403425,0.17371370941601094,0.020285960416018062,-0.04036979862697146,0.0,0.0,0.0,0.0
65.05,-17.55086177,32.89281929,-0.3063203244488998,0.5740879968740035,-0.10634506234176028,0.20528531018751756,0.029640505333645817,-0.058427047559635806,0.0,0.0,0.0,0.0
65.06,-17.27317304,33.02013284,-0.3014737418147182,0.576310037503906,-0.12083306432833742,0.23264547523892154,0.040269394365213526,-0.07889031713154589,0.0,0.0,0.0,0.0
65.07,-16.70902262,33.221411,-0.2916274595092093,0.5798230041082619,-0.13222099110148858,0.25605964702109274,0.05189987433049449,-0.10141206185794492,0.0,0.0,0.0,0.0
65.08,-15.86217461,33.51762049,-0.2768471734707474,0.5849928349844151,-0.1402562263689836,0.2758328704079353,0.06423696910800715,-0.1256714575316532,0.0,0.0,0.0,0.0
65.09,-14.76715711,33.86141921,-0.2577355127287904,0.5909932546125573,-0.14478769231196892,0.2921990922772359,0.07697242559682914,-0.15136814873242965,0.0,0.0,0.0,0.0
65.1,-13.44642208,34.22124622,-0.2346843379088643,0.5972734206746637,-0.14573958635200893,0.30535016886012756,0.08979135066052907,-0.1782191920797081,0.0,0.0,0.0,0.0
65.11,-11.94202582,34.53397066,-0.2084276699171756,0.6027314918041192,-0.1431354567035633,0.3153891277595389,0.10238096409219566,-0.20595079190728893,0.0,0.0,0.0,0.0
65.12,-10.29940754,34.74161116,-0.1797585725777296,0.6063555021896064,-0.1370944618077611,0.3223451066034277,0.11443901566767259,-0.234291772248148,0.0,0.0,0.0,0.0
65.13,-8.53331014,34.82579519,-0.1489343580368182,0.6078247906907042,-0.12777488917152605,0.32624044928574764,0.12567722424427943,-0.26297298324135515,0.0,0.0,0.0,0.0
65.14,-6.66063038,34.76936465,-0.116249930389361,0.6068398919690259,-0.11537276209999935,0.3270930213879396,0.1358245848447434,-0.29172690704595516,0.0,0.0,0.0,0.0
65.15,-4.717249,34.53485193,-0.0823315266864099,0.6027468728672183,-0.10014610782613373,0.324885339518507,0.14463279763540177,-0.3202845507269821,0.0,0.0,0.0,0.0
65.16,-2.69193373,34.16175189,-0.046983106833992,0.5962350487298957,-0.08233515964241565,0.3196859153119281,0.15187466409768394,-0.34838300865840477,0.0,0.0,0.0,0.0
65.17,-0.59614969,33.63533414,-0.0104047749252435,0.5870473257514554,-0.06219688844847525,0.31155798898394965,0.15734551419841858,-0.3757649903301127,0.0,0.0,0.0,0.0
65.18,1.52857825,32.93192604,0.026678723336873,0.5747705384212578,-0.04004769957699071,0.30054581891103793,0.1608683794915018,-0.40217715185620484,0.0,0.0,0.0,0.0
65.19,3.72022965,32.08231358,0.0649302563228162,0.5599420036282892,-0.016133759599251524,0.286759561590555,0.16228775965862458,-0.4273758877590522,0.0,0.0,0.0,0.0
65.2,5.92189166,31.0583041,0.1033565074133925,0.5420696666306541,0.009218805063054596,0.2702781896661148,0.16147662551705474,-0.45112458288205376,0.0,0.0,0.0,0.0
65.21,8.15001529,29.9021198,0.1422446008983805,0.5218904438357883,0.03572602595185351,0.25125963118884026,0.1583327470119096,-0.4732005503699555,0.0,0.0,0.0,0.0
65.22,10.33163154,28.56138534,0.1803209874758922,0.4984902131138401,0.06300712931777047,0.22978756653879367,0.15278727088911528,-0.4933884985587511,0.0,0.0,0.0,0.0
65.23,12.48056792,27.08392148,0.2178270027227802,0.4727036041776156,0.09072916660020394,0.2060309698137938,0.14480061729786572,-0.5114880269203425,0.0,0.0,0.0,0.0
65.24,14.57377742,25.48460347,0.2543604004318045,0.4447902391166719,0.11854875421441483,0.180184798366793,0.13436351063941743,-0.5273158972273094,0.0,0.0,0.0,0.0
65.25,16.59118865,23.78286358,0.2895708687620131,0.4150892750236458,0.14612030680236338,0.15247319888970304,0.12149726632033722,-0.5407085906534761,0.0,0.0,0.0,0.0
65.26,18.51897709,22.00509494,0.3232171243218982,0.384061358916944,0.17310867358717918,0.123155886340963,0.10625291959805361,-0.5515254245127035,0.0,0.0,0.0,0.0
65.27,20.34467451,20.17160332,0.355081555446064,0.3520608933402193,0.1991930944009936,0.0925136818626585,0.0887099585732889,-0.5596503983273565,0.0,0.0,0.0,0.0
65.28,22.06204694,18.3055927,0.3850553588325398,0.3194928641440385,0.22407817267169927,0.060848929800714525,0.06897405977489801,-0.5649940774045641,0.0,0.0,0.0,0.0
65.29,23.71728542,16.47622327,0.4139447202142461,0.2875643443552066,0.2475746490337706,0.028551693828752125,0.047167696092344884,-0.5675012893791692,0.0,0.0,0.0,0.0
65.3,25.21909667,14.60934332,0.4401562712702379,0.2549811424882395,0.2693802597266613,-0.004130606215773346,0.023440044484885004,-0.5671385916301366,0.0,0.0,0.0,0.0
65.31,26.60331992,12.75243414,0.4643155245653945,0.2225719633867315,0.28928752262211516,-0.03689617179463702,-0.00204139168885523,-0.5638990434106023,0.0,0.0,0.0,0.0
65.32,27.85991886,10.89976775,0.4862473134454652,0.1902368349401941,0.30710651906356223,-0.06947748127402409,-0.029092361164248844,-0.5577991895474481,0.0,0.0,0.0,0.0
65.33,28.94720505,9.01623167,0.5052240373724298,0.1573629287640868,0.32261619253690765,-0.10168536954802335,-0.057509143073218326,-0.5488721751858601,0.0,0.0,0.0,0.0
65.34,29.99457142,7.21422326,0.5235040290035909,0.1259119488609589,0.33583182950905943,-0.13317760739883497,-0.08708938200144595,-0.5371811742251931,0.0,0.0,0.0,0.0
65.35,30.98822217,5.47875577,0.540846506206002,0.0956223270991371,0.3467639809954136,-0.1636701780965897,-0.11763167395421104,-0.5228142764688462,-1.5707963267948966,0.0,2.4840100355610835e-23,0.0
65.36,31.79840376,3.70322954,0.5549868424905448,0.064633548430115,0.355240561573088,-0.1930747054845216,-0.14891948391456966,-0.5058673083377303,-1.5707963267948966,0.0,3.124033967052918e-22,0.0
65.37,32.53354216,1.97818634,0.5678174280283879,0.034525864850976,0.36129043517284076,-0.22117995236336851,-0.18073886095275127,-0.4864546008270046,-1.5707963267948966,0.0,3.3781471030450113e-21,0.0
65.38,33.12623961,0.25753518,0.5781619499990623,0.0044948368307162,0.36485522161377837,-0.24787354483418897,-0.21287074786723542,-0.46470031247366955,-1.5707963267948966,0.0,3.145939205017199e-20,0.0
65.39,33.57144309,-1.45436137,0.585932216566399,-0.0253833944203154,0.36589329872676807,-0.273056873561634,-0.245092467665695,-0.4407372097905886,-1.5707963267948966,0.0,2.529289429170547e-19,0.0
65.4,33.84469136,-3.16913348,0.5907012985532775,-0.0553118136611858,0.36434884610733087,-0.29666913799676486,-0.2771764771303751,-0.41470334340578896,-1.5707963267948966,0.0,1.755648989064857e-18,0.0
65.41,33.94944558,-4.88127834,0.592529604597636,-0.0851943787392832,0.36019647344479916,-0.3186582507277766,-0.30889305245789306,-0.3867412769330605,-1.5707963267948966,0.0,1.0542936854709008e-17,0.0
65.42,33.87654151,-6.60385818,0.5912571885380316,-0.1152590685757603,0.353419359082061,-0.3390089001326923,-0.3400110451141817,-0.3569948574297002,-1.5707963267948966,0.0,5.486636071545329e-17,0.0
65.43,33.6682895,-8.30604567,0.5876225052896354,-0.1449678447625184,0.34408774671511544,-0.35767222334748117,-0.3703055498409355,-0.3256121563432084,-1.5707963267948966,0.0,2.4922141848631464e-16,0.0
65.44,33.34925359,-9.98054444,0.582054278228039,-0.1741933616196136,0.33232346453812744,-0.37460516437344915,-0.399562439385735,-0.29274496595244315,-1.5707963267948966,0.0,9.966138433633804e-16,0.0
65.45,32.97605205,-11.58615289,0.5755406825815258,-0.2022165155699563,0.3183436853861847,-0.38971838512563894,-0.427586753333925,-0.2585528651605264,-1.5707963267948966,0.0,3.5516386619226573e-15,0.0
65.46,32.59354674,-13.08823891,0.5688647055156641,-0.2284328622671337,0.30243276398485897,-0.40289109360325176,-0.4542086019526342,-0.2232059914975391,-1.5707963267948966,0.0,1.1426532900864105e-14,0.0
65.47,32.24279642,-14.4359497,0.5627429575792404,-0.2519548529172876,0.2849282498941631,-0.4139499266708062,-0.47928784053676865,-0.18688966593407316,-1.5707963267948966,0.0,3.3605031113287936e-14,0.0
65.48,31.94459184,-15.58577924,0.5575383058137137,-0.2720231642269795,0.2661824240334479,-0.42268618982067135,-0.502715359018043,-0.14980750696950246,-1.5707963267948966,0.0,9.125458831280271e-14,0.0
65.49,31.70853666,-16.49275981,0.5534183657063257,-0.2878529614250943,0.24654106182915375,-0.4288583803990633,-0.5244125055803883,-0.1121843201111653,-1.5707963267948966,0.0,2.3045107009359643e-13,0.0
65.5,31.54158406,-17.12874714,0.5505044931415607,-0.2989530343345621,0.226337230456159,-0.43222274887031953,-0.5443299655826482,-0.07426630275572146,-1.5707963267948966,0.0,5.438292876695579e-13,0.0
65.51,31.44562879,-17.4640004,0.5488297577454205,-0.3048043075496067,0.20588203261011692,-0.43253299884294566,-0.5624458254827354,-0.03632126981373217,-1.5707963267948966,0.0,1.2026190116324404e-12,0.0
65.52,31.42910434,-17.48326551,0.5485413516858393,-0.3051405471498656,0.1854741455782874,-0.42956466219133954,-0.5787644755975162,0.001363262462302034,-1.5707963267948966,0.0,2.4966851435294463e-12,0.0
65.53,31.5054206,-17.16316993,0.5498733216956474,-0.2995538253577847,0.1654062127129097,-0.42310255687468556,-0.5933160730419798,0.038480895515429964,-1.5707963267948966,0.0,4.873097631352119e-12,0.0
65.54,31.67613919,-16.51077195,0.5528529231855097,-0.2881673325734246,0.1459448849106872,-0.4129882938392778,-0.6061542470637942,0.07471133614232585,-1.5707963267948966,0.0,8.950678880074534e-12,0.0
65.55,31.92706557,-15.55521395,0.5572324146966201,-0.2714896992796526,0.12730683164194048,-0.3991503888923623,-0.6173516945712083,0.10972802465259968,-1.5707963267948966,0.0,1.547537694995579e-11,0.0
65.56,32.24562677,-14.31271579,0.5627923565057243,-0.2498040154376813,0.10966394044957826,-0.3815774546616444,-0.6269962339922651,0.1432034060823189,-1.5707963267948966,0.0,2.519194506356855e-11,0.0
65.57,32.52921339,-12.86306913,0.5677418767393263,-0.2245029082301425,0.09300774727445113,-0.36041039356582516,-0.6351749375364422,0.1748222849693455,-1.5707963267948966,0.0,3.853511078709465e-11,0.0
65.58,32.75911762,-11.21226398,0.5717544625170886,-0.1956909230537636,0.07729419923570341,-0.3358149870706771,-0.641971002852816,0.2042839915347115,-1.5707963267948966,0.0,5.532070707110346e-11,0.0
65.59,32.86902368,-9.42785152,0.573672685131983,-0.164547050413152,0.06237411562383413,-0.30807272916111494,-0.6474545073219605,0.2313125196433305,-1.5707963267948966,0.0,7.440766975433288e-11,0.0
65.6,32.82086646,-7.52796812,0.5728321830843758,-0.1313878296791676,0.04804701129989242,-0.27749287971719766,-0.6516779010154236,0.25565894078281776,-1.5707963267948966,0.0,9.361859707327558e-11,0.0
65.61,32.59648485,-5.53310748,0.56891598520895,-0.0965709433927263,0.03409775738363885,-0.24441129189195027,-0.6546747236457328,0.27710372223361857,-1.5707963267948966,0.0,1.1003854673773226e-10,0.0
65.62,32.19179738,-3.45794661,0.5618528564158841,-0.0603525537026762,0.02032117744390937,-0.2091766236358363,-0.6564604840451604,0.29545783879835,-1.5707963267948966,0.0,1.2069295604523838e-10,0.0
65.63,31.6081902,-1.31292396,0.551666989586605,-0.0229148459303223,0.006531179625737871,-0.17214007654053007,-0.6570343421161208,0.3105629902021754,-1.5707963267948966,0.0,1.2340411569187934e-10,0.0
65.64,30.83810949,0.87699748,0.5382265456910094,0.0153064935576931,-0.0074531610413191285,-0.13367474822306177,-0.6563795676740615,0.3222935235086608,-1.5707963267948966,0.0,1.1749133666582016e-10,0.0
65.65,29.92583686,3.14326924,0.5223043846216814,0.0548603975146598,-0.02172716202752076,-0.09408447260407518,-0.6544710652728706,0.33055036155513645,-1.5707963267948966,0.0,1.0407234171607049e-10,0.0
65.66,28.86012369,5.4489529,0.5037041809233154,0.0951021688910933,-0.03639245533678824,-0.053712317042824344,-0.6512748212299284,0.33526446311995156,-1.5707963267948966,0.0,8.568729424495945e-11,0.0
65.67,27.66325354,7.7871949,0.4828148560869769,0.1359121904995106,-0.05150422865694872,-0.01288844908443803,-0.6467519841476604,0.33639570698030397,-1.5707963267948966,0.0,6.552081539415942e-11,0.0
65.68,26.33073404,10.1275281,0.4595580034649483,0.1767587104332455,-0.06711591342060005,0.028035093164495505,-0.640859019287914,0.33393483605852303,-1.5707963267948966,0.0,4.6495748953678153e-11,0.0
65.69,24.8765354,12.44519715,0.4341774492189246,0.2172096663273146,-0.08325062005653405,0.06869777524552756,-0.6335503700218432,0.32790423209899244,-1.5707963267948966,0.0,3.060433314088797e-11,0.0
65.7,23.34661854,14.7250238,0.4074753627301515,0.257000147744527,-0.09985461406764651,0.1087487780086306,-0.6247852016177501,0.3183570952534654,-1.5707963267948966,0.0,1.867406054514909e-11,0.0
65.71,21.72975902,16.92058636,0.3792558405639363,0.2953199433500426,-0.11689210183325677,0.14780101511074395,-0.614525823264596,0.30538065874005726,-1.5707963267948966,0.0,1.0562315408570238e-11,0.0
65.72,20.06033495,19.0148646,0.3501188939303921,0.3318719940909145,-0.13427407095392258,0.18548239590482893,-0.6027423537364118,0.2890949024486981,-1.5707963267948966,0.0,5.537542684423891e-12,0.0
65.73,18.35660116,20.9895962,0.3203831297174104,0.3663375623540902,-0.1518883610798966,0.22143555320861705,-0.5894147479978585,0.2696512798610949,-1.5707963267948966,0.0,2.6913319797340422e-12,0.0
65.74,16.63570528,22.82728862,0.2903478305274052,0.3984113457220327,-0.16960426636397968,0.2553205725842076,-0.574534418619199,0.24723119463492843,-1.5707963267948966,0.0,1.2129437818117878e-12,0.0
65.75,14.91269409,24.51855643,0.2602756122131996,0.4279295375395266,-0.18727839808184504,0.2868285954326859,-0.5581053423962982,0.2220432723423987,-1.5707963267948966,0.0,5.071663576866764e-13,0.0
65.76,13.22917813,26.10215854,0.2308927157013264,0.455568608400556,-0.20471624943854316,0.3157553476334845,-0.5401485380709411,0.19431416546856867,-1.5707963267948966,0.0,1.9667805772250366e-13,0.0
65.77,11.48809436,27.43963855,0.2005050713617907,0.4789120382546627,-0.2218904736484157,0.3417219978304197,-0.5206874006575819,0.1643038604133517,-1.5707963267948966,0.0,7.103903338437404e-14,0.0
65.78,9.79871112,28.67350595,0.1710197714957811,0.5004470869176846,-0.23861056752059842,0.3646241048496168,-0.49976199689565853,0.13228158094894005,-1.5707963267948966,0.0,2.3910769991388948e-14,0.0
65.79,8.11416288,29.75453837,0.1416188582991055,0.5193146619674868,-0.2547776661957712,0.3843145223273914,-0.4774210326314407,0.09852950093687382,-1.5707963267948966,0.0,7.528458637542606e-15,0.0
65.8,6.44846179,30.69994918,0.1125468899245471,0.5358151933859333,-0.2702840822399815,0.4007101470803228,-0.45372261610713505,0.06333711169824385,-1.5707963267948966,0.0,2.2271791350860515e-15,0.0
65.81,4.79639853,31.51180142,0.083712946586316,0.5499846880136245,-0.285044327917881,0.41376374610079836,-0.4287323080824797,0.02699805925000668,-1.5707963267948966,0.0,6.230547888552834e-16,0.0
65.82,3.15876234,32.20113029,0.0551308031210005,0.5620157464241765,-0.29898464625608795,0.42347494931772417,-0.402522088511412,-0.010193978539468775,-1.5707963267948966,0.0,1.6621481086732842e-16,0.0
65.83,1.54063681,32.76906216,0.0268891849119223,0.5719280274826848,-0.3120359810441594,0.4298709708893158,-0.3751699411010394,-0.04794771874269987,-1.5707963267948966,0.0,4.2726940598834965e-17,0.0
65.84,-0.05060458,33.22147795,-0.0008832165375888,0.5798241726061961,-0.3241305965279204,0.43301128645382936,-0.34675973572388763,-0.08597710842203085,-1.5707963267948966,0.0,1.0715827205183062e-17,0.0
65.85,-1.62768372,33.54394775,-0.0284084400951094,0.5854523323544437,-0.33523322528177674,0.4329532313583352,-0.3173783824135769,-0.1240011372008655,-1.5707963267948966,-3.12552785362766,2.6666564872791232e-18,1.8014542886179836e-19
65.86,-3.18676576,33.73454631,-0.0556195550018194,0.5887789047760037,-0.3453131639695459,0.42977094086516904,-0.2871154300604219,-0.1617453143454003,-1.5707963267948966,-3.043170013294262,6.717893928559495e-19,1.63309012671066e-20
65.87,-4.72558644,33.79646059,-0.0824770424655974,0.5898595128160055,-0.3543465137987108,0.4235611653658075,-0.2560624731963517,-0.1989436569152528,-1.5707963267948966,-2.9608597392580127,1.7540548251381293e-19,5.976842759411142e-19
65.88,-6.25342156,33.7327419,-0.1091427957372001,0.5887474118804478,-0.36233341898294597,0.4144403550220693,-0.22431105030139048,-0.23534042194490298,-1.5707963267948966,-2.878577720658739,4.884346828355233e-20,4.6800425186588605e-18
65.89,-7.75767836,33.57125005,-0.1353970296927139,0.585928847382811,-0.3692625137948158,0.402580077173197,-0.19195365890777594,-0.2706949494276795,-1.5707963267948966,-2.7963561760169213,1.4949062237665384e-20,1.2761158931866288e-17
65.9,-9.22484409,33.34593227,-0.1610039023536401,0.5819963102585267,-0.37511062089504316,0.3882101933194824,-0.15908480298133496,-0.30478678133201526,-1.5707963267948966,-2.7143085687386517,5.183211120713823e-21,3.052608551913238e-17
65.91,-10.63470854,33.10140388,-0.185610679012959,0.577728484738426,-0.37983373638771906,0.37162831805052465,-0.12580283242792062,-0.3374216102613277,-1.5707963267948966,-2.6326672590771465,2.0923677420179055e-21,8.079593693267658e-17
65.92,-11.97302675,32.85492704,-0.208968738216856,0.5734266523505147,-0.38337833583238823,0.3531496433184775,-0.09221079375067359,-0.3684328207541575,-1.5707963267948966,-2.5517584665904747,1.0065628193200453e-21,2.1882139999641674e-16
65.93,-13.19653785,32.63872048,-0.2303230353465535,0.5696531360141041,-0.38563827548064483,0.3331258739640801,-0.058421056010966664,-0.39768469816640317,-1.5707963267948966,-2.4720197521001617,5.837377908891841e-22,5.693215198438152e-16
