time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),motor_command_right (rad/s),motor_command_left (rad/s)
3.455,11.0802505,45.0709782,0.1933868531707479,0.7866369666845873,0.1933868531707479,0.7866369666845873,0.0,0.0,0.0,0.0,0.0,0.0
3.465,13.76167793,44.19472465,0.2401865904775377,0.7713434571547986,0.021126279060019713,0.0678456573890065,-0.001858364566594043,-0.005968015727275513,0.0,0.0,0.0,0.0
3.475,16.50516352,43.24721702,0.2880694470040569,0.7548063293235304,0.044437536453754506,0.12772811079253585,-0.005767294432462959,-0.017203558034091394,0.0,0.0,0.0,0.0
3.485,18.52081956,42.12987551,0.3232492814897674,0.7353050411048252,0.06843975715439399,0.17961368641456618,-0.011787569904574812,-0.033003073079877175,0.0,0.0,0.0,0.0
3.495,21.05071326,41.02862734,0.3674042562802291,0.716084634656763,0.09367143313406776,0.22381950361201938,-0.02002732656281752,-0.05269075400339497,0.0,0.0,0.0,0.0
3.505,23.50332483,39.87989133,0.4102104034492365,0.6960354090460404,0.1197055046956548,0.2605972081372147,-0.03055710447099631,-0.07561276045792623,0.0,0.0,0.0,0.0
3.515,25.84931997,38.67864529,0.4511557428780218,0.675069710521497,0.14610074006866067,0.29022681293307856,-0.043408582249172295,-0.10113973328758741,0.0,0.0,0.0,0.0
3.525,28.0826574,37.4254775,0.4901348343395502,0.6531978065060561,0.17244219426234259,0.31302073869494873,-0.05857686361279575,-0.12866969894926247,0.0,0.0,0.0,0.0
3.535,30.19356208,36.11495275,0.5269770712013075,0.6303248346896806,0.19833642400682194,0.32930952210215536,-0.07602233928197971,-0.1576300632215169,0.0,0.0,0.0,0.0
3.545,33.27040072,35.71365713,0.5806780360218919,0.6233209048468485,0.2250983404473947,0.3409291102280991,-0.09582091506931262,-0.18761020707999368,0.0,0.0,0.0,0.0
3.555,35.24449458,34.36120596,0.6151324736222961,0.599716178957899,0.2507442628005905,0.34673490794702483,-0.11787377477601757,-0.21809884903757593,0.0,0.0,0.0,0.0
3.565,37.11789465,32.96123369,0.6478294730508882,0.57528205340978,0.27501179694020017,0.347115301908766,-0.14205884797576446,-0.24861906031663294,0.0,0.0,0.0,0.0
3.575,38.90811938,31.53158256,0.6790747889400148,0.5503299340364225,0.29769918998395284,0.3424941789295244,-0.16823624017384964,-0.27873125231166274,0.0,0.0,0.0,0.0
3.585,41.08184296,30.60371504,0.7170134224392531,0.5341355907901082,0.3193512477190821,0.33411257912975423,-0.19631453057029163,-0.3081049942488525,0.0,0.0,0.0,0.0
3.595,42.76595459,29.1983095,0.7464067153538816,0.5096066367913393,0.339132756153343,0.3216290823949267,-0.22612884461232052,-0.33637979644836496,0.0,0.0,0.0,0.0
3.605,44.3849628,27.79455591,0.7746637392352014,0.4851065147591487,0.3569478243239348,0.30549964679129465,-0.2575059817268362,-0.36323534674661534,0.0,0.0,0.0,0.0
3.615,45.91853249,26.39699957,0.8014295796344901,0.4607145551440273,0.3726928806179867,0.2861756472850601,-0.29026368522510665,-0.3883910245523916,0.0,0.0,0.0,0.0
3.625,47.43003355,25.09135693,0.8278102497788745,0.4379267922215963,0.38638656359165485,0.2642253117863977,-0.3242213881932263,-0.41161616570227305,0.0,0.0,0.0,0.0
3.635,48.88067417,23.8457369,0.8531287048610464,0.4161866214693058,0.3980021085432496,0.24013861723020385,-0.35919621392078566,-0.43272317008820377,0.0,0.0,0.0,0.0
3.645,50.26465116,22.6621665,0.8772836601083871,0.3955294210601595,0.40752217476165536,0.21438240821824042,-0.395003810749685,-0.4515654749930917,0.0,0.0,0.0,0.0
3.655,51.57437441,21.54699704,0.9001426431108078,0.3760660422654723,0.41493542620496054,0.18740543959170985,-0.43145888149689315,-0.46803596817800913,0.0,0.0,0.0,0.0
3.665,52.79982704,20.49789145,0.9215308263315316,0.3577556955188946,0.4202323879029115,0.15962315053874981,-0.46837534910621087,-0.4820640630426519,0.0,0.0,0.0,0.0
3.675,53.92954506,19.51225367,0.941248125399643,0.3405530710258471,0.4234031573959086,0.13141696197200675,-0.5055663216805056,-0.4936127127539049,0.0,0.0,0.0,0.0
3.685,54.95157288,18.58231913,0.9590858759056228,0.3243226514748282,0.42443678786241185,0.1031263677344222,-0.5428440035848013,-0.5026747280713229,0.0,0.0,0.0,0.0
3.695,55.85904143,17.70723082,0.9749241899614216,0.3090494792196154,0.42332928441917855,0.07506056571822355,-0.5800203088229046,-0.5092701157279913,0.0,0.0,0.0,0.0
3.705,56.63225208,16.8670005,0.9884192616154072,0.2943846936605298,0.42006338464395604,0.04746937185343904,-0.6169056978462992,-0.5134408585913757,0.0,0.0,0.0,0.0
3.715,57.26328075,16.06204423,0.999432789581388,0.2803355564144574,0.41462793284961785,0.020577781236222257,-0.6533097176023102,-0.5152487315099278,0.0,0.0,0.0,0.0
3.725,57.75673716,15.29582242,1.008045228650959,0.2669624630293669,0.407036657873875,-0.00540893835883996,-0.6890431878675092,-0.5147735617427828,0.0,0.0,0.0,0.0
3.735,58.08795999,14.54288979,1.0138261575922325,0.2538213095901667,0.3972810551411933,-0.030349428067026035,-0.7239162488078098,-0.512107607367555,0.0,0.0,0.0,0.0
3.745,58.26918809,13.81315623,1.016989184634366,0.2410850563058671,0.38538896728440636,-0.05410751520997272,-0.7577415547639004,-0.507355093842679,0.0,0.0,0.0,0.0
3.755,58.29944737,13.10169614,1.017517308699649,0.2286677352388319,0.3714009511745452,-0.07657555936299218,-0.7903353874545698,-0.5006296993954734,0.0,0.0,0.0,0.0
3.765,58.18984823,12.41361132,1.0156044428492947,0.2166583895968394,0.3553873754080516,-0.09765740999440936,-0.8215202707302615,-0.4920535375252573,0.0,0.0,0.0,0.0
3.775,57.95661177,11.75958656,1.0115336986865986,0.2052435041452737,0.33745309570879056,-0.11725958922872587,-0.8511279928736988,-0.48175691440688123,0.0,0.0,0.0,0.0
3.785,57.60369022,11.13231461,1.0053740556378568,0.1942955433123684,0.3177148388005469,-0.1353193577862931,-0.8790006430504704,-0.4698756228409378,0.0,0.0,0.0,0.0
3.795,57.15526032,10.54642914,0.9975474774184678,0.184069912821274,0.2963302341273542,-0.1517688794420391,-0.9049941953463079,-0.45655138264127154,0.0,0.0,0.0,0.0
3.805,56.62766969,10.00742644,0.9883392838222966,0.1746625410291347,0.2734810194701385,-0.16655020245028185,-0.928980616149502,-0.44193096762943374,0.0,0.0,0.0,0.0
3.815,56.03733869,9.51727569,0.978036064195706,0.1661077966105151,0.24936963414921332,-0.17962024876887656,-0.950849672821908,-0.4261648949835558,0.0,0.0,0.0,0.0
3.825,55.40944966,9.08893133,0.9670773332850524,0.1586317771961672,0.2242292470668114,-0.19093301934853726,-0.9705116209204264,-0.40940767702801945,0.0,0.0,0.0,0.0
3.835,54.75237684,8.71902969,0.9556092491506883,0.1521757756696405,0.1982935316852495,-0.20046521091616304,-0.9878972395160126,-0.391815826483451,0.0,0.0,0.0,0.0
3.845,54.07743257,8.40369927,0.943829249371719,0.1466722216089439,0.1717993143617982,-0.20821518328950675,-1.0029580998971832,-0.37354595195319357,0.0,0.0,0.0,0.0
3.855,53.46274034,8.19739272,0.9331008460717928,0.1430714930430136,0.1450866714976682,-0.21411176838621593,-1.0156756075924909,-0.35476085522132,0.0,0.0,0.0,0.0
3.865,52.76760327,7.9742155,0.9209684154476264,0.1391763157385658,0.11825248985183964,-0.21829708204337195,-1.0260396730862218,-0.33561082359464245,0.0,0.0,0.0,0.0
3.875,52.09942164,7.83288957,0.909306446002784,0.1367097129416228,0.09155059700443749,-0.22076276433428374,-1.0340624679887513,-0.3162468158053435,0.0,0.0,0.0,0.0
3.885,51.46702506,7.76976008,0.8982690435034321,0.135607895486018,0.06522522973617514,-0.22152003207901996,-1.039777570076791,-0.296818756966926,0.0,0.0,0.0,0.0
3.895,50.85277772,7.78273995,0.887548404998815,0.1358344369539988,0.0394695197751368,-0.2205954820552268,-1.043235476375199,-0.27747418897473375,0.0,0.0,0.0,0.0
3.905,50.24547919,7.87104693,0.8769490461077935,0.1373756845074916,0.01443833942677426,-0.2180275478657908,-1.044500243971431,-0.25835723270360167,0.0,0.0,0.0,0.0
3.915,49.6636092,8.07675107,0.8667934989637471,0.140965899035475,-0.00970415771205196,-0.21379961020394672,-1.0436502956420468,-0.23961341536033876,0.0,0.0,0.0,0.0
3.925,49.0174958,8.31895125,0.8555166927924919,0.1451930896253979,-0.03295192026860508,-0.20803313319264127,-1.040764565841377,-0.22137757122118634,0.0,0.0,0.0,0.0
3.935,48.38024953,8.70641464,0.8443946472349392,0.1519556015118368,-0.05519434984525193,-0.20068443168645228,-1.0359316528227804,-0.20378830872876624,0.0,0.0,0.0,0.0
3.945,47.71882954,9.22525141,0.8328506906709312,0.1610110114287493,-0.07638855979514497,-0.1917472115124507,-1.029243883879098,-0.18698474732398784,0.0,0.0,0.0,0.0
3.955,47.02726447,9.89005357,0.8207806032076461,0.1726139979951194,-0.09651238209077584,-0.1812058023411925,-1.0207954976000846,-0.17110733453929866,0.0,0.0,0.0,0.0
3.965,46.30180352,10.71262602,0.8081189210355002,0.1869705955838159,-0.11555931624255025,-0.16904041467019762,-1.010681269460102,-0.15629820504005837,0.0,0.0,0.0,0.0
3.975,45.5441956,11.70190857,0.7948961683923144,0.2042368333138413,-0.13352879442299853,-0.15523209519308417,-0.998995990328644,-0.142701102611636,0.0,0.0,0.0,0.0
3.985,44.74000381,12.84555466,0.7808603738393075,0.2241972230619007,-0.15045037459979632,-0.13979540892794967,-0.9858318287678054,-0.13045843562417758,0.0,0.0,0.0,0.0
3.995,43.88219129,14.13132912,0.7658887210004779,0.2466382208269529,-0.16636955331670156,-0.12277528664123419,-0.9712769358593759,-0.11970860113090749,0.0,0.0,0.0,0.0
4.005,42.99552032,15.56622697,0.750413393192126,0.2716819127392406,-0.1812974598434385,-0.10421473555247696,-0.9554184516886164,-0.11058612599380833,0.0,0.0,0.0,0.0
4.015,42.07038879,17.12431001,0.7342668019796134,0.2988755918067231,-0.19526624628288003,-0.08420515442316322,-0.938340667071872,-0.10321738372043801,0.0,0.0,0.0,0.0
4.025,41.11933031,18.79877736,0.7176677001246007,0.3281005602813673,-0.2082932026642095,-0.06285234413660158,-0.920126323129546,-0.09771923971654066,0.0,0.0,0.0,0.0
4.035,40.14983204,20.57124842,0.7007467632207116,0.3590360161746813,-0.22038963122938954,-0.04029232447303781,-0.9008571353664332,-0.09419623664927373,0.0,0.0,0.0,0.0
4.045,39.15645408,22.41796206,0.6834090471019671,0.3912672495341706,-0.23158100855553362,-0.016695767680401017,-0.880612554743476,-0.09273729433176926,0.0,0.0,0.0,0.0
4.055,38.18176236,24.35055799,0.6663974673960404,0.4249974116233124,-0.24183231258744142,0.007791353513193489,-0.859475055736288,-0.09341765002121284,0.0,0.0,0.0,0.0
4.065,37.15301548,26.28409321,0.6484424471704214,0.4587439674155854,-0.25122948797364403,0.03290160513556599,-0.837519565474919,-0.09628855206599167,0.0,0.0,0.0,0.0
4.075,36.14166234,28.25923734,0.6307910049770383,0.4932167356855242,-0.25974825031540705,0.058451235086404235,-0.8148230935853141,-0.10138546724309432,0.0,-1.5707963267948966,0.0,0.0
4.085,35.11543884,30.23232554,0.6128800260406984,0.5276536212077727,-0.2674221130327349,0.0842042534703085,-0.7914596865725302,-0.10872408006564954,0.0,-1.5707963267948966,0.0,0.0
4.095,34.08431103,32.19484764,0.5948834507473197,0.561906093495926,-0.27427266631791347,0.109930715962792,-0.7675014678596394,-0.11830073687367869,0.0,-1.5707963267948966,0.0,0.0
4.105,33.03224849,34.12147433,0.5765214954874253,0.5955320726932262,-0.28035008829583813,0.1353817413543388,-0.7430161424688297,-0.13009053337110008,0.0,-1.5707963267948966,0.0,0.0
4.115,31.95152042,35.99670029,0.5576592323472015,0.6282609399140977,-0.2857175964199952,0.16030797056113366,-0.7180658589535162,-0.14404709523985657,0.0,-1.5707963267948966,0.0,0.0
4.125,30.87159993,37.83915409,0.5388110641369509,0.6604178250399788,-0.2903931247775127,0.1845134681717321,-0.6927111651164259,-0.16010713681168795,0.0,-1.5707963267948966,0.0,0.0
4.135,29.76694845,39.61828556,0.5195312587239227,0.6914695270173254,-0.29443698606771135,0.20777793441444417,-0.6670073119107902,-0.17818829164728428,0.0,-1.5707963267948966,0.0,0.0
4.145,28.64450091,41.3370542,0.4999408534700119,0.7214676988653506,-0.297898215644107,0.2299115068387486,-0.6410052377212039,-0.19819174596683115,0.0,-1.5707963267948966,0.0,0.0
4.155,27.51130509,42.99538609,0.4801628553411749,0.750411050436671,-0.30081501701669316,0.2507489938722654,-0.6147525164369059,-0.22000437558070002,0.0,-1.5707963267948966,0.0,0.0
4.165,26.37218237,44.59680308,0.4602814132929014,0.7783610496095481,-0.30321881482423085,0.27015447729274966,-0.5882939512267787,-0.2435012884649997,0.0,-1.5707963267948966,0.0,0.0
4.175,25.23229441,46.13450259,0.4403866152870601,0.8051989689653515,-0.30513409573727995,0.288004150970891,-0.5616721815268488,-0.2685468762412887,0.0,-1.5707963267948966,0.0,0.0
4.185,24.10065003,47.6093765,0.4206356948943702,0.8309403747466142,-0.3065729785619542,0.3041979121976815,-0.5349287633103775,-0.29499687642261985,0.0,-1.5707963267948966,0.0,0.0
4.195,22.98672456,49.02168793,0.4011940278210448,0.8555898592636635,-0.30753550432732896,0.318657121515862,-0.5081052238069225,-0.32270023877446813,0.0,-1.5707963267948966,0.0,0.0
4.205,21.8985473,50.36825716,0.3822017517887144,0.8790919259332083,-0.30801290554642996,0.33131812412890665,-0.48124383051565767,-0.35150042843668855,0.0,-1.5707963267948966,0.0,0.0
4.215,20.84054058,51.64794874,0.3637360510164887,0.9014267574142568,-0.30799394484192083,0.3421345470610811,-0.4543878068895118,-0.3812369291454622,0.0,-1.5707963267948966,0.0,0.0
4.225,19.82161818,52.84963337,0.3459525003141661,0.9224001107783666,-0.3074583934560379,0.35106100469883816,-0.42758211604962826,-0.41174532979527817,0.0,-1.5707963267948966,0.0,0.0
4.235,18.83184016,53.97346277,0.3286776150012957,0.9420146340390788,-0.30640666910176595,0.35807048741119857,-0.40087166109886824,-0.4428589237354897,0.0,-1.5707963267948966,0.0,0.0
4.245,17.89594393,55.00773125,0.3123431443307936,0.960066024364676,-0.3048052806678454,0.36313500211712124,-0.3743042391151464,-0.47440862385508054,0.0,-1.5707963267948966,0.0,0.0
4.255,16.98271677,55.9457069,0.2964043235701565,0.97643678776071,-0.3026751698178454,0.3662334343373542,-0.3479257994304434,-0.5062235626504272,0.0,-1.5707963267948966,0.0,0.0
4.265,16.11739717,56.78123712,0.2813016474681162,0.9910195410996224,-0.3000009349109537,0.36735200815967417,-0.32178360686452673,-0.5381317312996486,0.0,-1.5707963267948966,0.0,0.0
4.275,15.28873321,57.50697015,0.2668387329735016,1.003685971963597,-0.29678963421041465,0.3664819549974094,-0.2959242881450628,-0.5699604159442553,0.0,-1.5707963267948966,0.0,0.0
4.285,14.52384637,58.134776,0.2534889392103265,1.014643251109379,-0.29301042904993235,0.3636482970097647,-0.2703971323951987,-0.6015391334630368,0.0,-1.5707963267948966,0.0,0.0
4.295,13.76863918,58.63100208,0.2403080872100921,1.023304030039644,-0.28872162783140815,0.35883774478400693,-0.2452463290306875,-0.6326963027632144,0.0,-1.5707963267948966,0.0,0.0
4.305,13.03152512,58.99840355,0.2274430199003491,1.029716395367811,-0.28396741286132243,0.3520573347155154,-0.2205121927666358,-0.6632610145517988,0.0,-1.5707963267948966,0.0,0.0
4.315,12.36056356,59.27145583,0.2157325315240316,1.0344820566838884,-0.27871848722449505,0.3433806797925715,-0.19623756721851407,-0.6930688099730463,0.0,-1.5707963267948966,0.0,0.0
4.325,11.67417162,59.39800104,0.2037527322118802,1.036690687251016,-0.2730757783083873,0.33281038744277247,-0.17245649206055497,-0.7219555111306817,0.0,-1.5707963267948966,0.0,0.0
4.335,11.06021219,59.44779128,0.1930371186847126,1.0375596908743745,-0.26700076660960553,0.32046891065970745,-0.14920633909513192,-0.7497676284104533,0.0,-1.5707963267948966,0.0,6.0111676054678725e-06
4.345,10.44512893,59.37403215,0.1823018906238123,1.0362723512024676,-0.260573284724639,0.3064106748312407,-0.12651752149166146,-0.7763564454693913,0.0,-1.5707963267948966,0.0,1.9304158226700968e-05
4.355,9.86534388,59.21735601,0.1721827325474723,1.0335378367001522,-0.2538134530213725,0.29076001030928245,-0.10441868843027917,-0.8015840884339109,0.0,-1.5707963267948966,0.0,5.626451154133234e-05
4.365,9.31230494,58.97839677,0.162530382152733,1.0293672111840888,-0.24675509115541547,0.2736435668953799,-0.08293554272947422,-0.8253237189939743,0.0,-1.5707963267948966,0.0,0.00014930491461051455
4.375,8.78064192,58.6629,0.1532511119426365,1.0238607537681816,-0.23943943998744907,0.2551969068889576,-0.06209020048669629,-0.847460303847206,0.0,-1.5707963267948966,0.0,0.0003616503548080959
4.385,8.27236478,58.2812401,0.1443800023370163,1.0171995318903493,-0.2319029984657119,0.23556972236265078,-0.041901611554811896,-0.8678918356344221,0.0,-1.5707963267948966,0.0,0.0008012839628620735
4.395,7.78228525,57.83835342,0.13582650094189,1.0094697011111229,-0.224188609136421,0.21491525180843926,-0.02238501665909661,-0.8865296349981453,0.0,-1.5707963267948966,0.0,0.0016262155833929046
4.405,7.3104981,57.34125205,0.1275922618057896,1.0007936454884483,-0.21633656691222408,0.19339196385766613,-0.0035521786459882035,-0.903298798864791,0.0,-1.5707963267948966,0.0,0.0030259333039623785
4.415,6.86412256,56.79613346,0.119801538932422,0.9912795312791192,-0.20837387860707246,0.17116067956470585,0.014587451182331089,-0.9181383986825462,0.0,-1.5707963267948966,0.0,0.005165914589948271
4.425,6.42486724,56.20327918,0.1121350873415207,0.9809322721085788,-0.2003538382570969,0.14837420926031264,0.03202901364730418,-0.9310007800870964,0.0,-1.5707963267948966,0.0,0.008099766771584443
4.435,5.99803847,55.56972334,0.1046855199627831,0.9698746367053404,-0.19231749521834277,0.12518711845953034,0.04877117052994301,-0.9418517095410314,0.0,-1.5707963267948966,0.0,0.011687020610282971
4.445,5.59190373,54.90214181,0.097597131543052,0.9582231409813392,-0.18428992370156314,0.10175387115682642,0.06481471270962717,-0.9506703593582848,0.0,-1.5707963267948966,0.0,0.01556990114421003
4.455,5.21304426,54.20852325,0.0909847863891913,0.9461172133563972,-0.17628399762946015,0.07822966190802315,0.08016150246921648,-0.9574493647037132,0.0,-1.5707963267948966,0.0,0.019238151818226395
4.465,4.86988275,53.49527007,0.0849954881735759,0.9336685969650774,-0.1682985676487962,0.05476678464789663,0.094813261878036,-0.962194565742544,0.0,-1.5707963267948966,0.0,0.022154481638803236
4.475,4.57714283,52.7675197,0.079886212717551,0.9209669568759704,-0.160310126567543,0.031511825035604776,0.10876963907943132,-0.9649245066065798,0.0,-1.5707963267948966,0.0,0.0238814818991239
4.485,4.33411684,52.02136274,0.0756446090241322,0.9079440611872988,-0.15229839011474117,0.008591376330618773,0.12202850370767897,-0.9656686972028162,0.0,-1.5707963267948966,0.0,0.02416558365175646
4.495,4.19766529,51.29840765,0.0732630802071826,0.8953261145227469,-0.1441587139562761,-0.013818371836059776,0.1345786148789317,-0.9644719029403189,0.0,-1.5707963267948966,0.0,0.02297972584473744
4.505,4.14650563,50.57059794,0.0723701756959817,0.8826234387552618,-0.13582898189807696,-0.035602575379607856,0.14640334160878643,-0.9613888242739931,0.0,-1.5707963267948966,0.0,0.020515165747001744
4.515,4.21036259,49.84952346,0.073484689898296,0.8700383149271559,-0.12720889442020675,-0.056643347973322364,0.15747734282039177,-0.9564843546580474,0.0,-1.5707963267948966,0.0,0.01715194813691439
4.525,4.40636216,49.13330888,0.0769055277272891,0.8575380123553675,-0.1181832210994764,-0.07684126228095015,0.16776527624408585,-0.9498319765726124,0.0,-1.5707963267948966,0.0,0.013386975583325373
4.535,4.74905042,48.4205764,0.0828865661722195,0.8450984838934629,-0.10862792184445437,-0.09611374209390766,0.17722103566899486,-0.9415122975204989,0.0,-1.5707963267948966,0.0,0.009725507226433094
