time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
4.495,39.13887996,13.89820103,0.6831023208448265,0.2425693680775671,0.6831023208448265,0.2425693680775671,0.0,0.0,0.0,0.0,3.4450965457673104e-08,1.1342562928993411e-30,0.0,0.0
4.505,38.34850616,15.89627118,0.6693076957133274,0.2774422708808842,0.05887081842722976,0.024403205965918787,-0.00517854765909039,-0.0021466181124238882,0.0,0.0,2.4637998995627384e-61,1.857573607806919e-80,0.0,0.0
4.515,37.3859448,18.33462864,0.6525078307288529,0.31999963689845,0.11061634049182302,0.05020860899269289,-0.014908867713336866,-0.006563198032859173,0.0,0.0,1.5824814597891554e-47,1.0858732255824686e-64,0.0,0.0
4.525,36.43778988,20.81481319,0.6359594055558695,0.363287023353044,0.15547642723211433,0.07715291327801957,-0.02858521506393156,-0.013349922748463378,0.0,0.0,5.715898495535808e-40,3.168317748230573e-55,0.0,0.0
4.535,35.46173865,23.22758812,0.6189240979242291,0.4053978899911197,0.19365861572859,0.10481893070397794,-0.045620003676900354,-0.02257025567555177,0.0,0.0,5.638152917214727e-35,2.1231628697570053e-48,0.0,0.0
4.545,34.47623912,25.55281034,0.6017238863488724,0.4459806735706517,0.22543268993134344,0.13278917671733007,-0.06544926915341345,-0.03425089887709927,0.0,0.0,2.199854038998909e-31,4.681400939897422e-43,0.0,0.0
4.555,33.41863852,27.72054176,0.5832652737078049,0.4838147241485837,0.2509986879616731,0.16057271501589096,-0.08752654583211318,-0.04837530766629081,0.0,0.0,1.1026669179511873e-28,1.0958489968624808e-38,0.0,0.0
4.565,32.36835743,29.81406956,0.56493441061587,0.5203536772406171,0.2707096535005969,0.18785070084953825,-0.11133636141947045,-0.06489880017545284,0.0,0.0,1.3640700684650097e-26,5.342804722767804e-35,0.0,0.0
4.575,31.30588929,31.82737272,0.54639084337533,0.5554924462234233,0.2849035788518033,0.21432663893328388,-0.13639295647294802,-0.08375049055367315,0.0,0.0,6.1411355769805565e-25,8.120322905242364e-32,0.0,0.0
4.585,30.24704243,33.78815903,0.5279104793939264,0.5897146232609536,0.29395639549414604,0.23977853883290629,-0.16224392549507696,-0.10483980843421878,0.0,0.0,1.3008693265645025e-23,5.0445329485280416e-29,0.0,0.0
4.595,29.18418561,35.69914618,0.5093601284076498,0.6230676409917563,0.29823949193873334,0.26401576372120106,-0.18846986956375125,-0.12805922051463672,0.0,0.0,1.5464246760611931e-22,1.543234444105527e-26,0.0,0.0
4.605,28.10480713,37.56137325,0.490521420056478,0.6555696347830232,0.2981095277437056,0.2868752305774857,-0.2146828215292578,-0.15328661849165692,0.0,0.0,1.1691750816758657e-21,2.6574085128400418e-24,0.0,0.0
4.615,27.04767445,39.40616807,0.4720709741600463,0.6877673784157593,0.2939856727346641,0.3082672803200727,-0.2405317245908564,-0.18039235696934,0.0,0.0,6.2129655602235076e-21,2.86178719494858e-22,0.0,0.0
4.625,25.99609509,41.22009803,0.4537174519820316,0.7194264286183284,0.2862557567351707,0.32810092377759054,-0.2656996546195419,-0.20923903364004126,0.0,0.0,2.496961618623689e-20,2.0811179371451134e-20,0.0,0.0
4.635,24.95420725,43.00252273,0.4355330787375397,0.7505356083022006,0.27530800274070866,0.34630406811361597,-0.2899038442151808,-0.23968294389828534,0.0,0.0,8.034599239636214e-20,1.0843965778266878e-18,0.0,0.0
4.645,23.92910689,44.75232415,0.4176417022921606,0.7810754043372727,0.2615325326591207,0.3628216858767939,-0.3128958396453509,-0.2715755827097018,0.0,0.0,2.1648118490800464e-19,4.241774668523669e-17,0.0,0.0
4.655,22.92530969,46.46479865,0.4001221361298605,0.8109637227187163,0.2453142262121338,0.3776092463791735,-0.33446103287732293,-0.3047645688468225,0.0,0.0,5.056551559791257e-19,1.2921457374077886e-15,0.0,0.0
4.665,21.94477281,48.13859508,0.383008539136628,0.8401769814303431,0.22702628015244244,0.39063728891674604,-0.35441763085522593,-0.3390949714251417,0.0,0.0,1.0510253805828348e-18,3.157707526351159e-14,0.0,0.0
4.675,20.99501175,49.76086823,0.3664320815323966,0.8684909892645429,0.20703687359800121,0.40187270600431313,-0.37261621350773977,-0.3744089909386351,0.0,0.0,1.9824916203861e-18,6.334492373415236e-13,0.0,0.0
4.685,20.07892863,51.32133858,0.3504434148664543,0.8957263347517913,0.185699676793467,0.4112832726663416,-0.38893845844566705,-0.4105460402960733,0.0,0.0,3.4401071391432858e-18,1.0623156557119525e-11,0.0,0.0
4.695,19.19598531,52.83669419,0.3350331468239644,0.9221742794848584,0.1633471041242207,0.4188791830474699,-0.4032952743569328,-0.4473464747486564,0.0,0.0,5.538118267746404e-18,1.5150795524943478e-10,0.0,0.0
4.705,18.34646512,54.2681532,0.3202062224462966,0.9471579523166967,0.14029085985175008,0.42462419731099627,-0.41562498299768474,-0.48464751102792114,0.0,0.0,8.307828395072595e-18,1.8580491831397678e-09,0.0,0.0
4.715,17.53184323,55.63583723,0.3059883883069775,0.9710285417671416,0.11682316157824553,0.42853033919331596,-0.425891608059751,-0.5222874744235583,0.0,0.0,1.1628453609087655e-17,1.9819307758338978e-08,0.0,0.0
4.725,16.75147279,56.93243316,0.2923683547437407,0.9936584098135997,0.09321292260096016,0.43061150455723796,-0.43408282743752613,-0.5601059607297447,0.0,0.0,1.5170175047264504e-17,1.8560107819580947e-07,0.0,0.0
4.735,15.99649332,58.12936924,0.2791914772072789,1.014548885345514,0.06969310896046631,0.4308506259624884,-0.44020681349510044,-0.5979411189338735,0.0,0.0,1.8388044620674862e-17,1.5354106684539013e-06,0.0,0.0
4.745,15.26461952,59.22096759,0.2664178696881964,1.0336008706623514,0.04647216877725879,0.42923764400332326,-0.4442900768016269,-0.6356302721143287,0.0,0.0,2.062472197351015e-17,1.1280928834893599e-05,0.0,0.0
4.755,14.55941671,60.21450785,0.2541097587593804,1.0509414194504718,0.023743534318225405,0.42578884172720693,-0.4463761428070692,-0.6730122318685772,0.0,0.0,2.1312684721867155e-17,7.400763863939678e-05,0.0,0.0
4.765,13.87162242,61.0818726,0.2421054838224637,1.0660797901537094,0.0016657655110233621,0.4204901839517761,-0.446522482763664,-0.7099246358965068,0.0,0.0,2.01944020499991e-17,0.0004349631310773083,0.0,0.0
