time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
49.0,0.404555,-9.89569544,0.0070608167554056,-0.1727124672025889,0.0070608167554056,-0.1727124672025889,0.0,0.0,0.0,0.0,1.8016083713549932e-107,4.77636781304932e-38,0.0,0.0
49.01,0.36747515,-9.94648657,0.00641365128676,-0.1735989396518974,0.0005641305228919259,-0.015269377180121302,0.0,0.0,0.0,0.0,2.4093132738169136e-162,1.009205269641039e-90,0.0,0.0
49.02,0.35795365,-9.9687869,0.0062474697620314,-0.1739881538346787,0.0010595257803328385,-0.02910816314053774,0.049539525744065914,-1.3838785960409359,0.0,0.0,3.676807358389332e-65,6.499999433485194,0.0,0.0
49.03,0.33031438,-10.00943922,0.0057650734976837,-0.174697670667253,0.001460504771855518,-0.041561014130400364,0.04009789915227593,-1.24528509898651,0.0,0.0,9.624737701928564e-70,6.4998910117847535,0.0,0.0
49.04,0.3089552,-10.04551558,0.0053922854811575,-0.1753273219313878,0.001781841199959553,-0.05264422971870725,0.032133642810409896,-1.1083215588309088,0.0,0.0,1.5640280533499326e-74,6.4642921615401505,0.0,0.0
49.05,0.3064882,-10.06331348,0.0053492282085108,-0.1756379538863285,0.0020569930439262273,-0.06236227878858873,0.0275151843966729,-0.9718049069883415,0.0,0.0,7.112884201796687e-78,1.3624713794071024,0.0,0.0
49.06,0.27974273,-10.1067454,0.0048824316970175,-0.1763959838907913,0.002250559003438481,-0.07079726662082968,0.01935659595121546,-0.8434987832236632,0.0,0.0,1.9959640357328947e-85,0.0015604543958782648,0.0,0.0
49.07,0.27118208,-10.13186955,0.0047330201684066,-0.1768344830300562,0.002396081560127484,-0.07796659143600622,0.014552255668903193,-0.7169324815177969,0.0,0.0,1.7777132741001794e-91,5.181776579360127e-07,0.0,0.0
49.08,0.26034623,-10.15967757,0.0045438989086544,-0.1773198245375166,0.0024931164310127603,-0.08392819420739475,0.009703487088529571,-0.5961602771389719,0.0,0.0,7.134564630464202e-100,6.225101659772138e-11,0.0,0.0
49.09,0.26102681,-10.17005432,0.0045557772704776,-0.177500932990673,0.002562810044800387,-0.08871343607346067,0.006969361378759098,-0.4785241866063475,0.0,0.0,2.236562774256165e-106,1.4962317643344826e-15,0.0,0.0
49.1,0.25255985,-10.20052723,0.004408000940843,-0.1780327856028369,0.0025929376609301574,-0.09241768878874287,0.003012761612977648,-0.3704252715282937,0.0,0.0,6.017007577679033e-120,8.008805765359174e-21,0.0,0.0
49.11,0.24092295,-10.22825268,0.0042048987211176,-0.178516685991934,0.0025818369027287283,-0.09510127862504127,-0.0011100758201431364,-0.2683589836298926,0.0,0.0,1.7825756000809695e-127,3.4133838727471415e-27,0.0,0.0
49.12,0.24139052,-10.23812288,0.0042130593571012,-0.1786889534797643,0.002551763487844165,-0.09680398171069744,-0.003007341488456914,-0.1702703085656515,0.0,0.0,4.0745752460571384e-120,2.574685856621633e-35,0.0,0.0
49.13,0.23806583,-10.25815952,0.004155032569993,-0.1790386588188011,0.002498757869379724,-0.09761273644962193,-0.005300561846441407,-0.08087547389240722,0.0,0.0,1.6137660143889881e-111,9.176868025192572e-45,0.0,0.0
49.14,0.23393992,-10.27060245,0.0040830218558521,-0.1792558289158962,0.0024239802625994436,-0.09758653666529829,-0.007477760678029524,0.0026199784323643555,0.0,0.0,3.857646788149853e-105,1.9508855861877487e-50,0.0,0.0
49.15,0.23223903,-10.27862341,0.0040533357251378,-0.179395821077067,0.0023336121689921437,-0.09679056848988567,-0.00903680936073178,0.07959681754127813,0.0,0.0,2.0633479291068444e-101,5.1667470121911755e-45,0.0,0.0
49.16,0.23637765,-10.27627494,0.0041255682706267,-0.1793548325431827,0.0022386548470205115,-0.09528116311857601,-0.009495732197165109,0.15094053713099553,0.0,0.0,1.890660407143751e-100,2.4807580641420234e-37,0.0,0.0
49.17,0.24499385,-10.27165035,0.0042759493296371,-0.1792741182211279,0.002147085882553623,-0.09312769398047895,-0.009156896446684167,0.2153469138095965,0.0,0.0,3.029918133289576e-101,2.14420699497171e-31,0.0,0.0
49.18,0.26102818,-10.25502975,0.0045558011814884,-0.1789840340274709,0.002070667520406397,-0.090383549294864,-0.007641836214724145,0.274414468561549,0.0,0.0,5.5215416615185134e-105,7.103904688497047e-27,0.0,0.0
49.19,0.28380137,-10.23661357,0.0049532683281706,-0.178662611050831,0.0020189637037836728,-0.08711770276732615,-0.005170381662273432,0.3265846527538499,0.0,0.0,1.0712106902777625e-112,1.8156673535060424e-23,0.0,0.0
49.2,0.3174255,-10.20100089,0.0055401201047892,-0.1780410525293718,0.0020068134760781297,-0.08337351389230803,-0.001215022770553684,0.3744188875016207,0.0,0.0,2.1332745590845474e-131,1.0144480862656488e-20,0.0,0.0
49.21,0.36707382,-10.15545776,0.006406646756873,-0.177246174959208,0.002055378279870886,-0.07920543832508284,0.004856480379276605,0.416807556722602,0.0,0.0,8.278103923243255e-114,1.5662067161688153e-18,0.0,0.0
49.22,0.43223647,-10.09932317,0.0075439495486976,-0.176266441539451,0.0021826934334051736,-0.07466546343286626,0.012731515353431285,0.4539974892217484,0.0,0.0,2.3519887084425958e-94,9.023037738759822e-17,0.0,0.0
49.23,0.5050894,-10.04310643,0.0088154730469226,-0.1752852743317134,0.0023925718601710195,-0.06982006315088497,0.020987842676588767,0.48454002819822495,0.0,0.0,1.1258789754114928e-83,2.0068965144108055e-15,0.0,0.0
49.24,0.59598032,-9.97733042,0.0104018188610894,-0.1741372663883887,0.00270372156173163,-0.06471773668151254,0.031114970156045134,0.5102326469369823,0.0,0.0,3.4918464297923347e-75,2.3692548769875945e-14,0.0,0.0
49.25,0.69576527,-9.91231645,0.0121433947825273,-0.1730025585520959,0.0031183628632608365,-0.05942059181358275,0.041464130152928894,0.5297144867930841,0.0,0.0,5.725024694524537e-69,1.415055741630799e-13,0.0,0.0
49.26,0.80072665,-9.85357739,0.0139753164509642,-0.1719773685555694,0.003631991348557689,-0.05399528214415921,0.05136284852969547,0.542530966942462,0.0,0.0,2.5091268917843653e-64,4.3767829255935624e-13,0.0,0.0
49.27,0.92820955,-9.77790547,0.0162003127959549,-0.1706566444002636,0.004266338460490223,-0.048468006148867336,0.06343471119322094,0.5527275995289047,0.0,0.0,9.51178918021515e-60,1.0510837160418389e-12,0.0,0.0
49.28,1.05271255,-9.71085822,0.0183733000745654,-0.1694864491333558,0.005001112795107707,-0.042902669739289204,0.07347743346176307,0.556533640957924,0.0,0.0,1.4818150321718032e-56,1.41845578828922e-12,0.0,0.0
49.29,1.20208522,-9.62612209,0.0209803449785603,-0.1680075246694579,0.005859759957949685,-0.037317526391410956,0.08586471628421483,0.5585143347879359,0.0,0.0,3.5817762895773917e-53,1.6330242064026024e-12,0.0,0.0
49.3,1.34282838,-9.5473288,0.0234367765202215,-0.1666323223304792,0.0068112456384825555,-0.031765652895388165,0.095148568053306,0.5551873496023896,0.0,0.0,6.14500579617905e-51,1.175917738522114e-12,0.0,0.0
49.31,1.48713268,-9.45453024,0.0259553616800072,-0.1650126819173697,0.007845235698005507,-0.026264645264320506,0.1033990059522422,0.5501007631064845,0.0,0.0,3.990760883593518e-49,7.240157240044408e-13,0.0,0.0
49.32,1.60639855,-9.38419275,0.0280369437967627,-0.1637850611292811,0.008907734451766541,-0.020886099878121664,0.10624987537612461,0.5378545386199912,0.0,0.0,1.6046543076343278e-48,2.304173606089201e-13,0.0,0.0
49.33,1.72273851,-9.2881701,0.0300674591504012,-0.1621091497302909,0.009983203928503994,-0.015620590588292418,0.10754694767376663,0.5265509289830294,0.0,0.0,3.0617678514139026e-48,7.843023049851291e-14,0.0,0.0
49.34,1.81319833,-9.19571483,0.0316462808501626,-0.1604955008579706,0.011022115441749934,-0.010503523287615966,0.10389115132454091,0.5117067300673834,0.0,0.0,5.799171563872827e-49,1.855852382828331e-14,0.0,0.0
49.35,1.87989572,-9.0981049,0.0328103699081494,-0.1587918861968294,0.01198282138294608,-0.005552708567439413,0.09607059411963374,0.4950814720177538,0.0,0.0,1.2883953047447927e-50,3.5327485621879538e-15,0.0,0.0
49.36,1.91856348,-8.98757225,0.0334852496345203,-0.1568627275233749,0.012821388085722205,-0.0007712399999418567,0.08385667027762912,0.47814685674985075,0.0,0.0,1.7405592998112102e-53,6.180261645236558e-16,0.0,0.0
49.37,1.92818726,-8.86282532,0.0336532162820079,-0.15468548286312,0.013497137773945586,0.003841305747750907,0.06757496882235153,0.46125457476936815,0.0,0.0,5.332572528374664e-58,1.0249452537978498e-16,0.0,0.0
