time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),motor_command_right (rad/s),motor_command_left (rad/s)
1.0,-4.32827155,3.13533896,-0.0755425894678983,0.0547219880180547,-0.0755425894678983,0.0547219880180547,0.0,0.0,0.0,0.0,0.0,0.0
1.01,-4.39402016,3.26671399,-0.076690119191008,0.0570149148464611,-0.006745492560405713,0.005014905283574817,0.0005933645164332258,-0.0004411341087251644,0.0,0.0,0.0,0.0
1.02,-4.44328136,3.41885101,-0.0775498893244914,0.0596702067596335,-0.012919498346350113,0.00978227302357685,0.0017298229470360787,-0.001301627786580967,0.0,0.0,0.0,0.0
1.03,-4.47868982,3.59130248,-0.0781678835345521,0.0626800527110378,-0.01850222908786801,0.014317375847620547,0.0033573640224055625,-0.00256104994446489,0.0,0.0,0.0,0.0
1.04,-4.51211546,3.77450695,-0.0787512710071385,0.0658775739169089,-0.023498453267648742,0.01862123867535272,0.005424395930783878,-0.004199059649915338,0.0,0.0,0.0,0.0
1.05,-4.53185636,3.96820497,-0.0790958147094454,0.0692582421205028,-0.027899111504639782,0.022696163334687543,0.007878529955634327,-0.006195518449829336,0.0,0.0,0.0,0.0
1.06,-4.54726248,4.16291642,-0.0793647022284027,0.0726565980143351,-0.03171492518652392,0.026531441555713162,0.010668320482938067,-0.00852934594248545,0.0,0.0,0.0,0.0
1.07,-4.56210695,4.35217861,-0.0796237871056163,0.0759598463793702,-0.034966011766310166,0.030109216100742135,0.01374409152226855,-0.011177890921493745,0.0,0.0,0.0,0.0
1.08,-4.57149243,4.52915944,-0.0797875946334964,0.0790487445757825,-0.03766759060431334,0.03340468346684927,0.01705750488288795,-0.014116320350392238,0.0,0.0,0.0,0.0
1.09,-4.60786233,4.67779187,-0.0804223691371174,0.0816428698545225,-0.03988762237449662,0.036372723329402196,0.020566199972093267,-0.017315831307483077,0.0,0.0,0.0,0.0
1.1,-4.62397592,4.80964601,-0.0807036043369339,0.0839441587299081,-0.04161930628855655,0.03899247200589501,0.024227217648210907,-0.02074578486517946,0.0,0.0,0.0,0.0
1.11,-4.65570171,4.91055827,-0.0812573238302302,0.0857054099225367,-0.042915304527697824,0.041225848559022935,0.028002230963554045,-0.024372191851588263,0.0,0.0,0.0,0.0
1.12,-4.68988554,4.98829735,-0.0818539442146722,0.0870622128260079,-0.04380683861702904,0.043053042814800505,0.031855659120523086,-0.02815932011073345,0.0,0.0,0.0,0.0
1.13,-4.7243845,5.02621342,-0.082456064655186,0.0877239730869246,-0.04432223857884253,0.04443358024990517,0.03575441317876982,-0.032067876873674385,0.0,0.0,0.0,0.0
1.14,-4.76696351,5.04090383,-0.0831992085719256,0.0879803691098925,-0.04450218791510162,0.04535950366087054,0.03966898275244069,-0.036057869336018254,0.0,0.0,0.0,0.0
1.15,-4.82098798,5.02813658,-0.0841421134500705,0.0877575385609672,-0.04439156511490966,0.04582060154449934,0.04357380497600369,-0.040088406481458914,0.0,0.0,0.0,0.0
1.16,-4.88609948,4.95933239,-0.0852785235059828,0.0865566789062995,-0.04403300748520294,0.04576731597730592,0.04744706731631949,-0.044114238276313805,0.0,0.0,0.0,0.0
1.17,-4.94022363,4.89538291,-0.0862231681283261,0.0854405499253612,-0.04343343932897906,0.04525195232191145,0.05126756615605919,-0.04809471637792957,0.0,0.0,0.0,0.0
1.18,-4.985377,4.83908119,-0.0870112431031973,0.0844578995368253,-0.042604147791815865,0.044330115308393696,0.05501509087181606,-0.05199408396023325,0.0,0.0,0.0,0.0
1.19,-5.06866635,4.71142358,-0.0884649164925432,0.0822298539270984,-0.04162953071793668,0.04293441953531643,0.0586768548155911,-0.05577065729840306,0.0,0.0,0.0,0.0
1.2,-5.14123417,4.59284657,-0.0897314638825378,0.0801602946854282,-0.040512683552536705,0.0411306120154539,0.062240343201873584,-0.05938853753856268,0.0,0.0,0.0,0.0
1.21,-5.20718502,4.49697972,-0.0908825233595267,0.0784871025094127,-0.039263837619085286,0.039002782807656136,0.0656939415913775,-0.06281922315866838,0.0,0.0,0.0,0.0
1.22,-5.32619078,4.30864616,-0.0929595657003649,0.0752000617954104,-0.03798495148107988,0.03645336685776186,0.06903500407194009,-0.06602563145034687,0.0,0.0,0.0,0.0
1.23,-5.43428917,4.14930118,-0.0948462385219698,0.0724189672478859,-0.03667105003922664,0.03358315746875151,0.07226044639826892,-0.0689795481228115,0.0,0.0,0.0,0.0
1.24,-5.55942948,3.97352434,-0.0970303489584362,0.0693510826411346,-0.035360767053270924,0.030416891102026264,0.07537058289396613,-0.07165493538047396,0.0,0.0,0.0,0.0
1.25,-5.69493665,3.78907121,-0.0993953952349959,0.0661317682070254,-0.03407905378887905,0.026991381739851522,0.07836792236048733,-0.07402899512702077,0.0,0.0,0.0,0.0
1.26,-5.84369492,3.59335351,-0.1019917168360666,0.0627158499375949,-0.03285286130809611,0.023338295135277774,0.08125734398445214,-0.07608171605784296,0.0,0.0,0.0,0.0
1.27,-5.9996485,3.3930282,-0.104713620287339,0.0592195137030166,-0.031697030625614915,0.01949854921164446,0.08404503202881285,-0.07779668750538238,0.0,0.0,0.0,0.0
1.28,-6.16078669,3.19285651,-0.1075260122535432,0.0557258586432352,-0.030621451736957836,0.015518272084942032,0.08673804039579655,-0.07916155755535959,0.0,0.0,0.0,0.0
1.29,-6.3231528,2.99131865,-0.1103598354666985,0.0522083594188118,-0.029628435689526927,0.011438343556778054,0.08934362600890125,-0.0801675713303928,0.0,0.0,0.0,0.0
1.3,-6.44037478,2.85872097,-0.1124057449734054,0.049894093322306,-0.028648269900069006,0.007404784566931015,0.09186291514091507,-0.08081881805117654,0.0,0.0,0.0,0.0
1.31,-6.59932521,2.66831457,-0.1151799533243662,0.0465708747254367,-0.02775060076026042,0.0033558971941565242,0.09430315991848619,-0.0811139615829127,0.0,0.0,0.0,0.0
1.32,-6.75922122,2.48116623,-0.1179706651596679,0.0433045200027949,-0.02693570226295465,-0.0006706872417142655,0.09667163516072297,-0.08105497739746119,0.0,0.0,0.0,0.0
1.33,-6.89587904,2.32215472,-0.1203557940672657,0.040529245604727,-0.026166061785552742,-0.004602591036057948,0.09897231687697382,-0.08065020745514102,0.0,0.0,0.0,0.0
1.34,-6.98981365,2.21662379,-0.1219952622933425,0.0386873834135353,-0.025377219069847693,-0.008335605380993259,0.10120351417545659,-0.07991715910486501,0.0,0.0,0.0,0.0
1.35,-7.11345984,2.08496844,-0.124153295416389,0.0363895640781698,-0.024621686430925938,-0.011898381752332772,0.10336815473901688,-0.07887082107780904,0.0,0.0,0.0,0.0
1.36,-7.20374359,1.99190848,-0.1257290441149364,0.0347653613743956,-0.023850317886321856,-0.015219011033177932,0.10546484502105695,-0.0775325059375141,0.0,0.0,0.0,0.0
1.37,-7.28746815,1.91329469,-0.1271903133517199,0.0333932919014242,-0.023059547465012695,-0.01827082951788369,0.10749187973800242,-0.07592587131138887,0.0,0.0,0.0,0.0
1.38,-7.36372227,1.85172399,-0.1285211988139308,0.0323186804636665,-0.022244883071103276,-0.02102760009955129,0.1094471598609457,-0.07407688159206126,0.0,0.0,0.0,0.0
1.39,-7.43055256,1.80768507,-0.1296876074144935,0.0315500563106441,-0.021399426171281013,-0.02346691779854336,0.11132798132747314,-0.0720134704245661,0.0,0.0,0.0,0.0
1.4,-7.4844376,1.780774,-0.1306280787800623,0.0310803695339095,-0.02051173472879699,-0.025571420076837402,0.11313063606381094,-0.06976509673791467,0.0,0.0,0.0,0.0
1.41,-7.53165636,1.77543332,-0.1314522016107713,0.030987157083614,-0.01958134573733315,-0.027321044987727777,0.1148513772989469,-0.06736298145592329,0.0,0.0,0.0,0.0
1.42,-7.56351518,1.77860461,-0.1320082429155715,0.0310425065356496,-0.01859485073861306,-0.028720282260204472,0.116485282017595,-0.06483794843559118,0.0,0.0,0.0,0.0
1.43,-7.58403436,1.82072428,-0.1323663701663809,0.0317776334570031,-0.01754664044275687,-0.02972924373984993,0.11802693697053646,-0.06222432506047354,0.0,0.0,0.0,0.0
1.44,-7.59299736,1.84969885,-0.1325228040272371,0.0322833351028527,-0.016431765936350057,-0.03039451064194686,0.119470496888388,-0.059552340910040434,0.0,0.0,0.0,0.0
1.45,-7.60041105,1.88436913,-0.1326521973274593,0.032888445641441,-0.015261593577005676,-0.030732324879001596,0.12081111797293655,-0.056850792882525245,0.0,0.0,0.0,0.0
1.46,-7.59984813,1.90419014,-0.132642372520034,0.0332343875270117,-0.014037084748815196,-0.03079155806128142,0.12204404348951936,-0.05414417769030766,0.0,0.0,0.0,0.0
1.47,-7.58530094,1.96947095,-0.1323884761576208,0.0343737525998806,-0.012750351562609334,-0.030526424719159,0.12316382686233134,-0.051461011499224676,0.0,0.0,0.0,0.0
1.48,-7.56745051,2.00400828,-0.132076927381224,0.0349765427232284,-0.011411077614349736,-0.030014586834490684,0.1241658752413177,-0.04882298172053684,0.0,0.0,0.0,0.0
1.49,-7.53423162,2.048789,-0.1314971483768662,0.0357581137286421,-0.010010036307567858,-0.029265914281149136,0.1250447886218797,-0.0462509026080713,0.0,0.0,0.0,0.0
1.5,-7.49171523,2.04470171,-0.1307550973853042,0.0356867770606582,-0.008548622361626342,-0.028381908793576438,0.12579529303888257,-0.043756664620821464,0.0,0.0,0.0,0.0
1.51,-7.4189561,2.0751603,-0.1294852110059176,0.0362183797416732,-0.006996516567726899,-0.02732824766433834,0.1264094565717488,-0.04135516923647339,0.0,0.0,0.0,0.0
1.52,-7.31881057,2.0972897,-0.1277373417762629,0.0366046106331641,-0.005331185378322606,-0.02614070105024389,0.12687737436134128,-0.03905817331906269,0.0,0.0,0.0,0.0
1.53,-7.16651343,2.15937478,-0.1250792552418921,0.0376881996955281,-0.0034950684788349236,-0.02477888568246485,0.1271840956074713,-0.03688097890196911,0.0,0.0,0.0,0.0
1.54,-6.98219635,2.16619505,-0.1218623153282303,0.0378072358629031,-0.0014678797118466303,-0.023353341790015365,0.12731289691498074,-0.034829174567973964,0.0,0.0,0.0,0.0
1.55,-6.76089289,2.13358242,-0.1179998413051748,0.0372380380916685,0.0007749519045279593,-0.021941086444540802,0.12724490681540285,-0.03290157838459024,0.0,0.0,0.0,0.0
1.56,-6.41848001,2.18687336,-0.1120236091479385,0.0381681404561512,0.0033828917007337907,-0.020420082596891726,0.126948150513995,-0.031107727099856805,0.0,0.0,0.0,0.0
1.57,-5.99672612,2.21875495,-0.1046626151343445,0.0387245791724221,0.006425392895314274,-0.018844411787016922,0.12638457323985341,-0.029452408602603466,0.0,0.0,0.0,0.0
1.58,-5.45310192,2.27101255,-0.0951745829508244,0.0396366463516123,0.010027433693839655,-0.017199765542567812,0.12550517160971583,-0.02794166499316828,0.0,0.0,0.0,0.0
1.59,-4.75663119,2.34169361,-0.0830188755685559,0.040870263567412,0.014345959687908603,-0.015476633521198583,0.12424719156454685,-0.026582372558244492,0.0,0.0,0.0,0.0
1.6,-3.87839336,2.44327451,-0.0676907338194857,0.0426431847295511,0.01956269615344626,-0.013647843529578508,0.1225319545694826,-0.025383792140988518,0.0,0.0,0.0,0.0
1.61,-2.79214918,2.5867369,-0.0487321963978598,0.0451470757878313,0.02587645797210266,-0.011672628042641428,0.12026335176569547,-0.024358762137141023,0.0,0.0,0.0,0.0
1.62,-1.46493108,2.77722218,-0.0255678706607964,0.0484716711004146,0.03351040378724879,-0.009507099347733694,0.11732569711276819,-0.023523970555910396,0.0,0.0,0.0,0.0
