time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
1.0,1.34338283,2.0566024,0.0234464534982592,0.0358944832844174,0.0234464534982592,0.0358944832844174,0.0,0.0,0.0,0.0,2.0738216143198546e-81,3.6668964845727574e-72,0.0,0.0
1.01,1.29436681,1.9982717,0.0225909625630358,0.0348764205144243,0.0019870508940248136,0.003067652490246939,0.0,0.0,0.0,0.0,5.2888700349889206e-135,1.4230539752819462e-125,0.0,0.0
1.02,1.24703486,1.94019987,0.0217648641941465,0.0338628758782659,0.0037108177567556303,0.0057518690546065915,0.17237668627308153,0.268421656435965,0.0,0.0,4.383996312002063e-38,1.8145765688461633e-28,0.0,0.0
1.03,1.20438355,1.88626199,0.0210204584043577,0.0329214822807203,0.005188029075980314,0.008071519515039559,0.14772113192246827,0.2319650460432965,0.0,0.0,1.9880550036431724e-41,1.250773493419553e-31,0.0,0.0
1.04,1.16664668,1.83249648,0.0203618257734606,0.0319830971072064,0.006436225085772463,0.010040576337925256,0.12481960097921478,0.19690568228856956,0.0,0.0,4.5277541750920664e-45,3.5811301108848896e-35,0.0,0.0
1.05,1.1315567,1.78408548,0.0197493900880017,0.0311381657630234,0.007469709125137819,0.011682474229002255,0.1033484039365355,0.16418978910769969,0.0,0.0,3.843021780441931e-49,4.3156766112406094e-39,0.0,0.0
1.06,1.09931978,1.73915886,0.0191867496932997,0.0303540483222311,0.008303518536520038,0.013018267765868447,0.0833809411382218,0.1335793536866191,0.0,0.0,9.405840795101642e-54,1.5941007840178301e-43,0.0,0.0
1.07,1.06892365,1.70137394,0.0186562371449354,0.0296945770606284,0.008951372235502351,0.014075162266134872,0.06478536989823128,0.10568945002664237,0.0,0.0,3.909156793436926e-59,1.6046059263054596e-48,0.0,0.0
1.08,1.038057,1.6704681,0.0181175124733747,0.0291551683945338,0.00942368569427951,0.014879741976151465,0.047231345877715845,0.08045797100165931,0.0,0.0,8.877044699387737e-66,2.8608985029312344e-54,0.0,0.0
1.09,1.00736777,1.64482694,0.0175818843649729,0.0287076457285032,0.009732323935010402,0.015455741840452723,0.03086382407308915,0.057599986430125746,0.0,0.0,2.063603770196625e-74,3.8806650761865326e-61,0.0,0.0
1.1,0.97607814,1.63323914,0.0170357772997421,0.0285054004654406,0.009888193049960841,0.015840083416228078,0.01558691149504391,0.0384341575775354,0.0,0.0,1.3277442537939223e-86,5.650531729937654e-69,0.0,0.0
1.11,0.93617614,1.62130399,0.0163393560216113,0.0282970928012212,0.009890134593822774,0.016045825327381382,0.00019415438619330134,0.020574191115330428,0.0,0.0,3.777520798198227e-100,4.343675820403761e-79,0.0,0.0
1.12,0.90347564,1.63709887,0.0157686246295629,0.0285727654621786,0.009762574797425188,0.016129373246502907,-0.012755979639758596,0.008354791912152514,0.0,0.0,1.2716539775754938e-89,5.948676712409869e-87,0.0,0.0
1.13,0.86346511,1.65270521,0.015070309145595,0.0288451474793643,0.009506527006013135,0.016100258045948872,-0.025604779141205822,-0.00291152005540355,0.0,0.0,4.2763679299235725e-78,3.19102580401638e-89,0.0,0.0
1.14,0.80717466,1.66526254,0.0140878554556657,0.0290643142331237,0.009110153770278108,0.01596365669712136,-0.039637323573502685,-0.013660134882751198,0.0,0.0,1.892510407978019e-69,8.602940156351403e-84,0.0,0.0
1.15,0.75694462,1.69754815,0.0132111758742573,0.0296278044286385,0.008598059394490922,0.015760094080517595,-0.0512094375787185,-0.020356261660376528,0.0,0.0,3.821659808753085e-64,2.2222201139369062e-79,0.0,0.0
1.16,0.71324817,1.74219911,0.0124485289503242,0.0304071106948148,0.00799432007658779,0.015515742824841557,-0.06037393179031328,-0.02443512556760377,0.0,0.0,1.1068845498307674e-60,7.791103642104843e-77,0.0,0.0
1.17,0.64870488,1.78194871,0.0113220360297547,0.0311008720911656,0.007279582575272489,0.015228277507305663,-0.07147375013152994,-0.02874653175358938,0.0,0.0,4.288338898336707e-57,2.6776822144301545e-74,0.0,0.0
