Time,raw_angle_left_rad,raw_angle_right_rad,motor_command_left,motor_command_right,vel_L,vel_R,angle_L,angle_R,gait_phase_left,gait_phase_right,amplitude_left,amplitude_right
0,0.6170487,-0.1711547,-0,0,5.42784421117825,-1.50555570443825,0.0542784421117825,-0.0150555570443825,0,0,-6.5,6.49999999154748
0.01,0.6166614,-0.133454,-0,0,4.90455868170147,-1.02972063998941,0.103324028928797,-0.0253527634442766,0,0,-6.5,5.2942576842452
0.02,0.6136646,-0.09364498,-0,0,4.36555410159376,-0.569025703887866,0.146979569944735,-0.0310430204831552,0,0,-6.5,3.99736157744967e-12
0.03,0.6084005,-0.05211675,-0,0,3.8194123780867,-0.129183353185566,0.185173693725602,-0.0323348540150109,0,0,-6.5,1.07896765278213e-43
0.04,0.6002052,-0.01015389,-0,0,3.26517723488775,0.276878359916904,0.217825466074479,-0.0295660704158419,0,0,-6.5,1.12322608545128e-27
0.05,0.5902085,0.03339363,-0,0,2.71782838756974,0.659046245967629,0.245003749950177,-0.0229756079561656,0,0,-6.5,5.91419165219473e-09
0.06,0.5777045,0.07727409,-0,0,2.174836480457,1.00539636123886,0.266752114754747,-0.0129216443437769,0,0,-6.5,3.69124399495802
0.07,0.5630597,0.1215631,-0,0,1.64330073170157,1.31700904076194,0.283185122071762,0.000248446063842481,0,0,-6.49999999994879,6.49999318486123
0.08,0.54549,0.1651004,-0,0,1.11949971280332,1.58426963233406,0.294380119199796,0.0160911423871831,0,0,-6.49567987016473,6.49999999933879
0.09,0.5256132,0.2081484,-0,0,0.612303698315419,1.81125360786341,0.30050315618295,0.0342036784658171,0,0,-3.19392934801011e-08,6.49999999999919
0.1,0.5034797,0.250207,-0,0,0.124644321909035,1.99529171427617,0.30174959940204,0.0541565956085789,0,0,-3.20424617362664e-24,6.49999999999999
0.11,0.4797605,0.291472,-0,0,-0.335492336930827,2.1404092916808,0.298394676032732,0.0755606885253868,0,0,-2.65998902619115e-17,6.5
0.12,0.4543697,0.3311206,-0,0,-0.76769335805507,2.24161942513235,0.290717742452181,0.0979768827767104,0,0,-0.000336738111165732,6.5
0.13,0.427882,0.3691596,-0,0,-1.16598737254154,2.30201271517836,0.279057868726766,0.120997009928494,0,0,-6.49925282286372,6.5
0.14,0.4005454,0.4049568,-0,0,-1.5280606968298,2.31910415258781,0.263777261758468,0.144188051454372,0,0,-6.49999999806323,6.5
0.15,0.3726467,0.4388813,-0,0,-1.85174110680546,2.29977559465778,0.245259850690413,0.16718580740095,0,0,-6.49999999999982,6.5
0.16,0.3443402,0.4703243,-0,0,-2.1365079401407,2.24198616772456,0.223894771289006,0.189605669078195,0,0,-6.5,6.5
0.17,0.3158458,0.4987616,-0,0,-2.38160758329312,2.14492544892655,0.200078695456075,0.211054923567461,0,0,-6.5,6.5
0.18,0.2871736,0.5241268,-0,0,-2.5885064285218,2.01219180770747,0.174193631170857,0.231176841644536,0,0,-6.5,6.5
0.19,0.2583815,0.5464152,-0,0,-2.7584116545844,1.84789513194043,0.146609514625013,0.24965579296394,0,0,-6.5,6.49999999999981
0.2,0.2294035,0.5654668,-0,0,-2.89380473705258,1.65467306426785,0.117671467254487,0.266202523606618,0,0,-6.5,6.4999999999602
0.21,0.2001995,0.5813594,-0,0,-2.9969827775903,1.4372825062185,0.0877016394785843,0.280575348668803,0,0,-6.5,6.49999996613553
0.22,0.1707385,0.5942054,-0,0,-3.07021486334532,1.20053257412154,0.0569994908451311,0.292580674410019,0,0,-6.5,6.49983489278077
0.23,0.1410402,0.6041589,-0,0,-3.11535482740831,0.949313104922119,0.025845942571048,0.30207380545924,0,0,-6.5,2.94279001389458
0.24,0.1110731,0.6113302,-0,0,-3.13476288256143,0.687815396401895,-0.00550168625456632,0.308951959423259,0,0,-6.5,4.80799620459403e-06
0.25,0.08114857,0.6162059,-0,0,-3.12777641937299,0.423247818316543,-0.0367794504482962,0.313184437606424,0,0,-6.5,7.64985079134262e-14
0.26,0.05105473,0.6186056,-0,0,-3.09859550819145,0.156349417970123,-0.0677654055302107,0.314747931786125,0,0,-6.5,1.27523305601028e-22
0.27,0.02096912,0.6187815,-0,0,-3.04780092595138,-0.108385843355645,-0.0982434147897245,0.313664073352569,0,0,-6.5,7.25796376459882e-24
0.28,-0.008955176,0.6169851,-0,0,-2.97630541355608,-0.36687935842895,-0.128006468925285,0.30999527976828,0,0,-6.5,7.74439167248501e-16
0.29,-0.03854291,0.6135799,-0,0,-2.88490714075751,-0.614474141153512,-0.15685554033286,0.303850538356744,0,0,-6.5,4.10329855480162e-08
0.3,-0.06769738,0.6087623,-0,0,-2.77517903851389,-0.848474703819782,-0.184607330717999,0.295365791318547,0,0,-6.5,0.0305301300199709
0.31,-0.0963203,0.6028795,-0,0,-2.64868460590769,-1.06520136453051,-0.211094176777076,0.284713777673242,0,0,-6.5,6.45115331409692
0.32,-0.1243005,0.5963241,-0,0,-2.50686646930743,-1.2610342564365,-0.23616284147015,0.272103435108877,0,0,-6.5,6.49998083701756
0.33,-0.1514428,0.5895302,-0,0,-2.35042339906938,-1.43246580683307,-0.259667075460844,0.257778777040546,0,0,-6.5,6.49999995400907
0.34,-0.1775037,0.5829443,-0,0,-2.17967920805862,-1.57637971015495,-0.28146386754143,0.242014979938996,0,0,-6.5,6.49999999952474
