Time,raw_angle_left_rad,raw_angle_right_rad,motor_command_left,motor_command_right,vel_L,vel_R,angle_L,angle_R,gait_phase_left,gait_phase_right,amplitude_left,amplitude_right
0,-0.0252835,0.771607,-0,0,-0.222405319626276,6.78741003525599,-0.00222405319626276,0.0678741003525599,0,0,-1.48339761462871e-32,6.5
0.01,-0.04692324,0.7782297,-0,0,-0.391456453551642,6.1955634889858,-0.00613861773177918,0.129829735242418,0,0,-2.81679870528442e-20,6.5
0.02,-0.05744135,0.7960147,-0,0,-0.444728493993813,5.70495081341396,-0.0105859026717173,0.186879243376557,0,0,-1.67421425581274e-17,6.5
0.03,-0.06756172,0.8091871,-0,0,-0.486305267083448,5.17169535018829,-0.0154489553425518,0.23859619687844,0,0,-1.4767732798426e-15,6.5
0.04,-0.07773957,0.8206081,-0,0,-0.52088603652665,4.62884320314091,-0.0206578157078183,0.284884628909849,0,0,-4.64635680825148e-14,6.5
0.05,-0.08996698,0.8212583,-0,0,-0.566330115370195,4.00212919002744,-0.0263211168615202,0.324905920810124,0,0,-3.08904067899594e-12,6.5
0.06,-0.0988673,0.8290034,-0,0,-0.574021853037572,3.46096894334075,-0.032061335391896,0.359515610243531,0,0,-6.21088026515013e-12,6.5
0.07,-0.08681215,0.8596175,-0,0,-0.392143633464275,3.14087811705419,-0.0359827717265387,0.390924391414073,0,0,-3.76881907559265e-20,6.5
0.08,-0.09362502,0.864785,-0,0,-0.389089025943393,2.59999469979822,-0.0398736619859726,0.416924338412055,0,0,-2.68406159178889e-20,6.5
0.09,-0.09961751,0.8681599,-0,0,-0.375969744016348,2.06995856026955,-0.0436333594261361,0.437623924014751,0,0,-5.1977889342073e-21,6.5
0.1,-0.1049363,0.8698724,-0,0,-0.355057084623467,1.55506914268844,-0.0471839302723708,0.453174615441635,0,0,-3.2952670212434e-22,6.499999999781
0.11,-0.1090821,0.8706069,-0,0,-0.322801302058051,1.06400567528248,-0.0504119432929513,0.46381467219446,0,0,-3.32124789673268e-24,6.49622774995825
0.12,-0.1130098,0.8693957,-0,0,-0.288845596544844,0.589977112401165,-0.0533003992583997,0.469714443318472,0,0,-1.62087497139265e-26,4.84264397904194e-06
0.13,-0.1167187,0.8667021,-0,0,-0.253595430672056,0.13923923386568,-0.0558363535651203,0.471106835657129,0,0,-3.41959908502201e-29,2.38869585137327e-15
0.14,-0.1194146,0.8640754,-0,0,-0.210448254596123,-0.273137144048498,-0.0579408361110815,0.468375464216644,0,0,-5.80076496774381e-33,3.31771139213414e-13
0.15,-0.1218939,0.8610662,-0,0,-0.167438617522055,-0.651268605374852,-0.0596152222863021,0.461862778162895,0,0,-2.00234538528431e-37,8.40171292314372e-05
0.16,-0.1247815,0.8573074,-0,0,-0.130382490905863,-0.99845173308556,-0.0609190471953607,0.451878260832039,0,0,-5.22150277760125e-42,6.43408125346406
0.17,-0.1274594,0.8539096,-0,0,-0.0936069551681227,-1.30494664565075,-0.0618551167470419,0.438828794375532,0,0,-2.05166088507031e-47,6.49999925857369
0.18,-0.1299815,0.8510576,-0,0,-0.0578464169420103,-1.57031892022052,-0.062433580916462,0.423125605173327,0,0,-2.0540649544251e-53,6.49999999982113
0.19,-0.132478,0.8487385,-0,0,-0.0244331225552781,-1.7962317680628,-0.0626779121420148,0.405163287492699,0,0,-1.60167038257845e-58,6.49999999999964
0.2,-0.1347132,0.8472813,-0,0,0.00865368027983671,-1.98150042710706,-0.0625913753392165,0.385348283221628,0,0,-6.98581660409281e-60,6.5
0.21,-0.136768,0.8465255,-0,0,0.04047405555447,-2.12966187176034,-0.0621866347836718,0.364051664504025,0,0,-2.15025912192357e-56,6.5
0.22,-0.1385744,0.8462849,-0,0,0.0714906221208604,-2.24445562955171,-0.0614717285624632,0.341607108208508,0,0,-3.42822696593141e-51,6.5
0.23,-0.1401568,0.8463878,-0,0,0.101318229173,-2.32942456549663,-0.0604585462707332,0.318312862553541,0,0,-2.537332215183e-46,6.5
0.24,-0.1412833,0.8464929,-0,0,0.131869414015214,-2.38951881041838,-0.059139852130581,0.294417674449357,0,0,-6.45429087358737e-42,6.5
