Time,raw_angle_left_rad,raw_angle_right_rad,motor_command_left,motor_command_right,vel_L,vel_R,angle_L,angle_R,gait_phase_left,gait_phase_right,amplitude_left,amplitude_right
0,-0.1727125,0.007060817,-0,0,-1.51925814886406,0.0621101900827214,-0.0151925814886406,0.000621101900827214,0,0,-6.4999999946266,2.96580065615884e-60
0.01,-0.1735989,0.006413651,-0,0,-1.38154177848667,0.0504685183170307,-0.0290079992735073,0.00112578708399752,0,0,-6.49999938350923,9.31841950326061e-65
0.02,-0.1739881,0.00624747,-0,0,-1.24064308522402,0.0436823232191478,-0.0414144301257475,0.001562610316189,0,0,-6.49986863799132,6.95159492843973e-68
0.03,-0.1746977,0.005765073,-0,0,-1.10512912113819,0.0343652509565254,-0.0524657213371294,0.00190626282575425,0,0,-6.45878490335853,4.48999728893702e-73
0.04,-0.1753273,0.005392286,-0,0,-0.972058773307589,0.0265584056325273,-0.0621863090702053,0.00217184688207953,0,0,-1.37590408234473,1.24560023968006e-78
0.05,-0.175638,0.005349228,-0,0,-0.840147963982502,0.0221264173652954,-0.0705877887100303,0.00239311105573248,0,0,-0.00127935326459352,1.53016514284666e-82
0.06,-0.176396,0.004882432,-0,0,-0.717062046625573,0.0141793012250424,-0.077758409176286,0.0025349040679829,0,0,-5.22011661409608e-07,5.4604888297267e-92
0.07,-0.1768345,0.00473302,-0,0,-0.596236287850984,0.00960753667870273,-0.0837207720547958,0.00263097943476993,0,0,-6.24913132436438e-11,5.3535210583384e-100
0.08,-0.1773198,0.004543899,-0,0,-0.481634654092467,0.00500899228660934,-0.0885371185957205,0.00268106935763602,0,0,-2.03999947434592e-15,3.43261222984691e-112
0.09,-0.1775009,0.004555777,-0,0,-0.370513375575786,0.0025393552897961,-0.0922422523514784,0.00270646291053399,0,0,-8.05409941388442e-21,1.94463161333925e-121
0.1,-0.1780328,0.004408001,-0,0,-0.269192853919138,-0.00114175479562029,-0.0949341808906698,0.00269504536257778,0,0,-3.87996599953006e-27,1.35979122266751e-126
0.11,-0.1785167,0.004204899,-0,0,-0.174093144088166,-0.00498135143752815,-0.0966751123315514,0.0026452318482025,0,0,-5.89149289044452e-35,2.38443339809651e-112
0.12,-0.178689,0.004213059,-0,0,-0.0830885952530078,-0.00659038344018154,-0.0975059982840815,0.00257932801380069,0,0,-1.55374014215433e-44,2.02227830028555e-107
0.13,-0.1790387,0.004155033,-0,0,-0.00082998356360342,-0.00859294760589943,-0.0975142981197175,0.00249339853774169,0,0,-1.84975767391846e-50,2.49879911603841e-102
0.14,-0.1792558,0.004083022,-0,0,0.0755367579675941,-0.0104795895920588,-0.0967589305400416,0.0023886026418211,0,0,-1.83810474256053e-45,2.39895158064564e-98
0.15,-0.1793958,0.004053336,-0,0,0.145447055104537,-0.0117503986827278,-0.0953044599889962,0.00227109865499383,0,0,-6.70908138243674e-38,5.17302804925677e-96
0.16,-0.1793548,0.004125568,-0,0,0.209835891243678,-0.0119253247935796,-0.0932061010765595,0.00215184540705803,0,0,-7.27754760027192e-32,9.64504963718258e-96
0.17,-0.1792741,0.004275949,-0,0,0.267443170426169,-0.0113084395014629,-0.0905316693722978,0.0020387610120434,0,0,-2.25084292360995e-27,6.76602155342252e-97
0.18,-0.178984,0.004555801,-0,0,0.319906378869398,-0.00952276852013414,-0.0873326055836038,0.00194353332684206,0,0,-6.99004894780886e-24,1.56373335849081e-100
0.19,-0.1786626,0.004953268,-0,0,0.365701275014834,-0.00678942884438224,-0.0836755928334554,0.00187563903839824,0,0,-3.33639138672054e-21,1.59624471494104e-107
0.2,-0.1780411,0.00554012,-0,0,0.407418676406714,-0.00258197133328392,-0.0796014060693883,0.0018498193250654,0,0,-5.26873471030189e-19,8.09988338457704e-125
0.21,-0.1772462,0.006406647,-0,0,0.443974089227636,0.00373105984982897,-0.0751616651771119,0.00188712992356369,0,0,-3.07320730271162e-17,7.54627860101732e-119
0.22,-0.1762664,0.007543949,-0,0,0.475634580871372,0.0118364569685448,-0.0704053193683982,0.00200549449324914,0,0,-8.16417571320783e-16,6.04366061036385e-96
0.23,-0.1752853,0.008815473,-0,0,0.50096822722766,0.0203114229610658,-0.0653956370961216,0.00220860872285979,0,0,-9.70234061888769e-15,2.12595005296357e-84
0.24,-0.1741373,0.01040182,-0,0,0.521784725496452,0.0306450701042361,-0.0601777898411571,0.00251505942390215,0,0,-6.77555704690936e-14,1.59893129479044e-75
0.25,-0.1730026,0.01214339,-0,0,0.536731976106767,0.0411883688786552,-0.0548104700800894,0.00292694311268871,0,0,-2.59074101006244e-13,4.03955221248592e-69
0.26,-0.1719774,0.01397532,-0,0,0.545363102903059,0.0512685448002051,-0.0493568390510588,0.00343962856069076,0,0,-5.44212567988674e-13,2.26059925742552e-64
0.27,-0.1706567,0.01620031,-0,0,0.551724968086439,0.0635091692428227,-0.0438395893701944,0.00407472025311898,0,0,-9.2764217314629e-13,9.98474517586214e-60
0.28,-0.1694864,0.0183733,-0,0,0.55204487341111,0.073707918195179,-0.0383191406360834,0.00481179943507077,0,0,-9.20067063829101e-13,1.71709185611302e-56
0.29,-0.1680075,0.02098035,-0,0,0.550883752530681,0.0862386289951795,-0.0328103031107765,0.00567418572502257,0,0,-8.02339079938497e-13,4.41476222769405e-53
0.3,-0.1666323,0.02343678,-0,0,0.544753794347772,0.0956534062388271,-0.0273627651672988,0.00663071978741084,0,0,-4.46977143081281e-13,7.94297652787634e-51
0.31,-0.1650127,0.02595536,-0,0,0.537194593736575,0.104022210376113,-0.0219908192299331,0.00767094189117197,0,0,-2.17607796767922e-13,5.34688008953832e-49
0.32,-0.1637851,0.02803694,-0,0,0.522796789432034,0.106978756734237,-0.0167628513356127,0.00874072945851434,0,0,-5.50447027202749e-14,2.2388803381432e-48
0.33,-0.1621092,0.03006746,-0,0,0.509649647212122,0.108368702524608,-0.0116663548634915,0.00982441648376042,0,0,-1.52120401531445e-14,4.43584424946502e-48
0.34,-0.1604955,0.03164628,-0,0,0.493258047346339,0.104793015782598,-0.00673377439002813,0.0108723466415864,0,0,-2.94201978338464e-15,8.82625808763067e-49
0.35,-0.1587919,0.03281037,-0,0,0.47536710789535,0.0970396504431261,-0.00198010331107463,0.0118427431460177,0,0,-4.61910836965781e-16,2.09358093335038e-50
