Time,raw_angle_left_rad,raw_angle_right_rad,motor_command_left,motor_command_right,vel_L,vel_R,angle_L,angle_R,gait_phase_left,gait_phase_right,amplitude_left,amplitude_right
0,0.2199129,0.2233718,-0,0,1.93445465421707,1.96488140282928,0.0193445465421707,0.0196488140282928,0,0,-6.49999999999997,6.49999999999999
0.01,0.2286905,0.2248378,-0,0,1.82638460267168,1.78958051851258,0.0376083925688875,0.0375446192134186,0,0,-6.49999999999946,6.49999999999852
0.02,0.238133,0.2264054,-0,0,1.719237573227,1.6164465957819,0.0548007683011575,0.0537090851712376,0,0,-6.49999999998916,6.49999999976403
0.03,0.2477854,0.2278377,-0,0,1.60975159178046,1.44454854778627,0.0708982842189621,0.0681545706491003,0,0,-6.4999999997156,6.499999936589
0.04,0.2571242,0.2285616,-0,0,1.49436863745879,1.27007020160698,0.0858419705935499,0.0808552726651701,0,0,-6.49999998866926,6.49996218970272
0.05,0.2677237,0.2304955,-0,0,1.38834318309396,1.11147220966807,0.0997254024244895,0.0919699947618508,0,0,-6.49999957125817,6.47232778265718
0.06,0.2777099,0.2314503,-0,0,1.27518292198118,0.949332540860576,0.112477231644301,0.101463320170457,0,0,-6.49997180690187,0.583822173652897
0.07,0.2872777,0.2316663,-0,0,1.15810062741107,0.787338244636821,0.124058237918412,0.109336702616825,0,0,-6.49682673799132,6.73538071588734e-05
0.08,0.2977259,0.2327144,-0,0,1.04976686643574,0.640555199014576,0.13455590658277,0.115742254606971,0,0,-6.13977041299802,3.08716817251541e-09
0.09,0.3077238,0.2330046,-0,0,0.938540837789208,0.494803083571844,0.143941314960662,0.120690285442689,0,0,-0.453509212359248,1.45212875666981e-14
0.1,0.3174665,0.2328939,-0,0,0.827252486436958,0.354266482017124,0.152213839825031,0.12423295026286,0,0,-0.00113825557028218,3.45668323049618e-21
0.11,0.3269929,0.2325326,-0,0,0.717107097727899,0.220903226344872,0.15938491080231,0.126441982526309,0,0,-1.3050890074879e-06,1.25866669671921e-29
0.12,0.3361082,0.2318456,-0,0,0.607142677243198,0.0944631455608373,0.165456337574742,0.127386613981917,0,0,-5.69166062634957e-10,6.70868415583979e-40
0.13,0.3446915,0.2308727,-0,0,0.497130600983834,-0.0243265645723429,0.17042764358458,0.127143348336194,0,0,-6.96454256459797e-14,2.6179295626084e-44
0.14,0.3526307,0.2295031,-0,0,0.386942439396712,-0.136183609209478,0.174297067978548,0.125781512244099,0,0,-1.58851913647252e-18,1.64604851667088e-36
0.15,0.3597448,0.2279824,-0,0,0.275858080274599,-0.238684845801627,0.177055648781294,0.123394663786083,0,0,-3.91478923913461e-24,1.88732561110111e-28
0.16,0.3659535,0.2262482,-0,0,0.164116732360782,-0.33239912059879,0.178696816104901,0.120070672580095,0,0,-1.14731853019713e-30,1.68852773662198e-22
0.17,0.3712593,0.2244613,-0,0,0.0526687968638555,-0.415951465332183,0.17922350407354,0.115911157926773,0,0,-2.40998388033989e-36,3.77600300877385e-18
0.18,0.3755704,0.2224875,-0,0,-0.0584544298157716,-0.490758776474978,0.178638959775382,0.111003570162023,0,0,-3.28197291718045e-36,7.90763354613642e-15
0.19,0.3789726,0.2205397,-0,0,-0.167665671833248,-0.555133007308847,0.17696230305705,0.105452240088935,0,0,-1.45407850838922e-30,2.6160288947588e-12
0.2,0.381476,0.2187373,-0,0,-0.27419654839608,-0.608437816524928,0.174220337573089,0.0993678619236855,0,0,-2.50021742037894e-24,2.03947693826796e-10
0.21,0.3832568,0.2170312,-0,0,-0.375906706016014,-0.651662230781438,0.170461270512929,0.0928512396158711,0,0,-3.95629558484361e-19,5.39827629653596e-09
0.22,0.3843396,0.2155345,-0,0,-0.472211191266396,-0.684359027035097,0.165739158600265,0.0860076493455202,0,0,-6.04037658608045e-15,5.58804499422831e-08
0.23,0.3849595,0.2143862,-0,0,-0.560771243480144,-0.705975151026028,0.160131446165463,0.0789478978352599,0,0,-1.26848584041767e-11,2.43960351829745e-07
0.24,0.3852834,0.2136702,-0,0,-0.640111820863643,-0.716577403858317,0.153730327956827,0.0717821237966767,0,0,-5.42673616585075e-09,4.83589253185626e-07
0.25,0.3854386,0.2133347,-0,0,-0.709306956494189,-0.717503670092125,0.146637258391885,0.0646070870957555,0,0,-6.44184793400468e-07,4.91808306953468e-07
0.26,0.3855172,0.2132466,-0,0,-0.767898308384538,-0.710765331468808,0.13895827530804,0.0574994337810674,0,0,-2.67878369845005e-05,2.95154468804916e-07
0.27,0.3857207,0.213607,-0,0,-0.814592856905024,-0.695319648238467,0.130812346738989,0.0505462372986827,0,0,-0.000432866318685093,9.53594473850923e-08
0.28,0.386114,0.2142539,-0,0,-0.849499599956625,-0.673473434152536,0.122317350739423,0.0438115029571574,0,0,-0.00311646047908898,1.88272606093322e-08
0.29,0.3867947,0.2151694,-0,0,-0.87252555534578,-0.64611516976277,0.113592095185965,0.0373503512595297,0,0,-0.010803794121264,2.31543168456643e-09
0.3,0.3877416,0.216152,-0,0,-0.884717554179895,-0.615709712840347,0.104744919644166,0.0311932541311262,0,0,-0.0200878189784883,2.039600498924e-10
0.31,0.3890328,0.2172417,-0,0,-0.886246884456993,-0.582407407929665,0.0958824507995966,0.0253691800518296,0,0,-0.0206829251635338,1.24405368578626e-11
0.32,0.3905875,0.2181984,-0,0,-0.878744834125598,-0.548829244097817,0.0870950024583406,0.0198808876108514,0,0,-0.0129218265222573,6.29525279230623e-13
0.33,0.3924459,0.219045,-0,0,-0.862706994455577,-0.515054243947252,0.0784679325137848,0.0147303451713789,0,0,-0.0049567882402406,2.5968021805925e-14
0.34,0.3945247,0.2196046,-0,0,-0.839737473215859,-0.482913024315611,0.0700705577816262,0.00990121492822275,0,0,-0.00124549654753037,1.02546895172586e-15
0.35,0.3968086,0.2198387,-0,0,-0.810754323379918,-0.452846174045903,0.061963014547827,0.00537275318776372,0,0,-0.000209216676913329,4.09238723560039e-17
0.36,0.3992124,0.2196459,-0,0,-0.777254978326138,-0.425789641305847,0.0541904647645657,0.00111485677470525,0,0,-2.47591803256899e-05,1.87388257171891e-18
0.37,0.4017263,0.2190521,-0,0,-0.739978250677307,-0.401456807936778,0.0467906822577926,-0.00289971130466253,0,0,-2.07580215654356e-06,9.89512171389677e-20
0.38,0.4042917,0.2179862,-0,0,-0.700056748674703,-0.380416524851989,0.0397901147710456,-0.00670387655318243,0,0,-1.27231601620208e-07,6.74921552141797e-21
0.39,0.4069633,0.2165732,-0,0,-0.657548494847909,-0.361438798874775,0.0332146298225665,-0.0103182645419302,0,0,-5.45720819125008e-09,5.29050023782568e-22
0.4,0.4094511,0.2145308,-0,0,-0.615548968513297,-0.346961196573958,0.0270591401374335,-0.0137878765076698,0,0,-1.9815477804644e-10,6.98378657997045e-23
0.41,0.4119805,0.2121966,-0,0,-0.572358216984322,-0.33373290313785,0.0213355579675903,-0.0171252055390483,0,0,-5.14500458978923e-12,1.02663491401974e-23
0.42,0.4144742,0.2095282,-0,0,-0.529088603635778,-0.322112074996183,0.0160446719312325,-0.0203463262890101,0,0,-9.98420959159352e-14,1.8050815616512e-24
0.43,0.4170079,0.206708,-0,0,-0.485413794385315,-0.310442047037125,0.0111905339873794,-0.0234507467593813,0,0,-1.33133656762698e-15,2.97659136861372e-25
0.44,0.4195499,0.203523,-0,0,-0.441981146397637,-0.30067791168432,0.00677072252340299,-0.0264575258762245,0,0,-1.21800251665535e-17,6.33478255620292e-26
0.45,0.4218236,0.2002471,-0,0,-0.401522710012619,-0.290320109139031,0.00275549542327681,-0.0293607269676149,0,0,-9.97540119641064e-20,1.16748536216559e-26
0.46,0.4237258,0.1967568,-0,0,-0.364989476134539,-0.280576163887164,-0.000894399338068588,-0.0321664886064865,0,0,-8.45270431486236e-22,2.276273106688e-27
0.47,0.4259919,0.1935293,-0,0,-0.325873232887249,-0.267281714512325,-0.00415313166694108,-0.0348393057516097,0,0,-2.93164366644678e-24,2.20950919467069e-28
