time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
0.0,39.07039876,-9.80636193,0.6819070984291099,-0.1711533033207257,0.6819070984291099,-0.1711533033207257,0.0,0.0,0.0,0.0,3.1562683551635234e-08,-3.035132369202152e-38,0.0,-0.0
0.01,38.40526154,-9.22990046,0.6702982639625479,-0.1610921526583391,0.0589579466104464,-0.0141693079729099,0.0,0.0,0.0,0.0,2.187916941581664e-61,-2.4007412281955732e-92,0.0,-0.0
0.02,37.75416189,-8.47589125,0.6589344313114652,-0.1479322093534778,0.1112603793902104,-0.0258218030341259,5.2302432779763945,-1.1652495061215964,0.0,0.0,6.5,-6.4969349904773965,0.0,-0.0
0.03,37.14756387,-7.50409558,0.6483472986263868,-0.1309711752553535,0.1571475949964819,-0.0347525363167609,4.588721560627152,-0.893073328263503,0.0,0.0,6.5,-0.0235570487105973,0.0,-0.0
0.04,36.52669666,-6.37523151,0.6375111215942157,-0.1112687804263898,0.1967985102989334,-0.040889160745204,3.965091530245151,-0.6136624428443044,0.0,0.0,6.5,-1.809204805536017e-10,0.0,-0.0
0.05,35.90284472,-5.04858059,0.6266228511962616,-0.0881143538477779,0.2304422920405776,-0.044125128507433,3.36437817416442,-0.3235967762228987,0.0,0.0,6.5,-3.2594648590724793e-24,0.0,-0.0
0.06,35.26524287,-3.50739107,0.6154945995969546,-0.0612155223265469,0.2583183846701392,-0.0443603620574156,2.787609262956157,-0.0235233549982623,0.0,0.0,6.5,-7.129392878079828e-65,0.0,-0.0
0.07,34.62178868,-1.72665319,0.6042642053957015,-0.0301357832055632,0.2807024625242842,-0.04148882641394,2.238407785414501,0.2871535643475556,0.0,0.0,6.5,-8.7688354758149e-27,0.0,-0.0
0.08,33.9571576,0.27401345,0.5926642047386157,0.0047824368972488,0.2978654950944356,-0.0354684282548363,1.7163032570151346,0.6020398159103688,0.0,0.0,6.499999999994232,-6.788798085636388e-11,0.0,-0.0
0.09,33.2680605,2.47569391,0.580637191477671,0.0432090100010721,0.310090746037668,-0.0263146570023993,1.2225250943232464,0.915377125243708,0.0,0.0,6.499940702088742,-0.0788110554951698,0.0,-0.0
