time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
0.0,-14.97841226,28.75132263,-0.261422610658085,0.5018052441966554,-0.261422610658085,0.5018052441966554,0.0,0.0,0.0,0.0,4.7870804325730923e-29,-6.913104789118251e-15,0.0,-0.0
0.01,-14.79740402,28.54269266,-0.2582634208968448,0.4981639643018184,-0.0227162769162803,0.0438173959111,0.0,0.0,0.0,0.0,4.263547108901964e-82,-7.856724772740265e-68,0.0,-0.0
0.02,-14.38415221,28.39811035,-0.2510508161725188,0.4956405269521792,-0.0426189256938397,0.0832093347112122,-1.9902648777577467,3.9391938800148014,0.0,0.0,6.499999999999993,-6.5,0.0,-0.0
0.03,-13.73840288,28.30747785,-0.2397803642214714,0.4940586914178655,-0.0594412948486643,0.1183365716681837,-1.6822369154815997,3.5127236956953567,0.0,0.0,6.4999999999680105,-6.5,0.0,-0.0
0.04,-12.84741749,28.28451785,-0.2242297355788056,0.4936579638216076,-0.0729447160778826,0.1493999224325682,-1.350342122921142,3.1063350764368627,0.0,0.0,6.499998184125855,-6.5,0.0,-0.0
0.05,-11.71394389,28.30898546,-0.2044468892743724,0.4940850041762015,-0.0829417344663944,0.1765830680156362,-0.999701838852088,2.7183145583092725,0.0,0.0,3.503933671059533,-6.5,0.0,-0.0
0.06,-10.3598644,28.34444444,-0.1808137438401468,0.4947038801266003,-0.0893224910983034,0.2000278031203601,-0.6380756631905721,2.344473510471184,0.0,0.0,1.8502490792897446e-09,-6.5,0.0,-0.0
0.07,-8.76887637,28.36491043,-0.1530457643568285,0.4950610790367805,-0.0919901699486408,0.219852700129011,-0.2667678850339789,1.9824897008668951,0.0,0.0,2.1850558371286143e-27,-6.499999999999994,0.0,-0.0
0.08,-6.98718291,28.31408927,-0.1219493472185786,0.4941740824650977,-0.090956595224163,0.236107744940989,0.103357472447718,1.625504481196972,0.0,0.0,5.70828977028796e-43,-6.499999999891153,0.0,-0.0
0.09,-5.02695522,28.15389945,-0.0877369199393159,0.4913782426779207,-0.0862803488890792,0.2488079980738126,0.4676246335081466,1.2700253132817028,0.0,0.0,4.690815587803018e-16,-6.499983654940229,0.0,-0.0
0.1,-2.92793147,27.83659957,-0.0511020444242575,0.4858403150557377,-0.0781045204912352,0.2579217845361798,0.8175828397851468,0.9113786462375556,0.0,0.0,0.0003452354994781,-0.4040914139567679,0.0,-0.0
0.11,-0.70406146,27.34720104,-0.0122881906133983,0.4772986993528175,-0.0666085503221311,0.2634254654846018,1.1495970169098175,0.5503680948419147,0.0,0.0,6.494391219261626,-1.216694075989474e-10,0.0,-0.0
0.12,1.5914475,26.64542809,0.0277759987476324,0.4650504507738839,-0.0520638700518463,0.2652638913424734,1.4544680270277344,0.1838425857870698,0.0,0.0,6.49999995388934,-1.80199385202809e-24,0.0,-0.0
0.13,3.8893978,25.7038336,0.0678827975298239,0.4486165267047471,-0.0348482069365359,0.2633732715877522,1.7215663115326056,-0.1890619754722931,0.0,0.0,6.499999999989713,-2.2594619931591608e-24,0.0,-0.0
0.14,6.27716049,24.59705057,0.1095571182266006,0.429299518726048,-0.015192902353291,0.2578390949884486,1.9655304583234825,-0.5534176599300777,0.0,0.0,6.499999999999987,-1.2543420455683723e-10,0.0,-0.0
0.15,8.55816702,23.24002281,0.1493681924345914,0.4056149162730845,0.0063700135459409,0.2486373181469034,2.1562915899221045,-0.9201776841540482,0.0,0.0,6.5,-0.5417620995530941,0.0,-0.0
0.16,10.8080621,21.72402011,0.1886362694050126,0.3791556776889607,0.0294560882978271,0.2359147670266267,2.308607475190711,-1.2722551120288248,0.0,0.0,6.5,-6.4999835125821015,0.0,-0.0
0.17,12.97446462,20.06393325,0.2264471263025149,0.3501816961128666,0.0536215541224313,0.2198557870899191,2.416546582459187,-1.605897993669939,0.0,0.0,6.5,-6.499999999788457,0.0,-0.0
0.18,14.9901025,18.27680886,0.2616266438364333,0.3189904913646713,0.0783489903875345,0.2006808438573861,2.4727436265090503,-1.9174943232523207,0.0,0.0,6.5,-6.499999999999964,0.0,-0.0
0.19,16.86018398,16.41180455,0.2942657229430017,0.2864400255912863,0.1031693768931308,0.1786909174085229,2.4820386505618903,-2.1989926448883272,0.0,0.0,6.5,-6.5,0.0,-0.0
0.2,18.58070089,14.51416689,0.3242944078587407,0.2533200004144456,0.1276476393749006,0.1542521044155981,2.44782624817573,-2.443881299291227,0.0,0.0,6.5,-6.5,0.0,-0.0
0.21,20.15263929,12.61771154,0.3517299085772724,0.2202206104398842,0.1513908936215969,0.1277695357459106,2.374325424671786,-2.6482568669711517,0.0,0.0,6.5,-6.5,0.0,-0.0
0.22,21.58544376,10.75670586,0.3767370641160646,0.1877399339255682,0.174060859005448,0.0996815105326518,2.2669965383839563,-2.808802521324446,0.0,0.0,6.5,-6.5,0.0,-0.0
0.23,22.90273125,8.95758281,0.3997280680118965,0.1563393130545456,0.1953934936175471,0.0704411738972426,2.1332634612088195,-2.924033663539423,0.0,0.0,6.5,-6.5,0.0,-0.0
0.24,24.10546677,7.21476234,0.4207197628665827,0.1259213575818905,0.2151597390664113,0.0404625984393294,1.9766245448882105,-2.9978575457940453,0.0,0.0,6.499999999999992,-6.5,0.0,-0.0
0.25,25.19463536,5.52188322,0.4397293408713869,0.0963750430996264,0.2331642840622986,0.0101198059249006,1.8004544995878144,-3.034279251441326,0.0,0.0,6.499999999999271,-6.5,0.0,-0.0
0.26,26.21308586,3.91139651,0.4575046553649693,0.0682667474505153,0.24930846161554,-0.0201930938290353,1.6144177553233148,-3.031289975392049,0.0,0.0,6.499999999856704,-6.5,0.0,-0.0
0.27,27.15625017,2.35737886,0.4739659779617698,0.0411440228239104,0.2635097446283199,-0.0501562711036304,1.4201283012792785,-2.996317727462237,0.0,0.0,6.499999932546332,-6.5,0.0,-0.0
0.28,27.99643687,0.82081683,0.4886300022082357,0.0143259562392825,0.2756654818181979,-0.079540222282228,1.2155737189871785,-2.938395117858258,0.0,0.0,6.49989300843245,-6.5,0.0,-0.0
0.29,28.77730584,-0.64831725,0.5022587367613925,-0.0113152706099752,0.2857650164549673,-0.1080631505518145,1.0099534636764214,-2.8522928269571874,0.0,0.0,5.969513782098069,-6.5,0.0,-0.0
0.3,29.44505389,-2.1153531,0.5139131388076642,-0.0369198764372688,0.2937319534580556,-0.1355745930017678,0.7966937003095561,-2.7511442449978314,0.0,0.0,0.0018245791075614,-6.5,0.0,-0.0
