time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
0.0,44.20982568,-1.44863813,0.771607019848741,-0.0252835050384336,0.771607019848741,-0.0252835050384336,0.0,0.0,0.0,0.0,1.523073432116353e-05,-9.011090390399432e-80,0.0,-0.0
0.01,44.58927457,-2.6885037,0.7782296523222788,-0.0469232415170498,0.0684513518221582,-0.0041272641104525,0.0,0.0,0.0,0.0,3.819573055102481e-58,-3.944812866794395e-119,0.0,-0.0
0.02,45.60828038,-3.29114704,0.7960146588037305,-0.0574413520152655,0.1319002867821782,-0.0087837401478958,6.344893496002127,-0.4656476037443394,0.0,0.0,6.5,-1.6582296588896406e-16,0.0,-0.0
0.03,46.36300723,-3.87100099,0.809187127289436,-0.0675617126234601,0.189879240988287,-0.0138510342781534,5.797895420611009,-0.5067294130257773,0.0,0.0,6.5,-1.1476994306857538e-14,0.0,-0.0
0.04,47.01738383,-4.45414926,0.8206081535074419,-0.0777395699622689,0.2422557467508106,-0.0192579167476,5.237650576252006,-0.5406882469446191,0.0,0.0,6.5,-2.9786861400250626e-13,0.0,-0.0
0.05,47.05463339,-5.1547284,0.821258280974361,-0.0899669826260592,0.28815914857549,-0.025111897996021,4.5903401824680365,-0.5853981248421153,0.0,0.0,6.5,-1.6048729843569857e-11,0.0,-0.0
0.06,47.49839664,-5.66467947,0.8290034107862118,-0.0988673078216273,0.3284173213109383,-0.0310345012884442,4.025817273544921,-0.5922603292423301,0.0,0.0,6.5,-2.9397913988635134e-11,0.0,-0.0
0.07,49.25245618,-4.97397021,0.859617525035229,-0.0868121570606137,0.3652163461515468,-0.0351293894639613,3.679902484060927,-0.40948881755172,0.0,0.0,6.5,-3.1961668723417993e-19,0.0,-0.0
0.08,49.54852904,-5.36431829,0.8647849712680251,-0.093625016285452,0.3963289432494128,-0.0391842986360552,3.1112597097863857,-0.4054909172093602,0.0,0.0,6.5,-2.0553573879016418e-19,0.0,-0.0
0.09,49.74189729,-5.70766304,0.8681598838993446,-0.0996175126423888,0.421848529549323,-0.043098076251609,2.551958629991079,-0.3913777615553872,0.0,0.0,6.5,-3.746165100952156e-20,0.0,-0.0
