time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
0.0,-4.32827155,3.13533896,-0.0755425894678983,0.0547219880180547,-0.0755425894678983,0.0547219880180547,0.0,0.0,0.0,0.0,5.278453946299125e-56,-5.26025369251272e-63,0.0,-0.0
0.01,-4.39402016,3.26671399,-0.076690119191008,0.0570149148464611,-0.0067454925604057,0.0050149052835748,0.0,0.0,0.0,0.0,1.834833829158047e-108,-6.699618956591763e-115,0.0,-0.0
0.02,-4.44328136,3.41885101,-0.0775498893244914,0.0596702067596335,-0.0129194983463501,0.0097822730235768,-0.6174005785944395,0.4767367740002028,0.0,0.0,2.21828921736499e-10,-5.387861636543523e-16,0.0,-0.0
0.03,-4.47868982,3.59130248,-0.0781678835345521,0.0626800527110378,-0.018502229087868,0.0143173758476205,-0.5582730741517892,0.4535102824043693,0.0,0.0,1.4694894864511357e-12,-4.498690502747311e-17,0.0,-0.0
0.04,-4.51211546,3.77450695,-0.0787512710071385,0.0658775739169089,-0.0234984532676487,0.0186212386753527,-0.4996224179780728,0.4303862827732169,0.0,0.0,5.874889346522792e-15,-3.3584596358788928e-18,0.0,-0.0
0.05,-4.53185636,3.96820497,-0.0790958147094454,0.0692582421205028,-0.0278991115046397,0.0226961633346875,-0.4400658236991036,0.407492465933482,0.0,0.0,1.0773243593791297e-17,-2.2517584042151235e-19,0.0,-0.0
0.06,-4.54726248,4.16291642,-0.0793647022284027,0.0726565980143351,-0.0317149251865239,0.0265314415557131,-0.3815813681884134,0.3835278221025615,0.0,0.0,9.268646320040124e-21,-1.133942737756688e-20,0.0,-0.0
0.07,-4.56210695,4.35217861,-0.0796237871056163,0.0759598463793702,-0.0349660117663101,0.0301092161007421,-0.3251086579786244,0.3577774545028969,0.0,0.0,3.4610714559950476e-24,-3.7169411629198393e-22,0.0,-0.0
0.08,-4.57149243,4.52915944,-0.0797875946334964,0.0790487445757825,-0.0376675906043133,0.0334046834668492,-0.2701578838003174,0.3295467366107134,0.0,0.0,4.007184740715878e-28,-6.6031929504712915e-24,0.0,-0.0
0.09,-4.60786233,4.67779187,-0.0804223691371174,0.0816428698545225,-0.0398876223744966,0.0363727233294021,-0.2220031770183273,0.2968039862552921,0.0,0.0,2.9910917407960726e-32,-3.965002440035203e-26,0.0,-0.0
0.1,-4.62397592,4.80964601,-0.0807036043369339,0.0839441587299081,-0.0416193062885565,0.038992472005895,-0.1731683914059928,0.2619748676492809,0.0,0.0,2.218489876565508e-37,-9.20021128163676e-29,0.0,-0.0
0.11,-4.65570171,4.91055827,-0.0812573238302302,0.0857054099225367,-0.0429153045276978,0.0412258485590229,-0.1295998239141274,0.2233376553127925,0.0,0.0,3.7393964162580826e-43,-4.214975028057018e-32,0.0,-0.0
0.12,-4.68988554,4.98829735,-0.0818539442146722,0.0870622128260079,-0.043806838617029,0.0430530428148005,-0.0891534089331214,0.1827194255777568,0.0,0.0,4.655304237315354e-50,-3.081742609131259e-36,0.0,-0.0
