time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),amplitude_right,amplitude_left,motor_command_right (rad/s),motor_command_left (rad/s)
0.0,7.71554048,-14.60741144,0.1346615849469037,-0.2549474248214861,0.1346615849469037,-0.2549474248214861,0.0,0.0,0.0,0.0,1.884080452844653e-43,-1.3659815591120366e-29,0.0,-0.0
0.01,7.81645677,-14.55426219,0.1364229064763011,-0.2540197954140205,0.0119994558674845,-0.022343017043604,0.0,0.0,0.0,0.0,5.90188844076338e-96,-1.8621051317079559e-82,0.0,-0.0
0.02,7.90366505,-14.5108408,0.1379449780973022,-0.253261949192728,0.022981655032487,-0.042475959828478,1.0982199164996929,-2.0132942784863728,0.0,0.0,6.441150312257141,-6.499999999999996,0.0,-0.0
0.03,7.99151795,-14.46802022,0.1394783004597276,-0.2525145890841143,0.0329502780361794,-0.0604350700536136,0.9968623003694392,-1.795911022513922,0.0,0.0,3.0393182480001792,-6.49999999999878,0.0,-0.0
0.04,8.08111678,-14.42569927,0.1410420950491622,-0.2517759491640424,0.0419182397650731,-0.0762701438877466,0.8967961728895476,-1.58350738341361,0.0,0.0,0.0294661293618144,-6.49999999935916,0.0,-0.0
0.05,8.1459835,-14.39926509,0.1421742328881315,-0.2513145856879776,0.0498644369423599,-0.0900667405800408,0.7946197177288289,-1.3796596692296947,0.0,0.0,7.303759158924325e-05,-6.499999400012583,0.0,-0.0
0.06,8.25016097,-14.34510898,0.1439924727460291,-0.2503693832584054,0.0568758724285343,-0.1018518109953532,0.7011435486170885,-1.1785070415306416,0.0,0.0,1.4944127503436276e-07,-6.498536434387953,0.0,-0.0
0.07,8.35773413,-14.30093133,0.1458699785748038,-0.2495983378101117,0.0629840103065413,-0.1117234799709607,0.610813787800823,-0.9871668975609476,0.0,0.0,1.6718158522316502e-10,-2.722325888741889,0.0,-0.0
0.08,8.4532227,-14.25928715,0.1475365685193248,-0.2488715097548185,0.0682007923152103,-0.1197747154876089,0.5216782008670037,-0.8051235516649788,0.0,0.0,7.362844482181838e-14,-0.0002206436503559,0.0,-0.0
0.09,8.52539792,-14.22390368,0.1487962637466761,-0.2482539517025379,0.0725267947672238,-0.126110214251558,0.432600245201125,-0.6335498763945783,0.0,0.0,8.283529857650305e-18,-2.1078650744945283e-09,0.0,-0.0
0.1,8.61542207,-14.19202458,0.1503674815704853,-0.2476975564449653,0.0760326583122861,-0.1308346041111712,0.3505863545062969,-0.4724389859614149,0.0,0.0,3.561899166299843e-22,-2.1502729126062718e-15,0.0,-0.0
0.11,8.69809317,-14.15420355,0.1518103644617308,-0.2470374549449698,0.0787504903952269,-0.1340413696948286,0.2717832082941392,-0.3206765583658038,0.0,0.0,2.508154276488957e-27,-7.322098999164577e-23,0.0,-0.0
0.12,8.75619141,-14.12794716,0.1528243700393447,-0.2465791944897821,0.0806892656994181,-0.1358544836754877,0.1938775304191603,-0.1813113980659447,0.0,0.0,8.38869735214844e-34,-3.7346573576812336e-32,0.0,-0.0
0.13,8.81397528,-14.09691711,0.1538328888253891,-0.2460376179502236,0.0819004731583983,-0.1363728061240502,0.1211207458979517,-0.0518322448562326,0.0,0.0,1.1535883474302342e-41,-1.0334936070193801e-41,0.0,-0.0
0.14,8.86226991,-14.06414631,0.1546757891299215,-0.2454656595917111,0.0824226505371956,-0.1357012653652639,0.0522177378797387,0.0671540758786471,0.0,0.0,1.901290988749122e-50,-6.613201223349145e-41,0.0,-0.0
0.15,8.89886594,-14.03349144,0.1553145103465801,-0.2449306311784402,0.0822929215271813,-0.1339507740414948,-0.0129729010014315,0.1750491323769464,0.0,0.0,7.039776691687058e-54,-9.450841025635068e-33,0.0,-0.0
0.16,8.91305828,-14.00836709,0.1555622134081426,-0.2444921285485168,0.0815337945959614,-0.1312361621261804,-0.0759126931220028,0.2714611915314981,0.0,0.0,1.4376143141605367e-47,-6.007523767745694e-26,0.0,-0.0
0.17,8.92841363,-13.97844952,0.1558302148234387,-0.2439699684478209,0.0802068880077968,-0.1276538558888421,-0.1326906588163868,0.3582306237336463,0.0,0.0,2.168977201113408e-40,-6.59134639454857e-21,0.0,-0.0
0.18,8.93359029,-13.94978152,0.155920564584695,-0.2434696174578592,0.078355423693023,-0.1233078689091461,-0.1851464314774197,0.4345986979696838,0.0,0.0,9.494926986464111e-35,-3.613850535238646e-17,0.0,-0.0
0.19,8.93258616,-13.92629792,0.155903039210077,-0.2430597513176378,0.0760290601104344,-0.1183050757115048,-0.2326363582589035,0.5002793197642251,0.0,0.0,1.7725594230070194e-30,-2.3138514441960022e-14,0.0,-0.0
0.2,8.93216399,-13.88736275,0.1558956709535738,-0.2423802044063141,0.0732871847077854,-0.1127163976325841,-0.2741875402647613,0.5588678078917858,0.0,0.0,2.914254898606241e-27,-4.085769835286798e-12,0.0,-0.0
0.21,8.92703044,-13.85804293,0.1558060736037581,-0.241868477011222,0.0701790917767794,-0.1066495581548162,-0.3108092931006689,0.606683947776912,0.0,0.0,9.495284336065775e-25,-1.9564916850004048e-10,0.0,-0.0
0.22,8.92205806,-13.83048927,0.1557192892010978,-0.241387574923247,0.0667600919756736,-0.1001945019350082,-0.3418999801106409,0.6455056219809304,0.0,0.0,8.206011317303005e-23,-3.6846640177554294e-09,0.0,-0.0
0.23,8.92468094,-13.80030312,0.1557650670929825,-0.2408607272172461,0.0630944829031308,-0.0934295572792286,-0.366560907254359,0.6764944655780925,0.0,0.0,2.1738059476665568e-21,-3.398349148877876e-08,0.0,-0.0
0.24,8.93329793,-13.77963782,0.1559154619400939,-0.2405000496913337,0.0592403897992055,-0.0864472388858131,-0.3854093103923247,0.6982318393411966,0.0,0.0,2.304394627121484e-20,-1.5068202575175464e-07,0.0,-0.0
0.25,8.9482804,-13.75352504,0.1561769553716752,-0.2400442957034848,0.0552528827763749,-0.0793106813861281,-0.3987507022831476,0.7136557499686326,0.0,0.0,1.1336382187575542e-19,-4.174694758335765e-07,0.0,-0.0
0.26,8.97409912,-13.73898259,0.1566275770443257,-0.2397904820696781,0.0511901056551826,-0.0721047904549909,-0.4062777121193111,0.7205890931138691,0.0,0.0,2.661183954313482e-19,-6.389528475325846e-07,0.0,-0.0
0.27,9.00903147,-13.71640727,0.1572372615672847,-0.2393964684059868,0.0471030469941322,-0.0648775094466,-0.4087058661048308,0.7227281008387232,0.0,0.0,3.362941403033117e-19,-7.059933598533523e-07,0.0,-0.0
0.28,9.05361717,-13.70277966,0.1580154288315912,-0.2391586217423091,0.0430392421583954,-0.057698796639273,-0.4063804835737611,0.717871280732838,0.0,0.0,2.40248616298991e-19,-4.843469008887156e-07,0.0,-0.0
0.29,9.10687617,-13.69015696,0.1589449737379108,-0.2389383140668176,0.0390403734495778,-0.0506199310227924,-0.399886870881833,0.7078865616482022,0.0,0.0,1.0298303880426768e-19,-2.325273653789945e-07,0.0,-0.0
