time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),motor_command_right (rad/s),motor_command_left (rad/s)
10.0,15.67136323,29.7846027,0.2735168866394734,0.5198393835133929,0.2735168866394734,0.5198393835133929,0.0,0.0,0.0,0.0,0.0,0.0
10.01,17.54926388,28.62626594,0.3062924360073151,0.4996225932045095,0.026940802416148713,0.04394569366983998,-0.002369836754666784,-0.003865665114922067,0.0,0.0,0.0,0.0
10.02,19.41137885,27.46558351,0.3387924732844904,0.4793648632309609,0.054155744269068086,0.081893753344189,-0.007133624828337654,-0.011069415903589877,0.0,0.0,0.0,0.0
10.03,21.2460029,26.30007949,0.3708127034932635,0.4590229806367311,0.08136325929939942,0.11406452994084591,-0.014290709494674432,-0.021103033366985793,0.0,0.0,0.0,0.0
10.04,23.06608221,25.14567626,0.4025790801001901,0.4388748433775736,0.10832610258573595,0.14072855614094526,-0.023819542851257643,-0.0334820561241523,0.0,0.0,0.0,0.0
10.05,24.83485969,23.98253088,0.4334500708613182,0.418574126817213,0.1347730238017971,0.162145176012749,-0.03567467972965926,-0.047744798808401614,0.0,0.0,0.0,0.0
10.06,26.58632351,22.84291618,0.4640188812498755,0.3986840980980857,0.16051248563330034,0.1786415472158051,-0.04979376960953778,-0.0634583276070257,0.0,0.0,0.0,0.0
10.07,28.29438286,21.71435303,0.4938301407268498,0.3789869553139071,0.18533491823241785,0.19053543661768427,-0.0660959472866969,-0.0802176513836763,0.0,0.0,0.0,0.0
10.08,29.97416237,20.61796571,0.5231478238838868,0.3598513867027904,0.20907923268585418,0.19818515759584113,-0.08448607301467372,-0.09764930857948356,0.0,0.0,0.0,0.0
10.09,31.62595813,19.56083252,0.5519770984663689,0.3414009319051796,0.23160707050712004,0.20196163145062604,-0.10485670606653676,-0.11541249346452669,0.0,0.0,0.0,0.0
10.1,33.21849215,18.51775617,0.5797720605653901,0.3231958152479948,0.2527534526430463,0.20219482492501847,-0.1270857379091582,-0.13319546601229168,0.0,0.0,0.0,0.0
10.11,34.78607662,17.53493676,0.6071315708700205,0.3060423805909867,0.2724311347380693,0.1992843543336336,-0.15104320771463234,-0.1507216858109213,0.0,0.0,0.0,0.0
10.12,36.28212117,16.56119868,0.6332424740240373,0.2890474450429388,0.29050061334880956,0.1935407444196666,-0.17658709398318295,-0.16774201120615426,0.0,0.0,0.0,0.0
10.13,37.73596541,15.63750556,0.6586168428231919,0.2729259588209197,0.30689228407002966,0.1853322161887889,-0.20356956425681824,-0.18403979896512251,0.0,0.0,0.0,0.0
10.14,39.12898808,14.75023462,0.6829296749696143,0.2574401595606546,0.3215269513407944,0.17499297075037543,-0.23183586202166062,-0.19942779499999191,0.0,0.0,0.0,0.0
10.15,40.4544401,13.89516938,0.7060631767958241,0.2425164558032991,0.3343355217988247,0.16283803850645642,-0.2612251990524553,-0.213746444376945,0.0,0.0,0.0,0.0
10.16,41.6964115,13.05079213,0.7277396669414277,0.2277792926618638,0.3452446130432572,0.14913598157783034,-0.2915703811351256,-0.22685980297223476,0.0,0.0,0.0,0.0
10.17,42.85725949,12.24495967,0.7480002864820857,0.2137148630154183,0.35420554040527136,0.1341866738923376,-0.32269998298363234,-0.2386582930760244,0.0,0.0,0.0,0.0
10.18,43.91585516,11.46388592,0.7664762663709411,0.2000825543770192,0.36115651236419877,0.11825231895724671,-0.3544371976288289,-0.2490553886419277,0.0,0.0,0.0,0.0
10.19,44.85787569,10.67024414,0.7829176262408232,0.1862308922346307,0.3660347281712453,0.10152261083793664,-0.3865997528615975,-0.25798124488995416,0.0,0.0,0.0,0.0
