time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),motor_command_right (rad/s),motor_command_left (rad/s)
60.0,-9.80644441,35.35428855,-0.1711547428682927,0.6170487398976319,-0.1711547428682927,0.6170487398976319,0.0,0.0,0.0,0.0,0.0,0.0
60.01,-7.64634971,35.332095,-0.1334539781984136,0.616661389377426,-0.011738315529953124,0.05424016624584636,0.0010325561633635467,-0.00477121421860737,0.0,0.0,0.0,0.0
60.02,-5.3654622,35.16039323,-0.0936449812812984,0.6136646281594238,-0.018849037141230335,0.10301336310574374,0.0026906040684480455,-0.013832742911740314,0.0,0.0,0.0,0.0
60.03,-2.98606964,34.85878223,-0.0521167469118417,0.6084005231491914,-0.021532048439810766,0.1462154760909122,0.004584661973914643,-0.026694471842010275,0.0,0.0,0.0,0.0
60.04,-0.58177483,34.38922495,-0.0101538862887302,0.6002052025864824,-0.020117501341955515,0.18373652912294797,0.0063542898177994574,-0.04285652585059909,0.0,0.0,0.0,0.0
60.05,1.91331409,33.81645404,0.0333936304952991,0.5902084643473383,-0.014837639438585853,0.21561992406075275,0.007659476751391712,-0.06182274327576874,0.0,0.0,0.0,0.0
60.06,4.42747927,33.10002857,0.077274090825295,0.5777044810506904,-0.006044880110964776,0.24188724409561466,0.008191212177948248,-0.08309875992721322,0.0,0.0,0.0,0.0
60.07,6.96505501,32.26094329,0.1215631425070265,0.5630596802096719,0.005918253758345288,0.26263441663105586,0.007670615387128015,-0.10619857551443351,0.0,0.0,0.0,0.0
60.08,9.45955722,31.25427304,0.1651004192698016,0.5454899698652974,0.020612205160220786,0.2779233078911054,0.005857471122570589,-0.1306416020674437,0.0,0.0,0.0,0.0
60.09,11.92602702,30.11542223,0.2081484381808076,0.525613273541793,0.037637505650788744,0.28790763708246425,0.0025467032075139518,-0.15596090438996313,0.0,0.0,0.0,0.0
60.1,14.33580651,28.84725786,0.2502070245283374,0.5034796298288134,0.056567274741085666,0.29277372164333604,-0.002429214403441814,-0.18170643441954418,0.0,0.0,0.0,0.0
60.11,16.70011426,27.48825178,0.2914719792962563,0.4797604991781919,0.07701417170235522,0.29279043598643356,-0.009203732968015113,-0.20745187960727804,0.0,0.0,0.0,0.0
