time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),motor_command_right (rad/s),motor_command_left (rad/s)
0.0,-2.13826618,4.55893165,-0.0373197851250417,0.0795683676658777,-0.0373197851250417,0.0795683676658777,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-2.12575376,4.56488928,-0.0371014021986493,0.0796723479249933,-0.0032633569376555732,0.0070078027765161114,0.0002870598690786409,-0.0006164385281742568,0.0,0.0,0.0,0.0
0.02,-2.11718217,4.57478787,-0.0369517997310183,0.0798451109117983,-0.0062004940167854,0.013358527147790858,0.0008324838097279344,-0.001791515949182085,0.0,0.0,0.0,0.0
0.03,-2.10292612,4.5817666,-0.0367029847201893,0.079966912727906,-0.00880817171999912,0.019055305022977455,0.0016072910616069193,-0.003467708124800847,0.0,0.0,0.0,0.0
0.04,-2.09922167,4.59543117,-0.0366383298707138,0.0802054044652752,-0.01111092573240469,0.024120824012127454,0.0025846591359610415,-0.005589486623221741,0.0,0.0,0.0,0.0
0.05,-2.08545748,4.60263643,-0.0363980994363438,0.0803311599757375,-0.01310186275527076,0.028560502477828598,0.0037371591778094515,-0.008101799636702765,0.0,0.0,0.0,0.0
0.06,-2.07641227,4.61261093,-0.0362402307403094,0.0805052478419776,-0.014799812196451748,0.03239831641325004,0.0050390186533941315,-0.010951704396013994,0.0,0.0,0.0,0.0
0.07,-2.06182506,4.62156689,-0.0359856358971296,0.0806615588316546,-0.01620847485932154,0.03565499727187887,0.006464790568624436,-0.014088081765820762,0.0,0.0,0.0,0.0
0.08,-2.0530634,4.63120883,-0.0358327160821893,0.0808298424309343,-0.017350930440190773,0.038356587826161526,0.007991058125532259,-0.017462102291959918,0.0,0.0,0.0,0.0
0.09,-2.04101719,4.63989477,-0.0356224700553026,0.080981440682565,-0.018236314956212394,0.040528636728372085,0.009595208172191881,-0.021027183479109632,0.0,0.0,0.0,0.0
0.1,-2.0370256,4.65467005,-0.035552803667413,0.081239317966469,-0.01889237095671591,0.04220938079032936,0.011257067918774216,-0.0247401060413241,0.0,0.0,0.0,0.0
0.11,-2.03035386,4.66147658,-0.0354363598375759,0.0813581143256048,-0.019329705768354924,0.04341593342980852,0.012957397644635864,-0.028559155843926935,0.0,0.0,0.0,0.0
0.12,-2.01796378,4.66743548,-0.0352201121469905,0.0814621167504019,-0.019555033824861803,0.04417852683888206,0.014677548261572665,-0.03244527798572775,0.0,0.0,0.0,0.0
0.13,-2.01117535,4.67364579,-0.0351016316924493,0.0815705071074714,-0.019593510620499358,0.04452987818975584,0.01640108347422771,-0.03636229542922627,0.0,0.0,0.0,0.0
0.14,-1.99851112,4.67946437,-0.0348805991817195,0.0816720604862621,-0.019451915445275095,0.04450204279057144,0.018112163166179678,-0.04027685082135907,0.0,0.0,0.0,0.0
0.15,-1.98575217,4.68642074,-0.0346579134951221,0.0817934720467491,-0.0191467124421402,0.04412955936066494,0.019796395425252966,-0.04415862498878362,0.0,0.0,0.0,0.0
0.16,-1.98184765,4.69121791,-0.0345897667654122,0.081877198458027,-0.01870793383837914,0.043441554170669965,0.02144203011335708,-0.047979860872493875,0.0,0.0,0.0,0.0
0.17,-1.97673986,4.69560953,-0.0345006190124117,0.0819538466865234,-0.018148572254173063,0.04246974566955434,0.02303845998098877,-0.05171559162793212,0.0,0.0,0.0,0.0
0.18,-1.97089367,4.69986017,-0.0343985837482145,0.0820280343498404,-0.017482134084416165,0.04124568457223203,0.024576265873598995,-0.05534362591734662,0.0,0.0,0.0,0.0
0.19,-1.96489644,4.70384316,-0.0342939123387152,0.0820975506394144,-0.016722677751518682,0.03979992347005297,0.026047265297735878,-0.058844460182746514,0.0,0.0,0.0,0.0
0.2,-1.95922199,4.70761929,-0.0341948745029754,0.0821634565408977,-0.015884481825003446,0.038162155638042594,0.02744453179341458,-0.06220120314537868,0.0,0.0,0.0,0.0
0.21,-1.95386006,4.71128859,-0.0341012911702139,0.0822274979071411,-0.01498117170204588,0.03636112068653689,0.028762337485821382,-0.06539949201314381,0.0,0.0,0.0,0.0
0.22,-1.94862038,4.71502974,-0.034009841502463,0.0822927932924521,-0.014025395020937843,0.03442458633248319,0.0299960670862882,-0.06842740708879688,0.0,0.0,0.0,0.0
0.23,-1.9437888,4.7188389,-0.0339255145233895,0.0823592756761874,-0.013029540513940892,0.03237893831269214,0.031142195126968048,-0.07127535030577377,0.0,0.0,0.0,0.0
0.24,-1.93690799,4.72320826,-0.0338054217336854,0.0824355353943923,-0.012001453439563018,0.03024985864797278,0.03219788630751797,-0.07393598341855746,0.0,0.0,0.0,0.0
0.25,-1.9333561,4.72710725,-0.0337434295585167,0.0825035856073947,-0.01095680364416863,0.028059850680424152,0.033161683787630465,-0.07640394848556685,0.0,0.0,0.0,0.0
0.26,-1.93050733,4.73181369,-0.0336937091423847,0.0825857284814422,-0.009905987255778397,0.02583188755006775,0.03403304528163823,-0.07867590926485617,0.0,0.0,0.0,0.0
0.27,-1.92850716,4.73749306,-0.033658799590285,0.0826848521873812,-0.008858764397567402,0.02358748476557018,0.03481228712275811,-0.08075042301136585,0.0,0.0,0.0,0.0
0.28,-1.92772818,4.74455573,-0.0336452038244779,0.0828081190328631,-0.007824587859854135,0.021347036997504225,0.0355005572280401,-0.08262784188784812,0.0,0.0,0.0,0.0
0.29,-1.93517555,4.75103192,-0.0337751849515921,0.0829211498713478,-0.0068227382071690355,0.019126104826385004,0.036100699564517835,-0.08430988777426206,0.0,0.0,0.0,0.0
0.3,-1.93456312,4.75901529,-0.0337644960316541,0.0830604859632527,-0.0058455525011462195,0.016941956108876773,0.036614884115577215,-0.08579980238575162,0.0,0.0,0.0,0.0
0.31,-1.93973378,4.77536187,-0.0338547410731553,0.0833457876056934,-0.004907108656014215,0.014820589671959254,0.037046519280142916,-0.08710311490878077,0.0,0.0,0.0,0.0
0.32,-1.93848935,4.78377494,-0.0338330216723447,0.0834926233773941,-0.004001225349935001,0.01276023036796725,0.037398469799596906,-0.08822519929739074,0.0,0.0,0.0,0.0
0.33,-1.9426984,4.80885869,-0.0339064834532258,0.0839304174036413,-0.003140239391128342,0.010796558357367312,0.03767468564354679,-0.0891745680410686,0.0,0.0,0.0,0.0
0.34,-1.93467599,4.84810768,-0.0337664659847808,0.0846154415072236,-0.002307911610474573,0.008957526239256063,0.037877688427505204,-0.08996219183635283,0.0,0.0,0.0,0.0
0.35,-1.93345607,4.85528449,-0.0337451743641699,0.0847407004715136,-0.0015184370517040738,0.007196714995763109,0.03801124842149263,-0.09059496005466829,0.0,0.0,0.0,0.0
0.36,-1.93283215,4.87429488,-0.0337342849059009,0.0850724943691019,-0.000774908237119233,0.005538571522830358,0.038079407925407274,-0.09108191229222387,0.0,0.0,0.0,0.0
0.37,-1.90461742,4.9142545,-0.0332418449698396,0.0857699213059476,-3.6528170312443266e-05,0.004018589569690226,0.03808262084883371,-0.09143520855879676,0.0,0.0,0.0,0.0
0.38,-1.90227444,4.92096066,-0.0332009522545313,0.0858869658781132,0.0006518696065492396,0.002584911651026492,0.03802528459262326,-0.09166244936943393,0.0,0.0,0.0,0.0
