time (s),angle_right (deg),angle_left (deg),angle_right (rad),angle_left (rad),filtered_angle_right (rad),filtered_angle_left (rad),filtered_velocity_right (rad/s),filtered_velocity_left (rad/s),gait_phase_right (rad),gait_phase_left (rad),motor_command_right (rad/s),motor_command_left (rad/s)
38.0,-1.05703242,-4.23637324,-0.0184486960293235,-0.0739386613813799,-0.0184486960293235,-0.0739386613813799,0.0,0.0,0.0,0.0,0.0,0.0
38.01,-1.07066046,-4.24230874,-0.018686550197917,-0.074042255399132,-0.001643627453827863,-0.006512592341999726,0.00014458102215712636,0.0005728775432085275,0.0,0.0,0.0,0.0
38.02,-1.79934878,-5.09085263,-0.031404560602743,-0.0888521401273126,-0.004248225985190513,-0.013703061647865215,0.0005182744974415033,0.0017782618017385436,0.0,0.0,0.0,0.0
38.03,-1.80622616,-5.09174719,-0.0315245935276539,-0.0888677531446693,-0.006600518860673239,-0.020153602043225135,0.0010988864611934015,0.003551065229164504,0.0,0.0,0.0,0.0
38.04,-1.80695306,-5.0905945,-0.0315372803259866,-0.0888476349089144,-0.00869464984295146,-0.025875108052312697,0.001863707807213504,0.005827158611467706,0.0,0.0,0.0,0.0
38.05,-1.81348789,-5.09248073,-0.0316513346255447,-0.0888805558328643,-0.010545644203782081,-0.030890994210349472,0.0027913511212365794,0.00854447238472009,0.0,0.0,0.0,0.0
38.06,-1.80733031,-5.1184271,-0.0315438645805897,-0.089333405418305,-0.012140693823356698,-0.03526037344720177,0.0038593023279354564,0.011646136829889405,0.0,0.0,0.0,0.0
38.07,-1.8124098,-5.11477526,-0.0316325184054119,-0.089269668786549,-0.01350684592848868,-0.03895980587793569,0.005047426550314279,0.015073219966852406,0.0,0.0,0.0,0.0
38.08,-1.81210319,-5.11351336,-0.0316271670513923,-0.0892476444767181,-0.014645027734863552,-0.04202223497151727,0.006335670473531074,0.018769686385401083,0.0,0.0,0.0,0.0
38.09,-1.80634115,-5.06988705,-0.0315266004817607,-0.0884862217267223,-0.015557752668232236,-0.044413958215633625,0.007704201875220565,0.02267653562410952,0.0,0.0,0.0,0.0
38.1,-1.80780756,-5.06850899,-0.0315521941644449,-0.0884621700424323,-0.016268540615648006,-0.04623936308197666,0.009135257450337195,0.026743949385806782,0.0,0.0,0.0,0.0
38.11,-1.80747538,-5.06809915,-0.0315463965297356,-0.0884550169850259,-0.01678655511851828,-0.047534687129258894,0.010611879961040582,0.030925296698345307,0.0,0.0,0.0,0.0
38.12,-1.76852134,-5.05753252,-0.030866520274782,-0.0882705945006859,-0.01706512518585095,-0.04832002927749287,0.01211300677470115,0.0351757144346804,0.0,0.0,0.0,0.0
38.13,-1.77056922,-5.05551292,-0.0309022625234678,-0.0882353458311126,-0.01718579514966912,-0.048646408626461746,0.013624748272774313,0.03945482731250778,0.0,0.0,0.0,0.0
38.14,-1.72474595,-5.00576316,-0.0301024955879374,-0.0873670487170357,-0.017087727407645796,-0.04847753908901634,0.015127863281705354,0.04371906818873218,0.0,0.0,0.0,0.0
38.15,-1.72718299,-5.00495572,-0.0301450299599402,-0.0873529562305234,-0.01686472959317722,-0.047932605067506136,0.016611362378356767,0.047935354333234724,0.0,0.0,0.0,0.0
38.16,-1.72773949,-5.00525306,-0.0301547427172276,-0.0873581457925213,-0.01652635192312127,-0.047049797633183725,0.018065096140497762,0.05207396212177024,0.0,0.0,0.0,0.0
38.17,-1.72419815,-5.00000875,-0.030092934674295,-0.087266615316026,-0.01607880124418436,-0.04585638265286697,0.019479461054624874,0.056107566508217785,0.0,0.0,0.0,0.0
38.18,-1.66507075,-4.93893837,-0.0290609668661513,-0.0862007361095819,-0.015449549832203624,-0.04430246449846616,0.02083847374025472,0.06000445401346056,0.0,0.0,0.0,0.0
38.19,-1.66579644,-4.93993449,-0.0290736325460001,-0.0862181216833268,-0.014751100306883121,-0.04252634459052683,0.022136047110130556,0.06374507770444718,0.0,0.0,0.0,0.0
38.2,-1.66079809,-4.93573941,-0.0289863948813331,-0.0861449037249423,-0.0139859232398904,-0.040552645013063035,0.02336631137193554,0.06731205596905795,0.0,0.0,0.0,0.0
38.21,-1.66074742,-4.93614091,-0.0289855105230011,-0.086151911221889,-0.01317317953851362,-0.03842039791986844,0.02452508223434478,0.0706914412543815,0.0,0.0,0.0,0.0
38.22,-1.64467827,-4.92237051,-0.0287050509475042,-0.0859115724025724,-0.01229853255823356,-0.0361376381618636,0.025606914310780875,0.07386999355652761,0.0,0.0,0.0,0.0
38.23,-1.65166236,-4.88560325,-0.0288269463132598,-0.0852698626586356,-0.011409378776833122,-0.033699337269689926,0.026610531467598716,0.07683403202655714,0.0,0.0,0.0,0.0
38.24,-1.65031715,-4.88649997,-0.0288034679696291,-0.0852855133751041,-0.010500882768857123,-0.03119525610219582,0.027534232228998135,0.07957777251844154,0.0,0.0,0.0,0.0
38.25,-1.63959729,-4.88076431,-0.0286163711172762,-0.0851854072233292,-0.009567186865591893,-0.028639787956046332,0.02837579991380117,0.0820966973473436,0.0,0.0,0.0,0.0
38.26,-1.62322786,-4.8674236,-0.0283306706671015,-0.0849525679092754,-0.008608871866129278,-0.02604498458366441,0.029133069001459073,0.08438735045217735,0.0,0.0,0.0,0.0
38.27,-1.62406058,-4.86811059,-0.0283452043728487,-0.0849645581467037,-0.007661748829423687,-0.023455366307893973,0.02980702411468952,0.08645019304060153,0.0,0.0,0.0,0.0
38.28,-1.60149487,-4.82586894,-0.0279513584352985,-0.0842273022727286,-0.0066960680988455545,-0.020824092883237104,0.03039603302241329,0.08828156824591657,0.0,0.0,0.0,0.0
38.29,-1.59295105,-4.81869579,-0.0278022406456008,-0.0841021071874892,-0.0057422992260693995,-0.018228507556379725,0.030901143805029146,0.08988462374452677,0.0,0.0,0.0,0.0
38.3,-1.60319545,-4.77795679,-0.0279810391554921,-0.0833910775035192,-0.004835461687743934,-0.015633548862251316,0.03132648499748022,0.09125942481483808,0.0,0.0,0.0,0.0
38.31,-1.59591001,-4.77128893,-0.0278538842400356,-0.0832747013924572,-0.003951379084457847,-0.013111064371103376,0.031674058533349356,0.09241235715308761,0.0,0.0,0.0,0.0
38.32,-1.63611225,-4.65946163,-0.0285555456947125,-0.0813229468138417,-0.003167643771872301,-0.010512366131184912,0.03195269162709765,0.09333673275322857,0.0,0.0,0.0,0.0
38.33,-1.62877493,-4.65458406,-0.0284274853024401,-0.0812378171578453,-0.0024083586431294705,-0.008027983657262611,0.03216453537764712,0.09404262050872259,0.0,0.0,0.0,0.0
38.34,-1.63726041,-4.61530492,-0.0285755848670522,-0.0805522668374934,-0.001701394110991722,-0.0056138926203682035,0.0323141925039917,0.09453621793811758,0.0,0.0,0.0,0.0
38.35,-1.6274868,-4.60725933,-0.0284050031927464,-0.0804118448017279,-0.0010194460878187673,-0.0033301346076683867,0.03240386402587949,0.09482900293762868,0.0,0.0,0.0,0.0
38.36,-1.62736485,-4.5205881,-0.0284028747637236,-0.0788991464714746,-0.0003802735364429955,-0.001061909790986399,0.03243731309456949,0.09492236089504145,0.0,0.0,0.0,0.0
38.37,-1.614116,-4.51558295,-0.0281716387091207,-0.0788117901244184,0.0002352211338067172,0.0010496329997071764,0.03241662303464898,0.09483008743692947,0.0,0.0,0.0,0.0
38.38,-1.61684951,-4.34518069,-0.0282193474587569,-0.075837709634579,0.0007999448163301381,0.0032560070736613045,0.0323462602889534,0.09454386829892808,0.0,0.0,0.0,0.0
38.39,-1.60598497,-4.34244506,-0.0280297254640423,-0.0757899638839627,0.0013349864760298805,0.005274850073334,0.03222883631203885,0.09408021113001114,0.0,0.0,0.0,0.0
38.4,-1.60618625,-4.27218885,-0.0280332384627607,-0.0745637616994901,0.0018219408379995348,0.007210883485180421,0.032068581449128025,0.0934464184180448,0.0,0.0,0.0,0.0
38.41,-1.59554245,-4.27087522,-0.027847469107837,-0.0745408345308371,0.0022780250903116314,0.008950905549350218,0.031868211625390226,0.09265974127263879,0.0,0.0,0.0,0.0
38.42,-1.56478201,-4.12387869,-0.0273105981504748,-0.0719752610933305,0.0027334047434827997,0.01072237250676726,0.031627789468364954,0.09171744024323486,0.0,0.0,0.0,0.0
38.43,-1.53876647,-4.04324108,-0.0268565413207905,-0.0705678692978914,0.0031774206794755915,0.012407220807959226,0.03134831514697789,0.09062715011952172,0.0,0.0,0.0,0.0
38.44,-1.49121585,-3.92957133,-0.0260266264404258,-0.0685839579004726,0.0036407699649998603,0.014050851057291359,0.031028088854644333,0.08939251655457765,0.0,0.0,0.0,0.0
38.45,-1.42415517,-3.77889058,-0.0248561967757995,-0.0659540826935981,0.00414817397035187,0.01570104930121903,0.030663236438331184,0.08801298570534384,0.0,0.0,0.0,0.0
38.46,-1.34492387,-3.672331,-0.0234733497201641,-0.0640942671730558,0.004710551443299994,0.01727690257755137,0.030248923450734138,0.08649511185707423,0.0,0.0,0.0,0.0
